evaluations raw_y
1 18.5000000000
2 34.8000000000
4 36.2800000000
5 48.7000000000
6 71.2600000000
7 76.1100000000
9 81.8800000000
12 82.4200000000
13 98.8500000000
15 102.4300000000
17 110.8600000000
18 118.5000000000
19 123.1700000000
20 124.7800000000
21 138.4600000000
23 148.9400000000
27 151.0700000000
28 163.9500000000
29 169.2300000000
30 171.9600000000
1637 175.8000000000
1650 179.9800000000
11181 181.6400000000
11201 185.0800000000
24341 185.2800000000
24342 186.9300000000
25721 188.1900000000
25742 188.4900000000
37037 192.4000000000
37049 194.4600000000
73830 195.0500000000
73831 212.1000000000
100000 -1.0000000000
evaluations raw_y
1 25.0300000000
2 31.4500000000
3 46.1600000000
6 53.3000000000
8 71.9400000000
10 73.5800000000
11 79.9600000000
12 80.0700000000
13 88.0000000000
15 93.4800000000
16 95.2100000000
17 98.5400000000
18 101.7000000000
20 124.3200000000
21 140.3400000000
29 142.9100000000
30 145.8400000000
31 158.2400000000
32 170.3500000000
33 184.7900000000
37398 186.2200000000
37417 192.9500000000
53136 198.3200000000
53328 201.6000000000
100000 -1.0000000000
evaluations raw_y
1 12.3400000000
2 17.2500000000
3 23.4500000000
4 28.9700000000
5 43.4300000000
6 52.8800000000
7 56.1900000000
8 72.4100000000
9 76.1200000000
10 79.2300000000
13 87.3300000000
14 105.1500000000
23 107.4100000000
26 107.6900000000
27 112.7600000000
28 131.7600000000
30 140.2900000000
32 153.3700000000
33 158.3100000000
34 158.4900000000
477 160.0100000000
480 167.4000000000
884 173.6100000000
885 174.2900000000
3549 175.9300000000
3550 312.8500000000
3876 319.8300000000
3907 323.7700000000
25025 325.4400000000
25042 325.9500000000
45641 329.7500000000
45666 334.8200000000
57936 338.7500000000
57968 346.6600000000
89220 348.6100000000
89224 351.1000000000
100000 -1.0000000000
evaluations raw_y
1 4.9700000000
2 9.9700000000
3 14.1000000000
4 20.9600000000
5 26.3700000000
6 36.7300000000
7 38.9500000000
9 44.2300000000
10 48.9800000000
11 63.8500000000
12 66.9000000000
13 80.2400000000
14 92.2900000000
16 101.0100000000
19 109.9500000000
24 119.0200000000
26 129.4800000000
27 130.0400000000
28 140.7500000000
29 163.4400000000
4213 166.8700000000
4236 181.5700000000
33463 182.9700000000
33488 195.6000000000
48541 203.5200000000
48584 221.4600000000
100000 -1.0000000000
evaluations raw_y
1 24.1500000000
3 39.2600000000
5 41.0100000000
7 49.9300000000
8 60.1900000000
9 69.3600000000
10 72.3100000000
11 80.6400000000
12 85.0900000000
13 101.2200000000
14 104.3500000000
16 108.4800000000
17 116.2400000000
18 124.0700000000
20 131.3900000000
21 140.2500000000
23 152.9300000000
25 157.0300000000
26 175.3700000000
27 197.6900000000
4166 204.2600000000
4189 207.2700000000
47543 209.8300000000
47567 213.1400000000
56224 219.3600000000
56228 221.2100000000
57302 224.3600000000
57346 228.8300000000
62446 230.9800000000
62462 237.9100000000
100000 -1.0000000000
evaluations raw_y
1 4.6200000000
2 16.9900000000
10 18.1300000000
11 25.6400000000
12 38.2100000000
13 47.1000000000
14 58.1400000000
15 58.4800000000
16 79.1500000000
19 84.5800000000
20 91.7700000000
22 94.2200000000
25 102.5900000000
27 112.9500000000
28 115.5700000000
29 131.4600000000
30 136.4300000000
31 169.1100000000
48 176.8800000000
68 179.1300000000
2629 184.1200000000
2630 193.7900000000
25006 197.7800000000
25080 199.7900000000
100000 -1.0000000000
evaluations raw_y
1 2.8200000000
2 20.5900000000
3 35.2100000000
6 38.4600000000
7 51.6400000000
9 54.8200000000
10 62.4000000000
13 68.0900000000
14 77.5100000000
16 78.4500000000
17 96.5800000000
18 109.1800000000
19 115.1500000000
20 129.8200000000
21 134.8000000000
22 154.3100000000
23 166.0800000000
24 176.6200000000
25 179.8400000000
26 192.9100000000
777 200.7900000000
778 208.3600000000
11991 208.6800000000
11993 211.4700000000
26859 218.9600000000
26887 225.6700000000
100000 -1.0000000000
evaluations raw_y
1 6.8600000000
2 14.4700000000
3 45.1200000000
5 46.6800000000
6 62.4100000000
8 66.4700000000
12 79.2200000000
18 82.3000000000
19 97.6100000000
20 112.3100000000
21 119.2400000000
22 132.5600000000
24 161.4000000000
25 169.1200000000
26 172.1900000000
27 185.0300000000
29 200.0500000000
37 202.2800000000
38 206.1400000000
39 207.0800000000
3433 210.5000000000
3436 212.2700000000
5796 221.2200000000
5815 224.4000000000
6826 237.2700000000
6832 239.9600000000
13716 240.9200000000
13717 245.9000000000
25316 252.8000000000
25339 254.0300000000
82447 257.8300000000
82498 269.1500000000
82897 273.5100000000
82898 285.9900000000
87733 287.3000000000
87734 305.1500000000
90177 312.4900000000
90188 317.1300000000
100000 -1.0000000000
evaluations raw_y
