evaluations raw_y
1 56.0000000000
3 58.0000000000
5 59.0000000000
7 60.0000000000
8 61.0000000000
15 62.0000000000
20 63.0000000000
21 64.0000000000
23 65.0000000000
26 66.0000000000
evaluations raw_y
1 51.0000000000
3 52.0000000000
5 53.0000000000
7 54.0000000000
8 55.0000000000
11 56.0000000000
13 57.0000000000
18 58.0000000000
19 59.0000000000
28 60.0000000000
evaluations raw_y
1 54.0000000000
1 55.0000000000
5 56.0000000000
7 57.0000000000
12 58.0000000000
14 59.0000000000
16 60.0000000000
19 61.0000000000
20 62.0000000000
21 63.0000000000
evaluations raw_y
1 52.0000000000
4 53.0000000000
5 54.0000000000
6 55.0000000000
7 56.0000000000
13 57.0000000000
16 58.0000000000
18 59.0000000000
21 60.0000000000
23 61.0000000000
evaluations raw_y
1 48.0000000000
1 49.0000000000
4 50.0000000000
5 51.0000000000
7 52.0000000000
8 53.0000000000
9 54.0000000000
10 55.0000000000
12 56.0000000000
13 57.0000000000
evaluations raw_y
1 51.0000000000
10 52.0000000000
12 53.0000000000
13 54.0000000000
15 55.0000000000
18 56.0000000000
19 57.0000000000
23 58.0000000000
29 59.0000000000
30 60.0000000000
evaluations raw_y
1 61.0000000000
1 62.0000000000
7 63.0000000000
8 64.0000000000
13 65.0000000000
14 66.0000000000
19 67.0000000000
25 68.0000000000
29 69.0000000000
evaluations raw_y
1 51.0000000000
2 52.0000000000
3 53.0000000000
9 54.0000000000
11 55.0000000000
12 56.0000000000
15 57.0000000000
16 58.0000000000
17 59.0000000000
18 60.0000000000
evaluations raw_y
1 63.0000000000
6 64.0000000000
7 65.0000000000
9 66.0000000000
10 67.0000000000
12 68.0000000000
13 69.0000000000
17 70.0000000000
18 71.0000000000
19 72.0000000000
evaluations raw_y
1 59.0000000000
1 60.0000000000
3 61.0000000000
5 62.0000000000
6 63.0000000000
8 64.0000000000
17 65.0000000000
18 66.0000000000
19 67.0000000000
20 68.0000000000
