evaluations raw_y
1 2543.0000000000
2 2615.0000000000
3 2686.0000000000
4 2734.0000000000
8 2767.0000000000
11 2819.0000000000
15 2822.0000000000
18 2913.0000000000
20 2964.0000000000
21 3050.0000000000
evaluations raw_y
1 2422.0000000000
7 2475.0000000000
8 2543.0000000000
9 2617.0000000000
12 2630.0000000000
21 2697.0000000000
22 2741.0000000000
23 2782.0000000000
24 2817.0000000000
29 2825.0000000000
evaluations raw_y
1 3440.0000000000
2 3519.0000000000
6 3570.0000000000
10 3650.0000000000
17 3719.0000000000
23 3787.0000000000
29 3813.0000000000
34 3896.0000000000
37 3899.0000000000
43 3913.0000000000
47 3978.0000000000
evaluations raw_y
1 2318.0000000000
2 2378.0000000000
4 2423.0000000000
6 2462.0000000000
8 2500.0000000000
10 2549.0000000000
12 2621.0000000000
13 2677.0000000000
14 2694.0000000000
15 2721.0000000000
18 2817.0000000000
evaluations raw_y
1 2596.0000000000
3 2648.0000000000
5 2663.0000000000
8 2677.0000000000
14 2704.0000000000
15 2772.0000000000
19 2862.0000000000
20 2890.0000000000
25 2891.0000000000
26 2913.0000000000
evaluations raw_y
1 2417.0000000000
2 2476.0000000000
4 2480.0000000000
5 2534.0000000000
6 2612.0000000000
9 2669.0000000000
12 2739.0000000000
15 2828.0000000000
17 2902.0000000000
18 2969.0000000000
23 3031.0000000000
evaluations raw_y
1 2462.0000000000
4 2478.0000000000
5 2513.0000000000
6 2546.0000000000
9 2623.0000000000
10 2711.0000000000
11 2755.0000000000
12 2783.0000000000
16 2852.0000000000
20 2938.0000000000
22 2988.0000000000
evaluations raw_y
1 2476.0000000000
233 4721.0000000000
234 4724.0000000000
253 4797.0000000000
260 4876.0000000000
261 4954.0000000000
266 4955.0000000000
304 4984.0000000000
549 5050.0000000000
100000 5050.0000000000
evaluations raw_y
1 1939.0000000000
159 4431.0000000000
162 4499.0000000000
182 4572.0000000000
184 4650.0000000000
190 4746.0000000000
197 4798.0000000000
227 4895.0000000000
321 4958.0000000000
352 4984.0000000000
480 5050.0000000000
100000 5050.0000000000

evaluations raw_y
1 2451.0000000000
205 4582.0000000000
231 4645.0000000000
262 4726.0000000000
267 4772.0000000000
276 4867.0000000000
280 4925.0000000000
288 4981.0000000000
299 4996.0000000000
453 5050.0000000000
100000 5050.0000000000
