evaluations raw_y
1 45.9400000000
2 71.6000000000
3 79.7300000000
5 112.5100000000
6 131.4200000000
9 134.1300000000
11 135.3500000000
30 145.6800000000
31 152.2800000000
32 171.8100000000
34 196.2900000000
36 197.2300000000
41 211.1700000000
59 216.4900000000
68 220.0200000000
138 227.8600000000
4277 228.2200000000
5266 232.4500000000
10000 -1.0000000000
evaluations raw_y
1 0.0000000000
2 15.2100000000
3 27.2300000000
4 32.9700000000
9 34.2200000000
10 38.6500000000
11 39.5200000000
12 53.0700000000
13 61.4500000000
14 94.3300000000
15 101.4200000000
16 109.3500000000
24 119.2700000000
26 130.6700000000
27 131.6900000000
28 144.1900000000
32 147.2100000000
34 162.8200000000
37 177.3100000000
60 183.0300000000
108 184.8500000000
131 189.5700000000
197 191.9100000000
341 192.6400000000
385 193.4000000000
602 199.5200000000
817 201.9500000000
2111 202.6900000000
5035 203.4000000000
5952 204.2800000000
8758 204.5600000000
10000 183.6000000000
evaluations raw_y
1 6.3900000000
2 10.8200000000
3 21.2100000000
4 34.6700000000
5 39.4500000000
6 53.6200000000
7 63.4100000000
8 81.8000000000
10 92.1300000000
11 108.7000000000
15 110.7800000000
16 114.3700000000
17 119.7800000000
18 120.6100000000
19 136.4100000000
22 136.8800000000
24 150.4500000000
82 152.8100000000
284 152.8300000000
713 153.3300000000
764 156.1700000000
854 161.5700000000
866 162.6500000000
6781 169.6300000000
7798 169.8200000000
8046 170.8200000000
8284 176.7700000000
8304 177.8200000000
10000 -1.0000000000
evaluations raw_y
1 0.0000000000
2 19.4700000000
4 27.8200000000
7 28.6700000000
8 40.4100000000
11 50.3900000000
12 50.7400000000
13 60.5400000000
14 62.5200000000
16 68.6500000000
17 70.0400000000
18 80.7100000000
19 84.0200000000
20 89.8600000000
21 109.4000000000
22 140.6800000000
23 146.0200000000
66 149.2600000000
87 149.9600000000
101 170.4800000000
10000 -1.0000000000
evaluations raw_y
1 13.1900000000
2 15.3400000000
4 18.3100000000
5 32.9900000000
6 42.6900000000
10 54.6600000000
11 55.6400000000
12 75.7200000000
15 77.9400000000
16 97.9000000000
20 103.5900000000
21 106.6300000000
23 134.7600000000
24 146.9200000000
26 157.9000000000
27 191.2400000000
28 212.4100000000
49 218.0500000000
136 223.2800000000
937 227.3500000000
1494 227.9700000000
8168 231.5900000000
10000 197.3200000000
evaluations raw_y
1 7.3100000000
2 23.7500000000
3 32.9800000000
5 59.9800000000
6 65.2600000000
7 114.7400000000
9 117.6800000000
11 129.9700000000
12 134.1700000000
13 136.3100000000
14 160.8300000000
28 174.4600000000
91 174.8800000000
