evaluations raw_y
1 77.0000000000
2 136.0000000000
3 186.0000000000
4 216.0000000000
5 246.0000000000
6 285.0000000000
8 303.0000000000
9 324.0000000000
10 360.0000000000
11 366.0000000000
10000 -1.0000000000
evaluations raw_y
1 82.0000000000
2 160.0000000000
3 200.0000000000
4 253.0000000000
5 298.0000000000
6 313.0000000000
7 343.0000000000
8 367.0000000000
9 376.0000000000
10 392.0000000000
10000 -1.0000000000
evaluations raw_y
1 54.0000000000
2 129.0000000000
3 168.0000000000
4 216.0000000000
5 243.0000000000
6 285.0000000000
7 326.0000000000
8 359.0000000000
9 381.0000000000
10 400.0000000000
10000 -1.0000000000
evaluations raw_y
1 83.0000000000
2 136.0000000000
3 193.0000000000
4 261.0000000000
5 301.0000000000
6 334.0000000000
7 349.0000000000
8 364.0000000000
9 378.0000000000
10 386.0000000000
10000 -1.0000000000
evaluations raw_y
1 95.0000000000
2 156.0000000000
3 206.0000000000
4 240.0000000000
5 273.0000000000
6 310.0000000000
7 347.0000000000
8 362.0000000000
10 373.0000000000
11 383.0000000000
10000 -1.0000000000
evaluations raw_y
1 64.0000000000
2 129.0000000000
3 202.0000000000
4 243.0000000000
5 284.0000000000
6 311.0000000000
7 340.0000000000
8 354.0000000000
9 374.0000000000
10 386.0000000000
10000 -1.0000000000
evaluations raw_y
1 61.0000000000
2 123.0000000000
3 191.0000000000
4 246.0000000000
5 276.0000000000
6 316.0000000000
7 342.0000000000
8 361.0000000000
10 380.0000000000
11 390.0000000000
10000 -1.0000000000
evaluations raw_y
1 83.0000000000
2 145.0000000000
3 218.0000000000
4 255.0000000000
5 274.0000000000
6 320.0000000000
7 331.0000000000
8 353.0000000000
9 370.0000000000
10 384.0000000000
10000 -1.0000000000
evaluations raw_y
1 122.0000000000
2 197.0000000000
3 243.0000000000
4 272.0000000000
5 303.0000000000
6 331.0000000000
7 348.0000000000
8 357.0000000000
9 371.0000000000
10 387.0000000000
10000 -1.0000000000
evaluations raw_y
1 99.0000000000
2 180.0000000000
3 221.0000000000
4 274.0000000000
5 299.0000000000
6 315.0000000000
7 340.0000000000
8 359.0000000000
9 374.0000000000
10 389.0000000000
10000 -1.0000000000
evaluations raw_y
1 76.0000000000
2 137.0000000000
3 182.0000000000
4 241.0000000000
5 278.0000000000
6 298.0000000000
7 326.0000000000
8 348.0000000000
9 359.0000000000
10 374.0000000000
10000 -1.0000000000
evaluations raw_y
1 84.0000000000
2 137.0000000000
3 211.0000000000
4 269.0000000000
5 311.0000000000
6 340.0000000000
7 358.0000000000
8 371.0000000000
9 381.0000000000
10 391.0000000000
10000 -1.0000000000
evaluations raw_y
1 93.0000000000
2 167.0000000000
3 198.0000000000
4 220.0000000000
5 270.0000000000
6 296.0000000000
7 323.0000000000
8 343.0000000000
9 359.0000000000
10 375.0000000000
10000 -1.0000000000
evaluations raw_y
1 110.0000000000
2 168.0000000000
3 219.0000000000
4 252.0000000000
5 286.0000000000
6 328.0000000000
7 366.0000000000
8 378.0000000000
9 399.0000000000
10 411.0000000000
10000 -1.0000000000
evaluations raw_y
1 75.0000000000
2 138.0000000000
3 197.0000000000
4 226.0000000000
5 272.0000000000
6 301.0000000000
7 319.0000000000
8 337.0000000000
9 359.0000000000
10 385.0000000000
10000 -1.0000000000
evaluations raw_y
1 101.0000000000
2 143.0000000000
3 195.0000000000
4 241.0000000000
5 273.0000000000
6 293.0000000000
7 327.0000000000
8 355.0000000000
9 367.0000000000
10 373.0000000000
10000 -1.0000000000
evaluations raw_y
1 96.0000000000
2 146.0000000000
3 200.0000000000
4 245.0000000000
5 272.0000000000
6 307.0000000000
7 331.0000000000
8 356.0000000000
9 370.0000000000
10 385.0000000000
10000 -1.0000000000
evaluations raw_y
1 86.0000000000
2 130.0000000000
3 194.0000000000
4 216.0000000000
5 277.0000000000
6 306.0000000000
7 331.0000000000
8 348.0000000000
9 371.0000000000
10 384.0000000000
10000 -1.0000000000
evaluations raw_y
1 77.0000000000
2 145.0000000000
3 204.0000000000
4 253.0000000000
5 280.0000000000
7 326.0000000000
8 341.0000000000
9 362.0000000000
10 381.0000000000
11 400.0000000000
10000 -1.0000000000
evaluations raw_y
1 90.0000000000
2 160.0000000000
3 214.0000000000
4 269.0000000000
5 314.0000000000
6 342.0000000000
7 363.0000000000
8 373.0000000000
9 385.0000000000
10 396.0000000000
10000 -1.0000000000
evaluations raw_y
1 95.0000000000
2 165.0000000000
3 218.0000000000
4 264.0000000000
5 299.0000000000
6 313.0000000000
8 337.0000000000
9 365.0000000000
10 372.0000000000
11 379.0000000000
10000 -1.0000000000
evaluations raw_y
1 90.0000000000
2 160.0000000000
3 212.0000000000
4 267.0000000000
5 310.0000000000
6 333.0000000000
7 352.0000000000
8 361.0000000000
9 383.0000000000
10 394.0000000000
10000 -1.0000000000
evaluations raw_y
1 76.0000000000
2 138.0000000000
3 200.0000000000
4 243.0000000000
5 282.0000000000
6 310.0000000000
7 338.0000000000
8 363.0000000000
9 382.0000000000
10 396.0000000000
10000 -1.0000000000
evaluations raw_y
1 85.0000000000
2 175.0000000000
3 224.0000000000
4 255.0000000000
5 294.0000000000
6 324.0000000000
7 340.0000000000
8 346.0000000000
9 357.0000000000
10 385.0000000000
10000 -1.0000000000
evaluations raw_y
1 92.0000000000
2 136.0000000000
3 181.0000000000
4 231.0000000000
5 272.0000000000
6 307.0000000000
7 334.0000000000
8 360.0000000000
9 381.0000000000
10 392.0000000000
10000 -1.0000000000
evaluations raw_y
1 73.0000000000
2 117.0000000000
3 195.0000000000
4 237.0000000000
5 291.0000000000
6 321.0000000000
7 345.0000000000
8 368.0000000000
9 380.0000000000
10 394.0000000000
10000 -1.0000000000
evaluations raw_y
1 76.0000000000
2 140.0000000000
3 191.0000000000
4 234.0000000000
5 275.0000000000
6 291.0000000000
7 319.0000000000
8 331.0000000000
9 357.0000000000
10 384.0000000000
10000 -1.0000000000
evaluations raw_y
1 57.0000000000
2 130.0000000000
3 190.0000000000
4 251.0000000000
5 283.0000000000
6 312.0000000000
7 336.0000000000
8 360.0000000000
9 383.0000000000
10 397.0000000000
10000 -1.0000000000
evaluations raw_y
1 86.0000000000
2 179.0000000000
3 229.0000000000
4 270.0000000000
5 297.0000000000
6 329.0000000000
7 343.0000000000
8 361.0000000000
9 377.0000000000
10 381.0000000000
10000 -1.0000000000
evaluations raw_y
1 86.0000000000
2 131.0000000000
3 201.0000000000
4 246.0000000000
5 290.0000000000
6 306.0000000000
7 348.0000000000
8 369.0000000000
9 383.0000000000
10 390.0000000000
10000 -1.0000000000
