evaluations raw_y
1 21.5100000000
4 27.5300000000
5 137.2600000000
6 150.6600000000
7 162.0300000000
8 165.1300000000
9 171.3800000000
10 185.1700000000
11 186.0000000000
12 187.1900000000
3125 187.9300000000
3126 196.3700000000
6956 196.7600000000
6957 210.7900000000
10000 -1.0000000000
evaluations raw_y
1 4.6600000000
2 20.7400000000
3 28.2300000000
4 31.2600000000
5 41.7600000000
6 46.5700000000
7 61.6500000000
8 65.6900000000
9 84.6000000000
10 103.9600000000
3166 106.7000000000
3167 110.5600000000
10000 -1.0000000000
evaluations raw_y
1 16.5700000000
2 16.8200000000
3 36.9500000000
9 42.6400000000
12 61.2300000000
13 62.3300000000
14 75.6400000000
15 80.4500000000
16 81.5100000000
17 91.9400000000
1208 92.5600000000
1211 97.6500000000
1841 105.1500000000
1844 106.2400000000
10000 -1.0000000000
evaluations raw_y
1 3.4700000000
2 18.7400000000
5 28.8800000000
6 40.7900000000
7 44.6500000000
8 64.4400000000
9 84.1200000000
16 97.3600000000
17 97.8500000000
18 100.5400000000
2024 105.0300000000
2028 114.9900000000
2808 124.0100000000
2810 125.8600000000
10000 -1.0000000000
evaluations raw_y
1 20.7800000000
2 30.4100000000
3 44.2900000000
5 46.2000000000
6 65.4300000000
7 74.0100000000
11 82.3200000000
13 89.5800000000
21 91.5900000000
22 97.3100000000
10000 -1.0000000000
evaluations raw_y
1 7.2500000000
3 19.6400000000
4 28.1800000000
5 30.8400000000
6 50.6100000000
7 53.0300000000
8 56.7100000000
9 57.9300000000
10 79.2400000000
11 85.4300000000
708 90.7200000000
710 97.4100000000
6153 102.5700000000
6155 116.5600000000
10000 -1.0000000000
evaluations raw_y
1 7.2600000000
3 13.0500000000
4 19.5000000000
5 33.5500000000
6 39.6200000000
7 51.4200000000
10 55.7200000000
11 65.6100000000
12 66.0300000000
13 76.3200000000
10000 -1.0000000000
evaluations raw_y
1 1.7800000000
2 14.2100000000
3 20.8400000000
4 33.1500000000
5 37.2400000000
6 40.9600000000
8 42.4200000000
9 49.0500000000
11 68.2100000000
12 77.6700000000
10000 -1.0000000000
evaluations raw_y
1 3.8300000000
2 7.8600000000
3 8.7400000000
4 12.9700000000
5 25.9400000000
6 32.4500000000
8 33.6200000000
9 49.4100000000
10 51.5700000000
11 59.9700000000
2012 62.4200000000
2013 74.5700000000
2842 77.1800000000
2845 79.5700000000
10000 -1.0000000000
evaluations raw_y
1 17.0200000000
2 19.8200000000
3 27.9100000000
4 38.3300000000
6 45.0400000000
7 46.2800000000
8 55.7900000000
11 63.4800000000
12 74.7700000000
13 88.8000000000
10000 -1.0000000000
evaluations raw_y
1 10.2000000000
2 19.4600000000
3 25.9100000000
4 26.7800000000
5 46.6800000000
6 67.7300000000
8 69.2200000000
10 72.6400000000
12 80.6800000000
17 83.0000000000
290 89.1700000000
292 102.9900000000
10000 -1.0000000000
evaluations raw_y
1 15.6800000000
2 33.3100000000
3 45.4500000000
4 48.4400000000
5 55.1000000000
7 67.3300000000
9 86.3100000000
11 91.3900000000
13 102.5700000000
14 110.9700000000
1100 111.0100000000
1101 122.8900000000
10000 -1.0000000000
evaluations raw_y
1 13.2600000000
2 20.2600000000
3 25.1100000000
4 28.6000000000
5 33.5300000000
