evaluations raw_y
1 76.0000000000
2 139.0000000000
4 308.0000000000
5 334.0000000000
7 358.0000000000
10 373.0000000000
15 381.0000000000
233 390.0000000000
409 401.0000000000
410 403.0000000000
697 411.0000000000
1456 412.0000000000
2295 413.0000000000
2807 418.0000000000
3247 420.0000000000
14379 422.0000000000
54434 423.0000000000
58620 425.0000000000
70999 427.0000000000
71515 430.0000000000
100000 -1.0000000000
evaluations raw_y
1 0.0000000000
3 87.0000000000
4 161.0000000000
5 201.0000000000
6 252.0000000000
7 284.0000000000
8 323.0000000000
9 382.0000000000
15 393.0000000000
94 398.0000000000
342 399.0000000000
528 407.0000000000
1168 409.0000000000
1405 416.0000000000
2002 417.0000000000
2592 418.0000000000
5959 420.0000000000
7633 421.0000000000
8386 422.0000000000
8987 423.0000000000
9022 426.0000000000
20972 428.0000000000
30062 430.0000000000
61903 431.0000000000
90386 433.0000000000
92940 435.0000000000
100000 -3.0000000000
evaluations raw_y
1 158.0000000000
5 222.0000000000
7 253.0000000000
8 317.0000000000
9 354.0000000000
12 378.0000000000
13 385.0000000000
1487 390.0000000000
1609 395.0000000000
1989 400.0000000000
2109 405.0000000000
2554 406.0000000000
2776 416.0000000000
2986 420.0000000000
6822 425.0000000000
18390 426.0000000000
44525 428.0000000000
61132 429.0000000000
63859 430.0000000000
74488 431.0000000000
85395 434.0000000000
100000 434.0000000000
evaluations raw_y
1 0.0000000000
2 46.0000000000
6 143.0000000000
7 218.0000000000
8 261.0000000000
9 310.0000000000
11 336.0000000000
12 347.0000000000
455 353.0000000000
547 359.0000000000
553 361.0000000000
721 385.0000000000
946 389.0000000000
1212 394.0000000000
1316 395.0000000000
1466 399.0000000000
3347 400.0000000000
4940 405.0000000000
5916 408.0000000000
6076 409.0000000000
6344 410.0000000000
7973 411.0000000000
8029 414.0000000000
8193 417.0000000000
9584 418.0000000000
15278 419.0000000000
16826 420.0000000000
16833 421.0000000000
17474 423.0000000000
18404 426.0000000000
18977 427.0000000000
19137 429.0000000000
32195 430.0000000000
67113 432.0000000000
92425 434.0000000000
100000 -1.0000000000
evaluations raw_y
1 173.0000000000
2 225.0000000000
3 260.0000000000
4 280.0000000000
5 321.0000000000
6 337.0000000000
9 345.0000000000
13 365.0000000000
14 372.0000000000
28 377.0000000000
373 383.0000000000
577 392.0000000000
592 402.0000000000
791 403.0000000000
1936 406.0000000000
1960 408.0000000000
2645 411.0000000000
2766 412.0000000000
2939 415.0000000000
3643 418.0000000000
4206 420.0000000000
6906 422.0000000000
7755 424.0000000000
8912 425.0000000000
10337 426.0000000000
13865 427.0000000000
17812 428.0000000000
30574 429.0000000000
63755 430.0000000000
64741 432.0000000000
100000 432.0000000000
evaluations raw_y
1 0.0000000000
3 175.0000000000
4 259.0000000000
5 341.0000000000
6 370.0000000000
7 388.0000000000
45 391.0000000000
69 395.0000000000
103 398.0000000000
1097 401.0000000000
1171 403.0000000000
1183 404.0000000000
1545 407.0000000000
2248 408.0000000000
3200 410.0000000000
3535 411.0000000000
3954 414.0000000000
4378 420.0000000000
8375 423.0000000000
12332 428.0000000000
19697 429.0000000000
20378 430.0000000000
82925 431.0000000000
88125 432.0000000000
100000 -3.0000000000
evaluations raw_y
1 90.0000000000
2 259.0000000000
5 324.0000000000
7 356.0000000000
8 380.0000000000
407 381.0000000000
837 384.0000000000
979 388.0000000000
1424 395.0000000000
1510 396.0000000000
2572 402.0000000000
3687 405.0000000000
4587 410.0000000000
5891 412.0000000000
6671 413.0000000000
6954 414.0000000000
7286 416.0000000000
7598 417.0000000000
9952 425.0000000000
11204 426.0000000000
18595 428.0000000000
27849 431.0000000000
27891 433.0000000000
52141 434.0000000000
100000 -2.0000000000
evaluations raw_y
1 0.0000000000
3 107.0000000000
4 224.0000000000
5 303.0000000000
6 328.0000000000
7 384.0000000000
222 385.0000000000
241 387.0000000000
622 388.0000000000
752 392.0000000000
822 393.0000000000
1723 396.0000000000
2788 398.0000000000
3255 399.0000000000
3503 403.0000000000
4721 411.0000000000
6982 413.0000000000
7909 417.0000000000
9690 418.0000000000
13409 424.0000000000
14882 425.0000000000
23200 426.0000000000
43463 427.0000000000
64344 428.0000000000
100000 -1.0000000000
evaluations raw_y
1 0.0000000000
3 192.0000000000
4 311.0000000000
6 363.0000000000
9 385.0000000000
39 393.0000000000
729 394.0000000000
731 396.0000000000
793 401.0000000000
978 402.0000000000
1696 411.0000000000
6438 414.0000000000
11872 416.0000000000
13002 419.0000000000
13616 421.0000000000
20983 422.0000000000
22956 423.0000000000
28102 425.0000000000
28800 427.0000000000
30412 430.0000000000
100000 -2.0000000000
evaluations raw_y
1 0.0000000000
4 68.0000000000
5 148.0000000000
8 187.0000000000
9 237.0000000000
11 271.0000000000
12 301.0000000000
14 325.0000000000
17 342.0000000000
18 370.0000000000
19 380.0000000000
296 382.0000000000
477 386.0000000000
800 388.0000000000
1190 395.0000000000
1860 403.0000000000
2011 411.0000000000
3056 416.0000000000
3637 425.0000000000
6366 428.0000000000
21722 431.0000000000
33771 433.0000000000
65096 434.0000000000
100000 -1.0000000000
evaluations raw_y
1 125.0000000000
2 201.0000000000
3 284.0000000000
4 320.0000000000
5 338.0000000000
7 372.0000000000
8 385.0000000000
139 392.0000000000
1185 396.0000000000
1258 401.0000000000
2062 403.0000000000
2420 408.0000000000
2553 409.0000000000
4289 413.0000000000
7740 415.0000000000
16534 416.0000000000
18207 418.0000000000
20413 420.0000000000
20419 421.0000000000
33054 425.0000000000
43446 427.0000000000
59548 430.0000000000
61412 431.0000000000
73050 434.0000000000
100000 -1.0000000000
evaluations raw_y
1 136.0000000000
3 189.0000000000
4 264.0000000000
6 289.0000000000
7 318.0000000000
8 341.0000000000
10 354.0000000000
13 370.0000000000
466 372.0000000000
694 387.0000000000
752 402.0000000000
1022 403.0000000000
1062 407.0000000000
1648 412.0000000000
1690 413.0000000000
3952 414.0000000000
5422 420.0000000000
8015 422.0000000000
10409 423.0000000000
10600 424.0000000000
14188 426.0000000000
24760 428.0000000000
47521 430.0000000000
48399 432.0000000000
66753 433.0000000000
94740 434.0000000000
100000 434.0000000000
evaluations raw_y
1 0.0000000000
3 142.0000000000
8 235.0000000000
9 263.0000000000
10 322.0000000000
12 354.0000000000
14 385.0000000000
373 393.0000000000
727 395.0000000000
986 407.0000000000
988 413.0000000000
1607 414.0000000000
1890 416.0000000000
4358 417.0000000000
5230 420.0000000000
7158 425.0000000000
10320 426.0000000000
12972 427.0000000000
15722 428.0000000000
16812 429.0000000000
32845 430.0000000000
36816 434.0000000000
49820 436.0000000000
78033 437.0000000000
100000 437.0000000000
evaluations raw_y
1 98.0000000000
2 248.0000000000
4 348.0000000000
6 360.0000000000
7 393.0000000000
183 394.0000000000
205 398.0000000000
658 399.0000000000
799 402.0000000000
1208 405.0000000000
1284 414.0000000000
1685 423.0000000000
2224 425.0000000000
5637 426.0000000000
15646 428.0000000000
100000 428.0000000000
evaluations raw_y
1 0.0000000000
4 88.0000000000
9 182.0000000000
11 241.0000000000
14 276.0000000000
15 310.0000000000
16 344.0000000000
17 379.0000000000
18 390.0000000000
89 399.0000000000
234 401.0000000000
307 410.0000000000
798 416.0000000000
3677 418.0000000000
7245 420.0000000000
8977 421.0000000000
14172 425.0000000000
20458 426.0000000000
33429 427.0000000000
44242 429.0000000000
52523 430.0000000000
74107 432.0000000000
88438 433.0000000000
96076 434.0000000000
100000 -1.0000000000
evaluations raw_y
1 211.0000000000
2 256.0000000000
3 333.0000000000
5 341.0000000000
6 355.0000000000
7 376.0000000000
116 385.0000000000
435 391.0000000000
450 394.0000000000
506 397.0000000000
868 398.0000000000
1431 401.0000000000
1906 408.0000000000
1913 410.0000000000
2381 411.0000000000
4326 413.0000000000
4660 414.0000000000
5453 418.0000000000
13114 421.0000000000
18733 424.0000000000
23854 425.0000000000
29207 426.0000000000
29669 427.0000000000
32061 428.0000000000
32398 431.0000000000
52170 432.0000000000
64026 433.0000000000
91298 436.0000000000
100000 -1.0000000000
evaluations raw_y
1 0.0000000000
2 72.0000000000
3 228.0000000000
4 254.0000000000
5 296.0000000000
6 371.0000000000
7 388.0000000000
627 394.0000000000
1005 395.0000000000
1453 403.0000000000
1763 406.0000000000
2132 407.0000000000
2370 411.0000000000
5836 414.0000000000
8777 417.0000000000
10342 421.0000000000
11253 422.0000000000
12900 425.0000000000
15861 428.0000000000
17354 429.0000000000
18984 430.0000000000
21754 433.0000000000
28169 434.0000000000
33248 435.0000000000
100000 421.0000000000
evaluations raw_y
1 138.0000000000
3 266.0000000000
5 338.0000000000
6 350.0000000000
7 369.0000000000
11 392.0000000000
785 398.0000000000
948 405.0000000000
967 412.0000000000
1208 415.0000000000
1418 416.0000000000
2666 423.0000000000
2717 424.0000000000
10797 428.0000000000
22136 429.0000000000
26298 432.0000000000
81898 435.0000000000
100000 -2.0000000000
evaluations raw_y
1 76.0000000000
2 229.0000000000
3 343.0000000000
4 377.0000000000
7 387.0000000000
628 389.0000000000
849 393.0000000000
1118 394.0000000000
1135 398.0000000000
1196 402.0000000000
1694 403.0000000000
2633 409.0000000000
6364 411.0000000000
7117 412.0000000000
