evaluations raw_y
1 -1993.0000000000
4 -1991.0000000000
5 -1990.0000000000
7 -1989.0000000000
8 -1988.0000000000
14 -1987.0000000000
17 -1986.0000000000
20 -1985.0000000000
21 -1984.0000000000
23 -1983.0000000000
25 -1982.0000000000
29 -1981.0000000000
31 -1980.0000000000
33 -1979.0000000000
35 -1978.0000000000
45 -1977.0000000000
46 -1976.0000000000
48 -1975.0000000000
49 -1973.0000000000
52 -1972.0000000000
53 -1970.0000000000
57 -1969.0000000000
62 -1968.0000000000
63 -1967.0000000000
68 -1966.0000000000
69 -1965.0000000000
72 -1964.0000000000
74 -1963.0000000000
77 -1962.0000000000
87 -1960.0000000000
92 -1959.0000000000
110 -1958.0000000000
113 -1957.0000000000
114 -1956.0000000000
123 -1955.0000000000
126 -1954.0000000000
127 -1953.0000000000
129 -1952.0000000000
130 -1951.0000000000
133 -1949.0000000000
141 -1948.0000000000
146 -1947.0000000000
147 -1946.0000000000
157 -1942.0000000000
158 -1941.0000000000
161 -1940.0000000000
162 -1939.0000000000
167 -1938.0000000000
168 -1937.0000000000
186 -1936.0000000000
188 -1935.0000000000
189 -1934.0000000000
195 -1933.0000000000
198 -1932.0000000000
200 -1928.0000000000
208 -1927.0000000000
210 -1926.0000000000
214 -1925.0000000000
218 -1924.0000000000
219 -1923.0000000000
223 -1922.0000000000
228 -1921.0000000000
236 -1920.0000000000
246 -1919.0000000000
248 -1918.0000000000
253 -1917.0000000000
254 -1916.0000000000
257 -1915.0000000000
258 -1914.0000000000
259 -1913.0000000000
261 -1912.0000000000
264 -1911.0000000000
266 -1910.0000000000
276 -1909.0000000000
278 -1908.0000000000
280 -1907.0000000000
281 -1906.0000000000
282 -1905.0000000000
285 -1904.0000000000
293 -1903.0000000000
294 -1902.0000000000
309 -1901.0000000000
311 -1900.0000000000
321 -1899.0000000000
332 -1897.0000000000
335 -1895.0000000000
340 -1894.0000000000
341 -1893.0000000000
347 -1891.0000000000
348 -1890.0000000000
349 -1889.0000000000
357 -1888.0000000000
366 -1887.0000000000
369 -1886.0000000000
383 -1885.0000000000
387 -1884.0000000000
394 -1882.0000000000
398 -1881.0000000000
399 -1879.0000000000
401 -1877.0000000000
406 -1876.0000000000
407 -1874.0000000000
424 -1873.0000000000
428 -1872.0000000000
434 -1871.0000000000
436 -1870.0000000000
437 -1869.0000000000
438 -1868.0000000000
443 -1867.0000000000
444 -1866.0000000000
445 -1865.0000000000
446 -1864.0000000000
450 -1863.0000000000
456 -1862.0000000000
457 -1861.0000000000
460 -1860.0000000000
467 -1858.0000000000
469 -1857.0000000000
472 -1856.0000000000
