evaluations raw_y
1 -291324.1000000000
2 -289562.1000000000
3 -288172.1000000000
8 -288049.1000000000
9 -287639.1000000000
13 -285877.1000000000
17 -281914.1000000000
20 -281205.1000000000
22 -280782.1000000000
23 -278361.1000000000
28 -277439.1000000000
32 -276067.1000000000
33 -275637.1000000000
34 -275229.1000000000
39 -274282.1000000000
43 -274078.1000000000
45 -271498.1000000000
49 -269378.1000000000
52 -268968.1000000000
53 -267522.1000000000
54 -267326.1000000000
55 -266699.1000000000
66 -264822.1000000000
68 -264416.1000000000
82 -262522.1000000000
88 -261885.1000000000
95 -260332.1000000000
97 -257903.1000000000
98 -255790.1000000000
106 -254150.1000000000
110 -252773.1000000000
113 -250573.1000000000
114 -250461.1000000000
115 -248228.1000000000
136 -245246.1000000000
155 -243203.1000000000
179 -240820.1000000000
194 -238167.1000000000
211 -237834.1000000000
216 -236712.1000000000
221 -233797.1000000000
236 -232977.1000000000
241 -232161.1000000000
246 -230501.1000000000
256 -230495.1000000000
262 -229536.1000000000
269 -227744.1000000000
275 -226684.1000000000
289 -226418.1000000000
307 -225729.1000000000
310 -224621.1000000000
311 -222245.1000000000
313 -221069.1000000000
315 -220322.1000000000
325 -219633.1000000000
332 -219537.1000000000
334 -219508.1000000000
335 -219461.1000000000
339 -219124.1000000000
342 -217917.1000000000
344 -217578.1000000000
353 -216400.1000000000
361 -212233.1000000000
365 -211511.1000000000
367 -208507.1000000000
369 -207902.1000000000
371 -206965.1000000000
372 -206792.1000000000
384 -206333.1000000000
385 -206298.1000000000
386 -206250.1000000000
389 -206019.1000000000
394 -204659.1000000000
400 -204187.1000000000
403 -203735.1000000000
410 -202172.1000000000
416 -201363.1000000000
424 -200442.1000000000
429 -200436.1000000000
434 -200324.1000000000
449 -199564.1000000000
450 -199423.1000000000
451 -198089.1000000000
460 -197527.1000000000
462 -195183.1000000000
463 -194460.1000000000
466 -193582.1000000000
471 -193482.1000000000
481 -192151.1000000000
484 -191517.1000000000
485 -190339.1000000000
488 -188453.1000000000
494 -187990.1000000000
504 -186802.1000000000
506 -186554.1000000000
534 -185872.1000000000
563 -183829.1000000000
570 -182539.1000000000
594 -181031.1000000000
600 -180215.1000000000
604 -179602.1000000000
605 -179490.1000000000
627 -178531.1000000000
638 -178409.1000000000
643 -178039.1000000000
656 -176623.1000000000
681 -176086.1000000000
697 -175678.1000000000
710 -175317.1000000000
721 -174583.1000000000
727 -174297.1000000000
733 -174291.1000000000
753 -172312.1000000000
770 -172110.1000000000
774 -172009.1000000000
776 -169840.1000000000
785 -169204.1000000000
788 -169198.1000000000
790 -168773.1000000000
832 -166701.1000000000
866 -164857.1000000000
871 -164491.1000000000
903 -161603.1000000000
928 -161241.1000000000
933 26277.4117416368
951 26477.9246070420
1189 26715.0312304704
1434 26822.7093730661
1709 26882.8681054920
1902 27018.1273240233
2384 27120.7413259203
2425 27218.7546782314
2703 27278.8920801146
2946 27450.5393666982
3262 27550.8779743986
3281 27751.5555930772
6309 27766.6088191767
6875 28059.4439352708
8182 28162.4858044101
8276 28260.2520310545
8919 28260.2543217748
10000 27399.1827323995
