evaluations raw_y
1 1.0000000000
3 3.0000000000
4 4.0000000000
6 5.0000000000
7 7.0000000000
9 10.0000000000
13 11.0000000000
15 16.0000000000
18 19.0000000000
21 20.0000000000
23 21.0000000000
30 23.0000000000
31 25.0000000000
34 28.0000000000
35 29.0000000000
38 30.0000000000
40 31.0000000000
41 32.0000000000
46 35.0000000000
49 37.0000000000
50 39.0000000000
53 41.0000000000
59 42.0000000000
63 43.0000000000
67 44.0000000000
71 45.0000000000
73 46.0000000000
75 48.0000000000
77 49.0000000000
81 51.0000000000
82 52.0000000000
87 53.0000000000
89 54.0000000000
91 55.0000000000
93 56.0000000000
97 58.0000000000
101 59.0000000000
103 60.0000000000
122 61.0000000000
123 62.0000000000
132 63.0000000000
133 64.0000000000
140 65.0000000000
147 66.0000000000
156 67.0000000000
164 68.0000000000
165 69.0000000000
180 70.0000000000
181 72.0000000000
183 73.0000000000
208 74.0000000000
216 76.0000000000
219 77.0000000000
222 78.0000000000
249 79.0000000000
283 80.0000000000
289 81.0000000000
290 82.0000000000
292 83.0000000000
306 84.0000000000
314 85.0000000000
324 86.0000000000
346 87.0000000000
347 88.0000000000
356 89.0000000000
365 90.0000000000
370 91.0000000000
391 92.0000000000
416 93.0000000000
439 94.0000000000
452 95.0000000000
489 96.0000000000
550 97.0000000000
706 98.0000000000
750 99.0000000000
850 100.0000000000
