evaluations raw_y
1 2.0000000000
2 4.0000000000
4 6.0000000000
6 7.0000000000
8 10.0000000000
9 12.0000000000
10 15.0000000000
11 17.0000000000
12 18.0000000000
13 20.0000000000
14 21.0000000000
15 22.0000000000
17 23.0000000000
20 24.0000000000
21 26.0000000000
23 27.0000000000
24 29.0000000000
25 30.0000000000
26 31.0000000000
31 32.0000000000
35 33.0000000000
37 34.0000000000
41 36.0000000000
43 37.0000000000
46 38.0000000000
51 39.0000000000
58 41.0000000000
65 42.0000000000
67 43.0000000000
69 44.0000000000
71 46.0000000000
83 47.0000000000
85 48.0000000000
86 49.0000000000
89 50.0000000000
97 51.0000000000
98 52.0000000000
99 53.0000000000
100 54.0000000000
109 55.0000000000
113 56.0000000000
114 58.0000000000
117 59.0000000000
131 60.0000000000
133 61.0000000000
134 63.0000000000
137 64.0000000000
147 65.0000000000
159 66.0000000000
160 67.0000000000
169 68.0000000000
174 69.0000000000
176 70.0000000000
181 71.0000000000
183 72.0000000000
185 73.0000000000
186 74.0000000000
194 75.0000000000
195 76.0000000000
196 77.0000000000
224 78.0000000000
282 79.0000000000
287 80.0000000000
288 81.0000000000
312 82.0000000000
359 83.0000000000
360 84.0000000000
400 85.0000000000
406 86.0000000000
415 87.0000000000
426 88.0000000000
432 89.0000000000
436 90.0000000000
469 91.0000000000
493 92.0000000000
563 93.0000000000
597 94.0000000000
613 95.0000000000
638 96.0000000000
646 97.0000000000
687 98.0000000000
768 99.0000000000
1440 100.0000000000
