evaluations raw_y
1 0.0000000000
2 101.0000000000
4 142.0000000000
5 188.0000000000
6 245.0000000000
7 315.0000000000
8 386.0000000000
9 407.0000000000
10 521.0000000000
11 613.0000000000
12 696.0000000000
14 795.0000000000
15 898.0000000000
23 978.0000000000
24 1125.0000000000
25 1182.0000000000
31 1251.0000000000
32 1278.0000000000
34 1342.0000000000
36 1357.0000000000
39 1394.0000000000
40 1417.0000000000
41 1446.0000000000
45 1460.0000000000
46 1518.0000000000
54 1594.0000000000
59 1688.0000000000
60 1706.0000000000
62 1772.0000000000
63 1861.0000000000
67 1990.0000000000
70 2051.0000000000
74 2097.0000000000
77 2173.0000000000
78 2236.0000000000
81 2258.0000000000
86 2339.0000000000
87 2353.0000000000
89 2418.0000000000
91 2500.0000000000
92 2560.0000000000
94 2611.0000000000
95 2660.0000000000
99 2747.0000000000
101 2766.0000000000
103 2894.0000000000
104 2957.0000000000
105 3004.0000000000
107 3047.0000000000
108 3051.0000000000
109 3082.0000000000
111 3133.0000000000
124 3231.0000000000
130 3322.0000000000
131 3390.0000000000
138 3406.0000000000
140 3446.0000000000
145 3458.0000000000
149 3486.0000000000
150 3573.0000000000
153 3629.0000000000
163 3677.0000000000
167 3682.0000000000
174 3735.0000000000
181 3756.0000000000
193 3835.0000000000
202 3910.0000000000
209 3955.0000000000
216 4032.0000000000
220 4066.0000000000
225 4104.0000000000
245 4163.0000000000
256 4184.0000000000
258 4214.0000000000
263 4286.0000000000
294 4303.0000000000
309 4307.0000000000
332 4352.0000000000
340 4391.0000000000
341 4393.0000000000
346 4426.0000000000
353 4455.0000000000
366 4491.0000000000
371 4516.0000000000
380 4535.0000000000
401 4575.0000000000
441 4578.0000000000
451 4604.0000000000
459 4614.0000000000
506 4621.0000000000
510 4624.0000000000
515 4673.0000000000
516 4740.0000000000
527 4772.0000000000
551 4814.0000000000
639 4902.0000000000
646 4906.0000000000
655 4913.0000000000
759 4932.0000000000
811 4976.0000000000
824 5011.0000000000
1189 5023.0000000000
1950 5033.0000000000
1953 5050.0000000000
evaluations raw_y
1 0.0000000000
2 40.0000000000
3 96.0000000000
4 289.0000000000
6 312.0000000000
7 394.0000000000
10 593.0000000000
14 600.0000000000
18 711.0000000000
19 811.0000000000
21 927.0000000000
25 989.0000000000
27 1026.0000000000
28 1121.0000000000
29 1163.0000000000
30 1258.0000000000
31 1404.0000000000
35 1496.0000000000
37 1497.0000000000
38 1589.0000000000
39 1696.0000000000
42 1812.0000000000
