evaluations raw_y
1 -0.4996561918
2 -0.4950299970
3 -0.4857002693
5 -0.4789577747
8 -0.4740569386
9 -0.4686937892
10 -0.4646285243
11 -0.4603067927
13 -0.4602574060
20 -0.4595613552
24 -0.4569072251
25 -0.4522135585
26 -0.4500084440
27 -0.4493448387
29 -0.4441752483
34 -0.4415089650
36 -0.4372668187
38 -0.4343335760
42 -0.4270837670
48 -0.4236434778
53 -0.4156641424
56 -0.4089738280
59 -0.4066468505
60 -0.4024405059
65 -0.3957951807
66 -0.3858768822
68 -0.3839692251
76 -0.3816897767
77 -0.3809487593
78 -0.3804190166
89 -0.3752695389
90 -0.3709175577
94 -0.3603437196
103 -0.3593426792
105 -0.3491655646
110 -0.3488994247
113 -0.3454123671
127 -0.3428502920
129 -0.3380965011
145 -0.3380881159
149 -0.3374715337
232 -0.3371235766
282 -0.3268867841
327 -0.3178152385
513 -0.3170371469
613 -0.3117175111
100000 -0.3193967032
evaluations raw_y
1 -0.4949246794
6 -0.4911342474
10 -0.4882010047
11 -0.4835748099
16 -0.4793326636
17 -0.4766785336
21 -0.4715089432
25 -0.4606334711
26 -0.4582920157
37 -0.4563843586
40 -0.4529440694
47 -0.4473987401
50 -0.4444323135
51 -0.4358051075
52 -0.4309042714
54 -0.4268390065
55 -0.4188164600
58 -0.4147633789
62 -0.4115804503
63 -0.4039012582
64 -0.4025429448
65 -0.3983366003
67 -0.3960096228
78 -0.3860913243
80 -0.3853952734
83 -0.3819082159
85 -0.3746584069
93 -0.3703366753
98 -0.3697200931
99 -0.3594833006
104 -0.3587422832
113 -0.3564628348
116 -0.3542577204
118 -0.3479696681
120 -0.3471915765
129 -0.3434701129
159 -0.3367797985
174 -0.3365694360
192 -0.3207075763
242 -0.3181455011
285 -0.3128258652
100000 -0.3177267013
evaluations raw_y
1 -0.5083772751
3 -0.5048902175
4 -0.4985733840
6 -0.4962319286
7 -0.4959657887
9 -0.4951876971
10 -0.4949773346
12 -0.4888126728
13 -0.4868562094
15 -0.4825344778
19 -0.4773850002
20 -0.4733197353
21 -0.4624442632
29 -0.4597779799
32 -0.4575728655
34 -0.4507878396
36 -0.4388102345
41 -0.4381466292
42 -0.4320164269
43 -0.4308239967
46 -0.4253958091
50 -0.4219162546
61 -0.4212996723
63 -0.4186455423
69 -0.4106662068
