evaluations raw_y
1 0.0000000000
47 1.0000000000
139 2.0000000000
180 4.0000000000
188 5.0000000000
582 6.0000000000
600 7.0000000000
950 8.0000000000
992 9.0000000000
1049 10.0000000000
1135 11.0000000000
1198 12.0000000000
1214 13.0000000000
1227 14.0000000000
1292 15.0000000000
1354 16.0000000000
1369 17.0000000000
1456 18.0000000000
1569 19.0000000000
1672 20.0000000000
1837 21.0000000000
1955 22.0000000000
2024 23.0000000000
2068 24.0000000000
2143 25.0000000000
2158 26.0000000000
2194 27.0000000000
2220 28.0000000000
2423 29.0000000000
2436 30.0000000000
2632 31.0000000000
2754 32.0000000000
2791 33.0000000000
2817 34.0000000000
2829 35.0000000000
3127 36.0000000000
3250 37.0000000000
3339 38.0000000000
3410 39.0000000000
3817 40.0000000000
3834 41.0000000000
3971 42.0000000000
4040 43.0000000000
4342 44.0000000000
4348 45.0000000000
4366 46.0000000000
4587 47.0000000000
4599 48.0000000000
4664 49.0000000000
4961 50.0000000000
4969 51.0000000000
4971 52.0000000000
5041 53.0000000000
5134 54.0000000000
5135 55.0000000000
5149 56.0000000000
5191 57.0000000000
5258 58.0000000000
5466 59.0000000000
5701 60.0000000000
5734 61.0000000000
5846 62.0000000000
5892 63.0000000000
5970 64.0000000000
6051 65.0000000000
6120 66.0000000000
6319 67.0000000000
6595 68.0000000000
6622 69.0000000000
6656 70.0000000000
6840 71.0000000000
6881 72.0000000000
7275 73.0000000000
7277 74.0000000000
7372 75.0000000000
7405 76.0000000000
7544 77.0000000000
7716 78.0000000000
7739 79.0000000000
7807 80.0000000000
7813 81.0000000000
7902 82.0000000000
8029 83.0000000000
8038 84.0000000000
8053 85.0000000000
8284 86.0000000000
8322 87.0000000000
8339 88.0000000000
8357 89.0000000000
8385 90.0000000000
8421 91.0000000000
8593 92.0000000000
8628 93.0000000000
8639 94.0000000000
8721 95.0000000000
8820 96.0000000000
9044 97.0000000000
9116 98.0000000000
9190 99.0000000000
9552 100.0000000000
evaluations raw_y
1 0.0000000000
122 1.0000000000
150 2.0000000000
182 3.0000000000
264 4.0000000000
361 5.0000000000
389 6.0000000000
442 7.0000000000
479 8.0000000000
531 9.0000000000
637 10.0000000000
720 11.0000000000
810 12.0000000000
849 13.0000000000
1059 14.0000000000
1063 15.0000000000
1115 16.0000000000
1135 17.0000000000
1277 18.0000000000
1303 19.0000000000
1311 20.0000000000
1339 21.0000000000
1357 22.0000000000
1387 23.0000000000
1513 24.0000000000
1923 25.0000000000
2450 26.0000000000
2485 27.0000000000
2729 28.0000000000
2767 29.0000000000
2836 31.0000000000
3235 32.0000000000
3373 33.0000000000
3556 34.0000000000
3764 35.0000000000
3865 36.0000000000
3881 37.0000000000
3913 38.0000000000
4056 39.0000000000
4067 40.0000000000
4135 41.0000000000
4148 42.0000000000
4340 43.0000000000
4445 44.0000000000
4534 45.0000000000
4560 46.0000000000
4943 47.0000000000
4985 48.0000000000
5115 49.0000000000
5149 50.0000000000
5305 51.0000000000
5423 52.0000000000
5463 53.0000000000
5558 54.0000000000
5661 55.0000000000
5689 56.0000000000
5716 57.0000000000
5780 58.0000000000
5860 59.0000000000
5910 60.0000000000
6006 61.0000000000
6036 62.0000000000
6061 63.0000000000
6193 64.0000000000
6448 65.0000000000
6617 66.0000000000
6660 67.0000000000
6839 68.0000000000
6890 69.0000000000
7125 70.0000000000
7128 71.0000000000
7307 72.0000000000
7466 73.0000000000
7492 74.0000000000
7513 75.0000000000
7597 76.0000000000
7631 77.0000000000
7714 78.0000000000
7717 79.0000000000
7718 80.0000000000
7786 81.0000000000
7797 82.0000000000
7847 83.0000000000
7894 84.0000000000
8046 85.0000000000
8078 86.0000000000
8430 87.0000000000
8435 88.0000000000
8909 89.0000000000
8951 90.0000000000
9105 91.0000000000
9291 92.0000000000
9332 93.0000000000
9413 94.0000000000
9513 95.0000000000
9547 96.0000000000
9740 97.0000000000
9852 98.0000000000
9925 99.0000000000
9972 100.0000000000
evaluations raw_y
1 0.0000000000
40 1.0000000000
248 2.0000000000
350 3.0000000000
462 4.0000000000
512 5.0000000000
536 7.0000000000
549 8.0000000000
587 9.0000000000
761 10.0000000000
802 11.0000000000
845 12.0000000000
869 13.0000000000
929 14.0000000000
941 15.0000000000
977 16.0000000000
1057 17.0000000000
1214 18.0000000000
1430 19.0000000000
1624 20.0000000000
1647 21.0000000000
2085 22.0000000000
2151 23.0000000000
2168 24.0000000000
2275 25.0000000000
2318 26.0000000000
2355 27.0000000000
2599 28.0000000000
2799 29.0000000000
2803 30.0000000000
2807 31.0000000000
2902 32.0000000000
2939 33.0000000000
3015 34.0000000000
