evaluations raw_y
1 0.6322711179
2 1.2588116818
9 1.3116474292
11 1.6600265604
15 1.9747235387
26 2.1079258010
287 2.5562372188
1955 2.9411764706
125000 0.9819324430
evaluations raw_y
1 1.1649580615
2 1.4863258026
3 1.5762925599
6 1.7337031900
22 1.7934002869
91 1.8573551263
337 1.8796992481
355 1.9025875190
410 2.2935779817
828 2.6881720430
7769 2.7352297593
21746 2.7839643653
25128 3.0562347188
45077 3.1172069825
120709 3.2467532468
125000 1.3572204126
evaluations raw_y
1 1.1071744907
3 1.2007684918
6 1.5605493134
8 1.7531556802
43 2.0259319287
525 2.3277467412
559 2.3629489603
1172 2.4366471735
2835 2.5150905433
3723 2.5987525988
6072 2.7839643653
12575 2.8344671202
34731 2.9411764706
35386 3.0562347188
56238 3.1172069825
125000 1.1312217195
evaluations raw_y
1 0.7654623393
2 0.8394895903
3 1.0766580534
4 1.1150758252
5 1.4863258026
17 1.7730496454
38 2.0798668885
53 2.1079258010
126 2.2935779817
905 2.8344671202
28425 3.0562347188
113889 3.1172069825
125000 1.2195121951
evaluations raw_y
1 1.3227513228
3 1.3691128149
12 1.3935340022
17 1.5451174289
61 1.7337031900
64 1.9747235387
206 2.0798668885
231 2.1079258010
232 2.3277467412
245 2.3629489603
874 2.4752475248
1058 2.6881720430
7579 2.9976019185
35328 3.3875338753
125000 1.1916110582
evaluations raw_y
1 0.8175277959
2 1.3340448239
9 1.4188422247
15 1.6425755585
96 1.8573551263
148 1.8796992481
168 1.9025875190
203 2.1367521368
396 2.6427061311
5675 2.6881720430
8366 2.8344671202
18441 2.8868360277
89480 2.9976019185
102791 3.0562347188
125000 0.7692307692
evaluations raw_y
1 0.9578544061
2 1.6254876463
17 1.6960651289
30 1.7146776406
62 2.1079258010
65 2.3992322457
137 2.4366471735
694 2.5562372188
13997 2.5987525988
15910 2.6881720430
16616 2.7839643653
79275 2.8344671202
83927 2.8868360277
125000 1.0339123242
evaluations raw_y
1 1.1916110582
2 1.6087516088
16 2.1079258010
178 2.5562372188
1950 2.8344671202
4460 3.3875338753
125000 0.7730364873
evaluations raw_y
1 1.4723203769
12 1.5006002401
17 1.6960651289
44 2.0259319287
88 2.0798668885
126 2.1079258010
354 2.2281639929
1161 2.3992322457
1661 2.4366471735
3576 2.4752475248
5690 2.6881720430
6470 2.9976019185
54530 3.1172069825
83180 3.3156498674
125000 1.4863258026
evaluations raw_y
1 0.6534239415
2 2.2281639929
1689 2.7839643653
4756 2.8344671202
7623 3.0562347188
125000 1.5151515152
