evaluations raw_y
1 20.0000000000
3 28.0000000000
11 29.0000000000
20 34.0000000000
183 35.0000000000
522 39.0000000000
108751 40.0000000000
125000 26.0000000000
evaluations raw_y
1 23.0000000000
5 26.0000000000
9 27.0000000000
10 33.0000000000
652 34.0000000000
670 35.0000000000
735 36.0000000000
1683 37.0000000000
5302 39.0000000000
39138 41.0000000000
125000 26.0000000000
evaluations raw_y
1 23.0000000000
3 29.0000000000
11 30.0000000000
14 31.0000000000
43 33.0000000000
228 34.0000000000
678 36.0000000000
2989 37.0000000000
3303 38.0000000000
5647 39.0000000000
24383 41.0000000000
125000 21.0000000000
evaluations raw_y
1 26.0000000000
3 34.0000000000
427 36.0000000000
1777 37.0000000000
1898 38.0000000000
7906 39.0000000000
30149 40.0000000000
125000 19.0000000000
evaluations raw_y
1 26.0000000000
2 30.0000000000
9 32.0000000000
125 34.0000000000
285 37.0000000000
3992 38.0000000000
16685 39.0000000000
125000 25.0000000000
evaluations raw_y
1 21.0000000000
2 24.0000000000
4 29.0000000000
20 33.0000000000
116 34.0000000000
122 35.0000000000
445 40.0000000000
125000 24.0000000000
evaluations raw_y
1 25.0000000000
2 31.0000000000
80 32.0000000000
164 34.0000000000
220 35.0000000000
1289 37.0000000000
7259 38.0000000000
26296 39.0000000000
41121 40.0000000000
125000 27.0000000000
evaluations raw_y
1 24.0000000000
2 30.0000000000
14 32.0000000000
69 33.0000000000
175 36.0000000000
3207 37.0000000000
5512 38.0000000000
25478 39.0000000000
40409 41.0000000000
125000 28.0000000000
evaluations raw_y
1 29.0000000000
2 30.0000000000
22 31.0000000000
55 35.0000000000
970 39.0000000000
7482 40.0000000000
125000 21.0000000000
evaluations raw_y
1 20.0000000000
2 22.0000000000
4 30.0000000000
43 32.0000000000
136 34.0000000000
282 35.0000000000
1323 36.0000000000
6229 37.0000000000
12800 38.0000000000
25299 39.0000000000
125000 19.0000000000
