evaluations raw_y
1 0.0000000000
2 2.0000000000
5 5.0000000000
45 6.0000000000
63 10.0000000000
1726 15.0000000000
3714 20.0000000000
125000 0.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
5 4.0000000000
33 6.0000000000
48 7.0000000000
317 8.0000000000
507 9.0000000000
1308 11.0000000000
3273 13.0000000000
23677 16.0000000000
125000 2.0000000000
evaluations raw_y
1 0.0000000000
3 3.0000000000
8 7.0000000000
28 12.0000000000
8030 13.0000000000
33797 14.0000000000
122486 15.0000000000
125000 4.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
3 2.0000000000
5 4.0000000000
36 5.0000000000
119 6.0000000000
170 8.0000000000
171 11.0000000000
12337 12.0000000000
16517 17.0000000000
99824 18.0000000000
125000 0.0000000000
evaluations raw_y
1 2.0000000000
5 3.0000000000
44 4.0000000000
89 5.0000000000
175 7.0000000000
354 8.0000000000
1141 10.0000000000
9122 12.0000000000
20681 15.0000000000
63748 18.0000000000
106920 20.0000000000
125000 1.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
9 2.0000000000
14 8.0000000000
1570 10.0000000000
3387 11.0000000000
3435 12.0000000000
4932 13.0000000000
8691 14.0000000000
9627 16.0000000000
125000 1.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
6 2.0000000000
8 3.0000000000
23 6.0000000000
42 8.0000000000
617 9.0000000000
624 11.0000000000
2080 12.0000000000
13602 13.0000000000
18626 14.0000000000
26700 17.0000000000
125000 4.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
19 3.0000000000
73 14.0000000000
55619 17.0000000000
125000 1.0000000000
evaluations raw_y
1 5.0000000000
90 8.0000000000
460 9.0000000000
2173 11.0000000000
5688 13.0000000000
23718 17.0000000000
41103 20.0000000000
125000 0.0000000000
evaluations raw_y
1 2.0000000000
4 3.0000000000
28 5.0000000000
30 6.0000000000
192 8.0000000000
952 10.0000000000
1904 13.0000000000
10058 15.0000000000
28449 16.0000000000
105157 20.0000000000
125000 0.0000000000
