evaluations raw_y
1 95.0000000000
2 178.0000000000
3 198.0000000000
4 287.0000000000
5 317.0000000000
6 375.0000000000
7 397.0000000000
8 432.0000000000
10 525.0000000000
11 530.0000000000
12 584.0000000000
14 639.0000000000
16 678.0000000000
17 769.0000000000
18 817.0000000000
19 892.0000000000
20 934.0000000000
21 984.0000000000
22 994.0000000000
23 1046.0000000000
24 1057.0000000000
25 1125.0000000000
26 1150.0000000000
27 1219.0000000000
28 1278.0000000000
29 1357.0000000000
30 1439.0000000000
31 1536.0000000000
32 1608.0000000000
33 1665.0000000000
34 1712.0000000000
35 1779.0000000000
36 1820.0000000000
38 1834.0000000000
39 1842.0000000000
40 1918.0000000000
41 1983.0000000000
42 2001.0000000000
44 2062.0000000000
47 2066.0000000000
48 2094.0000000000
51 2178.0000000000
52 2197.0000000000
53 2229.0000000000
54 2235.0000000000
55 2322.0000000000
58 2345.0000000000
60 2433.0000000000
64 2482.0000000000
68 2553.0000000000
71 2554.0000000000
77 2617.0000000000
79 2653.0000000000
80 2669.0000000000
82 2693.0000000000
90 2778.0000000000
91 2807.0000000000
100 2860.0000000000
102 2938.0000000000
105 3028.0000000000
108 3066.0000000000
110 3092.0000000000
112 3137.0000000000
113 3233.0000000000
116 3297.0000000000
117 3331.0000000000
122 3393.0000000000
128 3405.0000000000
129 3471.0000000000
130 3486.0000000000
136 3586.0000000000
137 3678.0000000000
140 3758.0000000000
141 3809.0000000000
143 3826.0000000000
147 3920.0000000000
159 3994.0000000000
160 4093.0000000000
166 4096.0000000000
170 4133.0000000000
171 4179.0000000000
177 4210.0000000000
185 4231.0000000000
186 4329.0000000000
190 4373.0000000000
199 4454.0000000000
221 4510.0000000000
222 4550.0000000000
232 4636.0000000000
241 4706.0000000000
242 4708.0000000000
258 4751.0000000000
265 4828.0000000000
268 4837.0000000000
278 4844.0000000000
281 4904.0000000000
300 4931.0000000000
352 4944.0000000000
387 5017.0000000000
492 5050.0000000000
evaluations raw_y
1 14.0000000000
2 113.0000000000
3 131.0000000000
4 156.0000000000
5 186.0000000000
7 274.0000000000
8 286.0000000000
9 327.0000000000
10 422.0000000000
11 429.0000000000
12 529.0000000000
13 604.0000000000
14 666.0000000000
15 753.0000000000
16 835.0000000000
17 882.0000000000
18 955.0000000000
19 972.0000000000
20 1022.0000000000
21 1060.0000000000
22 1064.0000000000
24 1084.0000000000
25 1173.0000000000
26 1215.0000000000
28 1312.0000000000
30 1344.0000000000
31 1409.0000000000
32 1440.0000000000
33 1462.0000000000
36 1547.0000000000
37 1576.0000000000
39 1660.0000000000
40 1741.0000000000
41 1827.0000000000
43 1843.0000000000
45 1896.0000000000
46 1942.0000000000
50 1943.0000000000
52 1956.0000000000
54 1964.0000000000
56 2062.0000000000
57 2064.0000000000
59 2147.0000000000
62 2201.0000000000
63 2204.0000000000
65 2296.0000000000
68 2362.0000000000
69 2429.0000000000
70 2488.0000000000
71 2557.0000000000
72 2601.0000000000
73 2638.0000000000
74 2647.0000000000
75 2675.0000000000
77 2736.0000000000
80 2779.0000000000
81 2875.0000000000
82 2953.0000000000
84 2987.0000000000
89 3061.0000000000
90 3067.0000000000
92 3112.0000000000
94 3203.0000000000
103 3259.0000000000
104 3307.0000000000
106 3326.0000000000
107 3377.0000000000
109 3437.0000000000
111 3447.0000000000
115 3486.0000000000
116 3521.0000000000
117 3589.0000000000
125 3612.0000000000
126 3648.0000000000
128 3719.0000000000
132 3791.0000000000
134 3861.0000000000
136 3919.0000000000
139 3983.0000000000
144 4032.0000000000
147 4109.0000000000
154 4188.0000000000
178 4281.0000000000
184 4371.0000000000
192 4376.0000000000
199 4452.0000000000
206 4473.0000000000
207 4497.0000000000
242 4560.0000000000
248 4586.0000000000
280 4680.0000000000
281 4691.0000000000
283 4718.0000000000
367 4773.0000000000
375 4830.0000000000
412 4845.0000000000
444 4878.0000000000
479 4930.0000000000
530 5010.0000000000
568 5050.0000000000
evaluations raw_y
1 71.0000000000
2 134.0000000000
3 141.0000000000
4 216.0000000000
5 295.0000000000
6 323.0000000000
7 370.0000000000
8 406.0000000000
9 492.0000000000
12 582.0000000000
13 613.0000000000
14 639.0000000000
15 684.0000000000
16 782.0000000000
17 812.0000000000
18 814.0000000000
20 866.0000000000
21 965.0000000000
22 986.0000000000
23 1030.0000000000
24 1086.0000000000
26 1100.0000000000
27 1142.0000000000
28 1162.0000000000
31 1249.0000000000
32 1262.0000000000
33 1326.0000000000
34 1334.0000000000
35 1371.0000000000
37 1400.0000000000
38 1435.0000000000
40 1446.0000000000
41 1528.0000000000
43 1550.0000000000
44 1643.0000000000
45 1740.0000000000
46 1780.0000000000
47 1814.0000000000
49 1871.0000000000
51 1960.0000000000
52 2048.0000000000
56 2101.0000000000
57 2168.0000000000
59 2244.0000000000
60 2312.0000000000
62 2337.0000000000
63 2417.0000000000
64 2432.0000000000
65 2491.0000000000
66 2497.0000000000
67 2506.0000000000
68 2568.0000000000
69 2586.0000000000
70 2602.0000000000
72 2656.0000000000
75 2657.0000000000
76 2738.0000000000
77 2757.0000000000
78 2796.0000000000
79 2842.0000000000
80 2934.0000000000
81 2985.0000000000
84 3051.0000000000
85 3125.0000000000
88 3135.0000000000
92 3138.0000000000
96 3232.0000000000
100 3317.0000000000
103 3334.0000000000
106 3403.0000000000
108 3436.0000000000
109 3509.0000000000
112 3559.0000000000
117 3608.0000000000
123 3699.0000000000
125 3737.0000000000
131 3749.0000000000
133 3773.0000000000
134 3857.0000000000
141 3957.0000000000
145 4040.0000000000
150 4112.0000000000
151 4208.0000000000
159 4213.0000000000
170 4283.0000000000
172 4324.0000000000
190 4382.0000000000
191 4405.0000000000
200 4465.0000000000
204 4543.0000000000
210 4570.0000000000
217 4647.0000000000
240 4695.0000000000
241 4727.0000000000
273 4792.0000000000
286 4887.0000000000
318 4891.0000000000
348 4946.0000000000
461 4989.0000000000
519 5050.0000000000
evaluations raw_y
1 89.0000000000
2 166.0000000000
3 254.0000000000
4 277.0000000000
5 344.0000000000
6 424.0000000000
8 449.0000000000
9 451.0000000000
10 542.0000000000
11 572.0000000000
12 620.0000000000
13 690.0000000000
14 730.0000000000
15 830.0000000000
16 833.0000000000
17 838.0000000000
20 848.0000000000
21 876.0000000000
22 928.0000000000
23 961.0000000000
24 1034.0000000000
25 1133.0000000000
26 1211.0000000000
27 1217.0000000000
28 1261.0000000000
29 1318.0000000000
30 1377.0000000000
31 1427.0000000000
32 1434.0000000000
33 1456.0000000000
34 1522.0000000000
35 1614.0000000000
36 1646.0000000000
37 1647.0000000000
38 1723.0000000000
39 1808.0000000000
41 1824.0000000000
46 1839.0000000000
48 1843.0000000000
51 1885.0000000000
52 1938.0000000000
53 1956.0000000000
55 1991.0000000000
56 2060.0000000000
57 2131.0000000000
59 2192.0000000000
62 2266.0000000000
63 2330.0000000000
64 2392.0000000000
66 2489.0000000000
70 2561.0000000000
72 2592.0000000000
74 2611.0000000000
75 2665.0000000000
76 2740.0000000000
77 2760.0000000000
78 2784.0000000000
80 2820.0000000000
81 2828.0000000000
84 2926.0000000000
89 2971.0000000000
103 3065.0000000000
104 3147.0000000000
107 3168.0000000000
108 3207.0000000000
111 3290.0000000000
112 3377.0000000000
116 3470.0000000000
117 3496.0000000000
119 3542.0000000000
121 3621.0000000000
122 3686.0000000000
124 3703.0000000000
126 3771.0000000000
128 3861.0000000000
136 3874.0000000000
137 3955.0000000000
150 3993.0000000000
163 4005.0000000000
168 4039.0000000000
171 4088.0000000000
172 4143.0000000000
177 4157.0000000000
178 4208.0000000000
180 4294.0000000000
181 4390.0000000000
185 4448.0000000000
189 4508.0000000000
194 4551.0000000000
195 4646.0000000000
207 4709.0000000000
209 4738.0000000000
213 4785.0000000000
217 4841.0000000000
219 4850.0000000000
223 4887.0000000000
238 4928.0000000000
249 4955.0000000000
263 4966.0000000000
334 5050.0000000000
evaluations raw_y
1 12.0000000000
2 105.0000000000
3 178.0000000000
4 188.0000000000
5 239.0000000000
6 262.0000000000
7 263.0000000000
8 292.0000000000
9 310.0000000000
10 376.0000000000
11 404.0000000000
12 472.0000000000
13 510.0000000000
16 597.0000000000
17 691.0000000000
18 767.0000000000
20 775.0000000000
21 796.0000000000
22 837.0000000000
23 846.0000000000
24 936.0000000000
25 986.0000000000
26 1018.0000000000
28 1082.0000000000
29 1152.0000000000
30 1248.0000000000
31 1336.0000000000
32 1358.0000000000
33 1437.0000000000
34 1517.0000000000
35 1614.0000000000
36 1709.0000000000
37 1770.0000000000
38 1856.0000000000
41 1904.0000000000
42 1962.0000000000
43 2017.0000000000
45 2052.0000000000
46 2094.0000000000
48 2127.0000000000
51 2170.0000000000
54 2215.0000000000
57 2217.0000000000
58 2221.0000000000
59 2321.0000000000
61 2390.0000000000
63 2475.0000000000
65 2511.0000000000
66 2522.0000000000
69 2614.0000000000
72 2679.0000000000
74 2739.0000000000
77 2753.0000000000
80 2783.0000000000
83 2855.0000000000
84 2932.0000000000
86 3007.0000000000
87 3010.0000000000
88 3073.0000000000
90 3162.0000000000
91 3211.0000000000
92 3218.0000000000
94 3223.0000000000
95 3267.0000000000
103 3282.0000000000
104 3344.0000000000
105 3418.0000000000
106 3443.0000000000
107 3483.0000000000
108 3503.0000000000
119 3516.0000000000
123 3614.0000000000
126 3641.0000000000
129 3700.0000000000
131 3716.0000000000
135 3807.0000000000
137 3888.0000000000
143 3959.0000000000
146 3990.0000000000
151 4068.0000000000
153 4074.0000000000
163 4126.0000000000
172 4209.0000000000
181 4228.0000000000
182 4252.0000000000
184 4306.0000000000
193 4390.0000000000
195 4443.0000000000
198 4510.0000000000
203 4549.0000000000
204 4575.0000000000
207 4657.0000000000
239 4703.0000000000
259 4720.0000000000
267 4757.0000000000
278 4791.0000000000
298 4838.0000000000
303 4894.0000000000
322 4993.0000000000
660 5050.0000000000
evaluations raw_y
1 2.0000000000
2 82.0000000000
3 180.0000000000
4 222.0000000000
5 237.0000000000
6 241.0000000000
8 336.0000000000
9 420.0000000000
10 499.0000000000
11 586.0000000000
14 644.0000000000
15 693.0000000000
16 778.0000000000
17 846.0000000000
