evaluations raw_y
1 0.7984669435
2 0.8010253124
3 1.0845986985
4 1.3758943313
14 1.5693659761
23 1.5792798484
35 1.6501650165
42 1.7018379850
48 1.7921146953
52 1.8234865062
59 1.8532246108
63 1.9394879752
86 2.0508613618
120 2.1758050479
139 2.1872265967
167 2.3562676720
190 2.3741690408
196 2.5125628141
287 2.6795284030
546 2.6852846402
568 2.7563395810
572 2.7746947836
700 2.9515938607
758 3.0599755202
1599 3.0674846626
1639 3.0902348578
1841 3.1133250311
1891 3.2341526520
2005 3.2938076416
2226 3.3738191633
2350 3.4578146611
2486 3.4867503487
2575 3.6179450072
2692 3.6496350365
3522 3.7037037037
3594 4.0783034258
100000 3.7257824143
