evaluations raw_y
1800001 -1050.0000000000
1800014 -720.0000000000
1800028 -710.0000000000
1800038 -700.0000000000
1800044 -642.0000000000
1800054 -574.0000000000
1800058 -564.0000000000
1800061 -535.0000000000
1800064 -467.0000000000
1800073 -447.0000000000
1800074 -438.0000000000
1800087 -409.0000000000
1800098 -399.0000000000
1800102 -380.0000000000
1800113 -351.0000000000
1800120 -350.0000000000
1800121 -341.0000000000
1800129 -312.0000000000
1800131 -302.0000000000
1800133 -254.0000000000
1800152 -235.0000000000
1800154 -215.0000000000
1800167 -196.0000000000
1800173 -195.0000000000
1800191 -167.0000000000
1800197 -166.0000000000
1800202 -148.0000000000
1800218 -129.0000000000
1800223 -100.0000000000
1800240 -90.0000000000
1800248 -71.0000000000
1800290 -61.0000000000
1800306 -60.0000000000
1800314 -52.0000000000
1800332 -51.0000000000
1800342 -32.0000000000
1800365 -13.0000000000
1800412 -12.0000000000
1800437 -11.0000000000
1800464 -10.0000000000
1800487 9.0000000000
