evaluations raw_y
1 6.8000000000
2 8.4000000000
10 8.6000000000
14 8.8000000000
15 9.4000000000
20 9.8000000000
22 10.6000000000
31 11.6000000000
40 11.8000000000
78 12.0000000000
117 12.2000000000
131 12.4000000000
147 12.6000000000
182 12.8000000000
197 13.2000000000
243 13.4000000000
269 13.6000000000
283 13.8000000000
311 14.0000000000
322 14.2000000000
331 14.4000000000
354 14.8000000000
385 15.0000000000
424 15.2000000000
455 15.4000000000
457 15.6000000000
519 15.8000000000
535 16.0000000000
639 16.2000000000
736 16.4000000000
922 16.6000000000
1021 16.8000000000
100000 15.6000000000
