evaluations raw_y
1800001 40.0000000000
1800002 51.0000000000
1800004 55.0000000000
1800005 56.0000000000
1800008 59.0000000000
1800010 60.0000000000
1800012 66.0000000000
1800030 67.0000000000
1800031 68.0000000000
1800036 69.0000000000
1800059 72.0000000000
1800075 73.0000000000
1800085 75.0000000000
1800107 76.0000000000
1800112 77.0000000000
1800121 78.0000000000
1800135 79.0000000000
1800139 80.0000000000
1800147 81.0000000000
1800156 82.0000000000
1800168 85.0000000000
1800193 86.0000000000
1800196 87.0000000000
1800221 88.0000000000
1800251 89.0000000000
1800262 90.0000000000
1800281 91.0000000000
1800298 92.0000000000
1800301 93.0000000000
1800360 94.0000000000
1800378 95.0000000000
1800415 96.0000000000
1800465 97.0000000000
1800482 98.0000000000
1800640 99.0000000000
1800720 100.0000000000
