evaluations raw_y
1 -0.4986995340
11 -0.4906878898
14 -0.4565479276
19 -0.4532220472
27 -0.4358344239
44 -0.4348254121
49 -0.4341343562
50 -0.4311039485
55 -0.4255916030
61 -0.4218701394
72 -0.4171421597
77 -0.4050036644
88 -0.4044894253
91 -0.4031759325
98 -0.4005874486
99 -0.3987633084
109 -0.3974778934
117 -0.3966760524
149 -0.3926107875
160 -0.3916063036
170 -0.3864066288
181 -0.3828933687
202 -0.3826107419
209 -0.3803312935
224 -0.3725171144
255 -0.3719011901
257 -0.3690768252
273 -0.3641526120
288 -0.3628995084
299 -0.3606929046
306 -0.3584349747
312 -0.3579039725
317 -0.3538330178
321 -0.3537055787
324 -0.3507217792
327 -0.3504556393
328 -0.3442485471
338 -0.3415585654
367 -0.3400845708
375 -0.3301157728
392 -0.3291067609
412 -0.3286266409
435 -0.3269157454
453 -0.3212132613
484 -0.3198904288
486 -0.3194103088
526 -0.3146611770
644 -0.3136601366
687 -0.3124298464
803 -0.3120982724
971 -0.3103268934
2156 -0.3088116331
4414 -0.3085435942
4418 -0.3072230317
4511 -0.3070966262
4561 -0.3053552836
4566 -0.3017769904
5269 -0.3011481006
8822 -0.2976238085
39293 -0.2962978106
43068 -0.2928200823
100000 -0.3030699548
