evaluations raw_y
1 7.0000000000
9 9.0000000000
358 10.0000000000
605 14.0000000000
611 16.0000000000
649 18.0000000000
842 19.0000000000
866 21.0000000000
873 22.0000000000
941 24.0000000000
1008 27.0000000000
1178 28.0000000000
1260 33.0000000000
1574 40.0000000000
1735 42.0000000000
1780 44.0000000000
2021 46.0000000000
2145 47.0000000000
2248 48.0000000000
2413 49.0000000000
2529 50.0000000000
2652 52.0000000000
2784 53.0000000000
2979 54.0000000000
3032 55.0000000000
3145 56.0000000000
3175 58.0000000000
3229 59.0000000000
3887 60.0000000000
4120 61.0000000000
4256 63.0000000000
4375 65.0000000000
4408 66.0000000000
4553 67.0000000000
4780 69.0000000000
5070 70.0000000000
5232 72.0000000000
5293 73.0000000000
5559 74.0000000000
6176 75.0000000000
6239 76.0000000000
6551 77.0000000000
6864 79.0000000000
6897 80.0000000000
7006 81.0000000000
7575 89.0000000000
7891 92.0000000000
8219 93.0000000000
8329 94.0000000000
8366 99.0000000000
9135 100.0000000000
100000 100.0000000000
