evaluations raw_y
1 2332.0000000000
2 2650.0000000000
3 3055.0000000000
21 3087.0000000000
24 3133.0000000000
26 3168.0000000000
32 3231.0000000000
34 3419.0000000000
36 3626.0000000000
61 3667.0000000000
68 3679.0000000000
79 3752.0000000000
94 3766.0000000000
96 3827.0000000000
106 3852.0000000000
126 3887.0000000000
132 3912.0000000000
146 3923.0000000000
152 3929.0000000000
153 3983.0000000000
154 3989.0000000000
157 4080.0000000000
178 4090.0000000000
184 4171.0000000000
204 4177.0000000000
208 4310.0000000000
229 4378.0000000000
246 4441.0000000000
259 4488.0000000000
284 4506.0000000000
293 4510.0000000000
295 4515.0000000000
296 4622.0000000000
312 4661.0000000000
320 4720.0000000000
335 4722.0000000000
382 4738.0000000000
395 4747.0000000000
404 4762.0000000000
419 4803.0000000000
431 4807.0000000000
443 4831.0000000000
491 4841.0000000000
496 4928.0000000000
550 4994.0000000000
654 5029.0000000000
1390 5039.0000000000
1405 5050.0000000000
100000 5010.0000000000
