evaluations raw_y
1 1.0000000000
10 3.0000000000
14 5.0000000000
366 7.0000000000
505 8.0000000000
566 11.0000000000
590 15.0000000000
649 18.0000000000
693 20.0000000000
1110 22.0000000000
1270 24.0000000000
1578 26.0000000000
1686 28.0000000000
2350 29.0000000000
2525 31.0000000000
2661 32.0000000000
2788 33.0000000000
2803 35.0000000000
2826 36.0000000000
3118 37.0000000000
3330 40.0000000000
3521 41.0000000000
3728 42.0000000000
3826 43.0000000000
4004 47.0000000000
4103 49.0000000000
4124 52.0000000000
4369 53.0000000000
4610 57.0000000000
4616 60.0000000000
5008 61.0000000000
5293 64.0000000000
5515 65.0000000000
5924 66.0000000000
6018 69.0000000000
6130 70.0000000000
6376 71.0000000000
6435 72.0000000000
6555 73.0000000000
6888 74.0000000000
6927 77.0000000000
7023 78.0000000000
7324 84.0000000000
7418 86.0000000000
7824 88.0000000000
8005 89.0000000000
8082 94.0000000000
8142 95.0000000000
8324 97.0000000000
8471 99.0000000000
8714 100.0000000000
100000 100.0000000000
evaluations raw_y
1 2.0000000000
83 3.0000000000
123 5.0000000000
133 6.0000000000
134 7.0000000000
143 9.0000000000
389 12.0000000000
393 16.0000000000
514 17.0000000000
1095 23.0000000000
1146 24.0000000000
1167 28.0000000000
1445 29.0000000000
1479 30.0000000000
1502 33.0000000000
1599 35.0000000000
1804 36.0000000000
1814 39.0000000000
1921 42.0000000000
1928 44.0000000000
2150 46.0000000000
2276 51.0000000000
2306 54.0000000000
2434 55.0000000000
2561 56.0000000000
2778 59.0000000000
3104 60.0000000000
3763 61.0000000000
3930 63.0000000000
4045 64.0000000000
4058 66.0000000000
4185 70.0000000000
4761 72.0000000000
5600 73.0000000000
5724 76.0000000000
5773 79.0000000000
5939 80.0000000000
6060 81.0000000000
6343 83.0000000000
6422 84.0000000000
6531 86.0000000000
7498 87.0000000000
7511 88.0000000000
7743 89.0000000000
7928 90.0000000000
8134 91.0000000000
8163 92.0000000000
8182 93.0000000000
8402 94.0000000000
8433 95.0000000000
8460 96.0000000000
8555 98.0000000000
8575 99.0000000000
8771 100.0000000000
100000 36.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
6 2.0000000000
19 5.0000000000
25 7.0000000000
27 8.0000000000
93 9.0000000000
208 12.0000000000
310 13.0000000000
364 14.0000000000
494 15.0000000000
546 17.0000000000
603 19.0000000000
652 20.0000000000
775 22.0000000000
983 23.0000000000
999 24.0000000000
1109 25.0000000000
1232 26.0000000000
1283 29.0000000000
1563 31.0000000000
1594 34.0000000000
1615 40.0000000000
2525 42.0000000000
2527 43.0000000000
2740 44.0000000000
