evaluations raw_y
1 2385.0000000000
2 2391.0000000000
3 2404.0000000000
4 2484.0000000000
5 2505.0000000000
6 2537.0000000000
8 2608.0000000000
9 2661.0000000000
14 2679.0000000000
25 2738.0000000000
28 2803.0000000000
29 2819.0000000000
30 2870.0000000000
34 2930.0000000000
37 2997.0000000000
38 3036.0000000000
41 3088.0000000000
42 3162.0000000000
43 3262.0000000000
49 3304.0000000000
51 3366.0000000000
53 3395.0000000000
54 3440.0000000000
63 3523.0000000000
64 3561.0000000000
66 3656.0000000000
72 3750.0000000000
75 3835.0000000000
97 3924.0000000000
109 4023.0000000000
113 4048.0000000000
114 4145.0000000000
128 4162.0000000000
135 4164.0000000000
143 4190.0000000000
144 4276.0000000000
149 4332.0000000000
152 4339.0000000000
170 4432.0000000000
173 4516.0000000000
199 4566.0000000000
203 4599.0000000000
211 4654.0000000000
215 4703.0000000000
222 4718.0000000000
224 4755.0000000000
236 4778.0000000000
243 4819.0000000000
260 4867.0000000000
265 4944.0000000000
282 5036.0000000000
322 5050.0000000000
100000 4976.0000000000
evaluations raw_y
1 2616.0000000000
2 2693.0000000000
3 2785.0000000000
4 2795.0000000000
5 2861.0000000000
6 2872.0000000000
7 2932.0000000000
8 2969.0000000000
9 3047.0000000000
10 3137.0000000000
13 3163.0000000000
14 3166.0000000000
17 3221.0000000000
20 3243.0000000000
28 3284.0000000000
35 3351.0000000000
36 3372.0000000000
38 3453.0000000000
45 3486.0000000000
48 3509.0000000000
50 3528.0000000000
53 3530.0000000000
55 3566.0000000000
56 3608.0000000000
58 3702.0000000000
66 3719.0000000000
70 3766.0000000000
73 3862.0000000000
85 3878.0000000000
86 3909.0000000000
87 3924.0000000000
91 3952.0000000000
92 4052.0000000000
94 4136.0000000000
97 4231.0000000000
108 4302.0000000000
112 4346.0000000000
119 4418.0000000000
151 4447.0000000000
152 4479.0000000000
159 4566.0000000000
177 4620.0000000000
180 4650.0000000000
181 4700.0000000000
189 4713.0000000000
214 4756.0000000000
221 4791.0000000000
301 4830.0000000000
330 4906.0000000000
385 4968.0000000000
510 4993.0000000000
525 5050.0000000000
100000 5028.0000000000
evaluations raw_y
1 3027.0000000000
2 3064.0000000000
3 3069.0000000000
6 3119.0000000000
8 3204.0000000000
9 3280.0000000000
17 3307.0000000000
18 3350.0000000000
20 3412.0000000000
22 3486.0000000000
23 3572.0000000000
24 3584.0000000000
25 3659.0000000000
26 3737.0000000000
32 3793.0000000000
34 3832.0000000000
45 3897.0000000000
47 3907.0000000000
55 3927.0000000000
71 3938.0000000000
77 4020.0000000000
79 4022.0000000000
82 4114.0000000000
86 4167.0000000000
88 4170.0000000000
93 4194.0000000000
98 4242.0000000000
100 4311.0000000000
104 4362.0000000000
108 4441.0000000000
122 4505.0000000000
124 4543.0000000000
130 4641.0000000000
142 4675.0000000000
154 4707.0000000000
173 4736.0000000000
180 4780.0000000000
181 4840.0000000000
189 4868.0000000000
193 4891.0000000000
209 4908.0000000000
275 4939.0000000000
284 4993.0000000000
318 5050.0000000000
100000 5042.0000000000
evaluations raw_y
1 3115.0000000000
3 3150.0000000000
4 3159.0000000000
6 3220.0000000000
7 3258.0000000000
13 3291.0000000000
23 3304.0000000000
