evaluations raw_y
1 0.8756567426
2 1.2518778167
14 1.4889815366
25 1.9577133908
182 2.1168501270
289 2.4061597690
449 2.4342745862
494 2.4925224327
505 2.4975024975
521 2.6399155227
568 2.9308323564
662 3.0156815440
718 3.1766200762
788 3.3200531208
928 3.3647375505
984 3.4674063800
1258 3.5971223022
1486 3.7821482602
1653 4.2881646655
2411 4.3029259897
100000 3.4387895461
evaluations raw_y
1 1.1165698973
3 1.2506253127
7 1.3376136972
11 1.4577259475
33 1.5792798484
79 1.6611295681
102 1.8953752843
260 1.9920318725
343 2.0177562550
347 2.1987686895
459 2.2999080037
463 2.3126734505
496 2.3877745941
621 2.4295432459
631 2.4679170780
655 2.4826216485
738 2.5432349949
778 2.6178010471
787 2.8441410694
823 3.0012004802
1033 3.0084235860
1065 3.0450669915
1170 3.1446540881
1262 3.2679738562
1354 3.3112582781
1394 3.3738191633
1473 3.4293552812
1570 3.6284470247
1664 3.7257824143
2052 3.8759689922
2078 3.9246467818
2247 4.1459369818
2936 4.1597337770
3445 4.3782837128
3497 4.4563279857
100000 4.4563279857
evaluations raw_y
1 0.9589566552
4 1.0309278351
9 1.2840267078
14 1.4196479273
34 1.5142337977
55 1.8726591760
60 1.9857029388
268 1.9984012790
319 2.0920502092
326 2.1168501270
337 2.2104332449
374 2.2872827081
452 2.4248302619
497 2.5484199796
545 2.5588536336
549 2.6399155227
577 2.7027027027
636 2.7322404372
717 2.8768699655
767 3.0376670717
877 3.2938076416
891 3.4482758621
1207 3.5161744023
1514 3.6927621861
1664 3.7936267071
17025 3.8880248834
17317 3.9494470774
100000 3.9494470774
evaluations raw_y
1 1.0158472166
2 1.0292301359
4 1.4212620807
90 1.4889815366
100 1.7277125086
121 1.7373175817
240 1.8698578908
314 1.9731649566
350 2.0112630732
376 2.0308692120
405 2.0990764064
449 2.1240441801
463 2.1312872975
478 2.2341376229
494 2.3041474654
535 2.4295432459
649 2.4342745862
675 2.4485798237
681 3.0084235860
848 3.0450669915
943 3.0674846626
961 3.1928480204
1171 3.2010243278
1181 3.2341526520
1677 3.2594524120
1842 3.7147102526
2083 3.7481259370
39292 3.7707390649
39507 3.7821482602
39688 3.9370078740
46360 4.0387722132
100000 4.0387722132
evaluations raw_y
1 1.3789299504
6 1.5752993069
117 1.6501650165
142 1.7205781142
178 1.9186492709
268 2.0048115477
345 2.3430178069
407 2.3474178404
435 2.5227043391
542 2.6288117771
547 2.7027027027
589 2.8768699655
907 3.0599755202
960 3.0674846626
1146 3.0902348578
1549 3.1133250311
1647 3.2010243278
1981 3.2092426187
1991 3.2175032175
2109 3.2341526520
2196 3.2679738562
2249 3.4387895461
8578 3.5765379113
10987 3.6179450072
11468 3.8284839204
11538 3.9619651347
18154 4.0650406504
18216 4.1876046901
19317 4.2158516020
19616 4.2301184433
19900 4.5207956600
100000 3.7257824143
evaluations raw_y
1 1.3774104683
24 1.5033072760
40 1.5051173992
85 1.6035920462
98 1.6329196604
129 1.7421602787
206 1.7692852088
249 2.1795989538
335 2.2301516503
354 2.4201355276
425 2.4582104228
436 2.4630541872
473 2.5960539979
494 2.6399155227
528 2.7027027027
623 2.8058361392
635 2.8636884307
636 2.9377203290
644 3.0599755202
729 3.0826140567
830 3.2938076416
858 3.3738191633
1046 3.4199726402
1154 3.4674063800
1909 3.4965034965
7714 3.5561877667
8170 3.7369207773
100000 3.7369207773
evaluations raw_y
1 1.0150223305
2 1.0688328345
5 1.2118274358
15 1.2260912212
18 1.2840267078
24 1.6501650165
48 1.7041581459
128 1.8076644975
221 1.9516003123
309 2.2104332449
377 2.4630541872
515 2.5641025641
537 2.7203482046
552 2.7685492802
588 2.8376844495
828 2.8636884307
966 3.0525030525
991 3.1055900621
5511 3.1210986267
5926 3.1605562579
6191 3.1685678074
6355 3.3288948069
6478 3.3377837116
6497 3.4867503487
98938 3.5868005739
100000 3.0826140567
evaluations raw_y
1 0.8226390260
4 0.8849557522
6 1.0133765707
8 1.0216591745
11 1.2406947891
14 1.5142337977
94 1.7972681524
202 1.8129079043
262 1.9186492709
292 1.9546520719
312 1.9920318725
316 2.3430178069
386 2.5484199796
422 2.6343519494
456 2.8248587571
477 2.9868578256
487 3.1446540881
554 3.3921302578
691 3.4199726402
982 3.4578146611
1037 3.6284470247
1161 3.9370078740
100000 3.9370078740
evaluations raw_y
1 0.8647526807
2 1.0334849111
4 1.2130033964
5 1.3234515617
29 1.3319126265
32 1.4731879788
45 1.4766686356
90 1.5518311608
147 1.7946877243
191 2.2182786158
384 2.5853154085
430 2.6343519494
584 2.8636884307
618 2.9515938607
622 2.9940119760
766 3.2851511170
914 3.2938076416
1073 3.3200531208
1172 3.4106412005
1318 3.4387895461
1319 3.4578146611
1430 3.7821482602
100000 3.7821482602
evaluations raw_y
1 0.9678668215
3 1.0351966874
4 1.1441647597
5 1.2735608762
7 1.3290802764
16 1.6035920462
87 1.7349063151
110 1.7768301350
255 1.8698578908
258 2.0712510356
347 2.1240441801
352 2.1349274125
376 2.2502250225
387 2.2789425706
428 2.3832221163
433 2.8901734104
598 3.2258064516
619 3.3025099075
61004 3.3288948069
69760 3.4965034965
70284 3.5260930889
70443 3.5360678925
83769 3.5971223022
92170 3.6075036075
100000 2.7808676307
