evaluations raw_y
1 -1634.0000000000
2 -1235.0000000000
6 -1040.0000000000
13 -991.0000000000
19 -923.0000000000
22 -826.0000000000
28 -816.0000000000
39 -777.0000000000
46 -670.0000000000
49 -651.0000000000
80 -612.0000000000
82 -583.0000000000
91 -564.0000000000
100 -525.0000000000
106 -486.0000000000
119 -467.0000000000
121 -466.0000000000
122 -447.0000000000
123 -418.0000000000
130 -399.0000000000
140 -390.0000000000
149 -332.0000000000
162 -313.0000000000
199 -284.0000000000
206 -274.0000000000
209 -216.0000000000
221 -206.0000000000
235 -147.0000000000
266 -138.0000000000
273 -137.0000000000
274 -109.0000000000
291 -90.0000000000
312 -81.0000000000
323 -72.0000000000
339 -71.0000000000
349 -53.0000000000
355 -52.0000000000
372 -51.0000000000
445 -50.0000000000
474 -41.0000000000
495 -32.0000000000
503 -31.0000000000
519 -30.0000000000
645 -11.0000000000
734 -3.0000000000
741 -2.0000000000
872 7.0000000000
927 8.0000000000
945 9.0000000000
100000 -59.0000000000
evaluations raw_y
1 -1478.0000000000
4 -1468.0000000000
6 -1128.0000000000
9 -1118.0000000000
11 -1108.0000000000
14 -1069.0000000000
18 -991.0000000000
23 -719.0000000000
34 -699.0000000000
42 -670.0000000000
55 -631.0000000000
58 -621.0000000000
63 -612.0000000000
64 -592.0000000000
79 -553.0000000000
80 -514.0000000000
85 -456.0000000000
111 -417.0000000000
126 -388.0000000000
141 -359.0000000000
158 -291.0000000000
172 -252.0000000000
187 -233.0000000000
200 -195.0000000000
207 -186.0000000000
212 -166.0000000000
221 -137.0000000000
225 -108.0000000000
242 -89.0000000000
309 -60.0000000000
314 -40.0000000000
324 -31.0000000000
380 -12.0000000000
429 -3.0000000000
463 -2.0000000000
464 6.0000000000
653 7.0000000000
794 8.0000000000
78251 9.0000000000
100000 9.0000000000
evaluations raw_y
1 -1761.0000000000
2 -972.0000000000
21 -933.0000000000
32 -894.0000000000
35 -855.0000000000
53 -816.0000000000
64 -777.0000000000
71 -738.0000000000
82 -660.0000000000
92 -621.0000000000
100 -592.0000000000
102 -553.0000000000
109 -543.0000000000
119 -514.0000000000
121 -504.0000000000
122 -495.0000000000
158 -485.0000000000
178 -456.0000000000
185 -437.0000000000
195 -398.0000000000
199 -388.0000000000
204 -330.0000000000
224 -301.0000000000
253 -282.0000000000
269 -253.0000000000
277 -224.0000000000
316 -195.0000000000
338 -185.0000000000
341 -166.0000000000
354 -147.0000000000
370 -128.0000000000
382 -108.0000000000
396 -99.0000000000
438 -70.0000000000
452 -60.0000000000
465 -41.0000000000
478 -32.0000000000
566 -13.0000000000
587 -4.0000000000
639 -3.0000000000
717 6.0000000000
731 7.0000000000
791 8.0000000000
1358 9.0000000000
100000 -39.0000000000
evaluations raw_y
1 -1400.0000000000
2 -1215.0000000000
7 -1176.0000000000
18 -1166.0000000000
29 -1156.0000000000
32 -1020.0000000000
46 -952.0000000000
50 -913.0000000000
57 -835.0000000000
64 -806.0000000000
70 -767.0000000000
77 -757.0000000000
