evaluations raw_y
1 8.4000000000
3 8.8000000000
18 9.2000000000
30 9.4000000000
41 9.8000000000
58 10.0000000000
65 10.2000000000
71 10.4000000000
81 10.6000000000
94 10.8000000000
104 11.4000000000
116 11.8000000000
135 12.0000000000
142 12.4000000000
161 12.6000000000
170 13.2000000000
195 13.6000000000
244 14.0000000000
279 14.2000000000
290 14.4000000000
317 14.6000000000
335 14.8000000000
345 15.0000000000
361 15.2000000000
378 15.4000000000
386 15.6000000000
396 15.8000000000
488 16.0000000000
578 16.2000000000
580 16.4000000000
657 16.6000000000
100000 16.4000000000
evaluations raw_y
1 5.8000000000
2 6.2000000000
4 7.4000000000
7 8.2000000000
9 8.4000000000
24 8.8000000000
29 9.2000000000
33 9.4000000000
38 9.6000000000
46 9.8000000000
51 10.0000000000
54 10.2000000000
74 10.4000000000
89 10.6000000000
95 10.8000000000
120 11.0000000000
144 11.2000000000
147 11.4000000000
158 11.6000000000
161 11.8000000000
173 12.0000000000
186 12.2000000000
196 12.4000000000
206 12.8000000000
211 13.0000000000
258 13.4000000000
266 13.6000000000
299 13.8000000000
310 14.0000000000
420 14.2000000000
439 14.4000000000
454 14.6000000000
466 14.8000000000
477 15.0000000000
485 15.2000000000
528 15.4000000000
626 15.6000000000
800 15.8000000000
838 16.0000000000
862 16.2000000000
100000 16.0000000000
evaluations raw_y
1 6.0000000000
2 8.6000000000
7 9.4000000000
28 9.8000000000
38 10.6000000000
41 11.4000000000
47 11.6000000000
65 11.8000000000
72 12.2000000000
76 12.4000000000
104 12.6000000000
113 12.8000000000
138 13.0000000000
148 13.2000000000
158 13.4000000000
187 13.8000000000
221 14.0000000000
223 14.2000000000
253 14.4000000000
278 14.8000000000
355 15.2000000000
518 15.4000000000
529 15.6000000000
646 15.8000000000
712 16.0000000000
775 16.2000000000
816 16.4000000000
1113 16.6000000000
100000 15.4000000000
evaluations raw_y
1 7.4000000000
4 7.6000000000
9 8.2000000000
11 8.6000000000
29 10.0000000000
41 10.4000000000
57 10.8000000000
69 11.0000000000
87 11.2000000000
97 11.4000000000
107 11.6000000000
139 11.8000000000
146 12.0000000000
166 12.2000000000
177 12.4000000000
198 12.6000000000
202 12.8000000000
222 13.0000000000
230 13.2000000000
250 13.4000000000
256 13.6000000000
270 13.8000000000
291 14.0000000000
381 14.2000000000
400 14.4000000000
405 14.6000000000
431 14.8000000000
450 15.0000000000
500 15.2000000000
505 15.4000000000
532 15.6000000000
581 15.8000000000
616 16.0000000000
856 16.2000000000
100000 16.2000000000
evaluations raw_y
1 8.0000000000
5 8.2000000000
14 9.0000000000
16 9.8000000000
29 10.2000000000
34 10.4000000000
40 10.6000000000
42 10.8000000000
46 11.2000000000
61 11.4000000000
75 11.6000000000
85 11.8000000000
90 12.0000000000
116 12.4000000000
141 12.6000000000
162 13.0000000000
168 13.2000000000
175 13.4000000000
178 13.6000000000
199 13.8000000000
213 14.0000000000
235 14.2000000000
282 14.4000000000
286 14.6000000000
310 14.8000000000
322 15.0000000000
376 15.2000000000
430 15.4000000000
461 15.6000000000
554 15.8000000000
606 16.0000000000
717 16.2000000000
100000 16.0000000000
evaluations raw_y
1 6.4000000000
3 6.8000000000
9 7.0000000000
14 8.8000000000
28 9.0000000000
41 9.4000000000
46 10.0000000000
49 10.2000000000
62 10.4000000000
63 10.8000000000
81 11.0000000000
85 11.2000000000
92 11.4000000000
98 11.6000000000
99 11.8000000000
109 12.0000000000
115 12.2000000000
123 12.6000000000
144 13.0000000000
179 13.4000000000
184 13.6000000000
192 13.8000000000
225 14.0000000000
233 14.2000000000
259 14.4000000000
268 14.6000000000
278 14.8000000000
299 15.0000000000
328 15.2000000000
394 15.6000000000
454 16.0000000000
479 16.2000000000
601 16.4000000000
100000 16.2000000000
evaluations raw_y
1 6.8000000000
8 7.4000000000
12 7.6000000000
15 8.0000000000
16 8.6000000000
33 9.0000000000
34 9.2000000000
55 9.6000000000
61 10.0000000000
70 10.2000000000
76 10.4000000000
90 10.6000000000
105 10.8000000000
107 11.0000000000
125 11.4000000000
151 11.6000000000
163 11.8000000000
172 12.2000000000
182 12.4000000000
202 12.6000000000
234 12.8000000000
239 13.0000000000
246 13.2000000000
264 13.4000000000
279 13.6000000000
287 13.8000000000
301 14.0000000000
333 14.2000000000
359 14.4000000000
396 14.6000000000
429 14.8000000000
456 15.0000000000
503 15.2000000000
584 15.4000000000
612 15.6000000000
705 15.8000000000
717 16.0000000000
741 16.2000000000
842 16.4000000000
100000 16.4000000000
evaluations raw_y
1 4.8000000000
2 5.8000000000
3 6.8000000000
9 7.2000000000
10 8.2000000000
11 9.4000000000
18 9.6000000000
25 10.2000000000
41 10.4000000000
44 10.6000000000
54 11.0000000000
66 11.2000000000
98 11.4000000000
113 11.6000000000
118 12.0000000000
141 12.2000000000
146 12.6000000000
166 12.8000000000
176 13.0000000000
195 13.2000000000
208 13.4000000000
215 13.6000000000
219 13.8000000000
234 14.0000000000
247 14.2000000000
261 14.4000000000
282 14.6000000000
289 14.8000000000
302 15.0000000000
331 15.2000000000
425 15.4000000000
434 15.6000000000
500 15.8000000000
516 16.2000000000
100000 16.2000000000
evaluations raw_y
1 7.4000000000
12 7.8000000000
