evaluations raw_y
1 -0.5465499386
2 -0.5213561804
6 -0.4911961697
7 -0.4803996270
17 -0.4794857094
27 -0.4792158895
28 -0.4777276749
33 -0.4739060481
48 -0.4516174721
242 -0.4319925628
265 -0.4273406350
12922 -0.4254140421
13618 -0.4175419703
24486 -0.3885948100
100000 -0.5072387291
evaluations raw_y
1 -0.5156358514
2 -0.5062788834
7 -0.4755992938
33 -0.4691176737
72 -0.4550091155
76 -0.4520351730
191 -0.4423669779
406 -0.4241201888
1009 -0.4199108164
3252 -0.4180449767
9414 -0.4155201789
30106 -0.4143919379
30944 -0.4083211519
60288 -0.4041506913
100000 -0.4705119176
evaluations raw_y
1 -0.4840897626
15 -0.4821193848
16 -0.4616333134
93 -0.4566922082
147 -0.4422330358
407 -0.4310728713
1147 -0.4273963341
3115 -0.4188519697
16236 -0.4064750164
100000 -0.5299279814
evaluations raw_y
1 -0.5421726201
2 -0.5384956079
3 -0.4975446631
4 -0.4833625941
6 -0.4627315211
26 -0.4333053213
876 -0.4299806798
1457 -0.4266363906
2612 -0.4062290378
35704 -0.4055881001
45966 -0.3922853301
100000 -0.5244606988
evaluations raw_y
1 -0.5326660802
2 -0.5166954018
3 -0.4809304689
4 -0.4529494947
17 -0.4436854801
155 -0.4266772789
660 -0.4158069761
3963 -0.4081127055
81279 -0.3998192325
100000 -0.5186432578
evaluations raw_y
1 -0.4934209395
3 -0.4714496125
14 -0.4537162606
266 -0.4504198159
438 -0.4498259880
549 -0.4448204542
866 -0.4299666288
1226 -0.4213473667
3819 -0.4208621378
48126 -0.4190827260
52438 -0.4183768330
53860 -0.4046544388
69321 -0.3880764950
100000 -0.4993818336
evaluations raw_y
1 -0.5257849354
2 -0.4965547668
8 -0.4826521252
14 -0.4509012317
47 -0.4407561854
255 -0.4240813369
814 -0.4168328542
32709 -0.4101509398
39706 -0.4093768928
72202 -0.4029055158
100000 -0.5457368332
evaluations raw_y
1 -0.5031086801
3 -0.4872840386
5 -0.4723668388
6 -0.4656510809
44 -0.4498068843
328 -0.4426837136
500 -0.4390224266
1940 -0.4318615672
3413 -0.4307133272
4663 -0.4270256478
7646 -0.4256508714
10185 -0.4176100943
21038 -0.4059285932
66835 -0.4055933494
72838 -0.3944360298
100000 -0.4964110406
evaluations raw_y
1 -0.5399001258
4 -0.4816949791
5 -0.4776798791
16 -0.4735533125
33 -0.4631527675
35 -0.4347953929
320 -0.4337033342
745 -0.4299563114
1397 -0.4279900624
2521 -0.4235800298
6452 -0.4220362081
10919 -0.4212741514
19540 -0.4209183945
28885 -0.4137941140
87597 -0.4111003967
100000 -0.4847270719
evaluations raw_y
1 -0.5472562965
2 -0.5298489983
4 -0.5011100169
6 -0.4951354954
8 -0.4764550209
14 -0.4731414222
21 -0.4697864036
39 -0.4505030552
162 -0.4398906008
471 -0.4361280359
942 -0.4324176119
1089 -0.4320825760
1504 -0.4315298298
2225 -0.4208280055
4275 -0.4128742730
30316 -0.3992751245
100000 -0.5160307584
