evaluations raw_y
1 0.0166798994
2 0.0182942446
3 0.0200750002
4 0.0220429396
5 0.0241338366
6 0.0266470544
7 0.0293920547
8 0.0324409898
9 0.0354323455
10 0.0393781404
11 0.0427694045
12 0.0472098952
13 0.0529919240
14 0.0585603523
15 0.0657946680
16 0.0728799230
17 0.0814199642
18 0.0918611060
19 0.1028594939
23 0.1134764650
24 0.1324643671
25 0.1539503664
26 0.1738888502
28 0.1974879532
29 0.2298427875
31 0.2662123310
32 0.3057355999
34 0.3590406434
35 0.4213719872
36 0.4620218074
37 0.5224660397
38 0.6116956203
40 0.6508721687
41 0.7169486665
44 0.7591861524
45 0.8130081301
48 0.8701705534
50 0.8868393047
51 0.9310986965
52 0.9877518767
55 1.0208248265
56 1.0473397570
60 1.1441647597
61 1.2893243940
67 1.3462574044
70 1.4212620807
75 1.5234613041
77 1.6949152542
80 1.7946877243
88 1.9669551534
89 2.0678246485
91 2.0850708924
92 2.2301516503
96 2.4630541872
98 2.5484199796
102 2.5960539979
105 2.6232948583
108 2.7808676307
118 2.7870680045
145 2.8571428571
100000 2.4777006938
evaluations raw_y
1 0.0165487294
2 0.0179568031
3 0.0194502579
4 0.0214321843
5 0.0235900243
6 0.0259500306
7 0.0282138383
8 0.0307053636
9 0.0333186731
10 0.0371344117
11 0.0417160306
12 0.0466426612
13 0.0521430806
14 0.0588692396
15 0.0667004616
16 0.0736789367
17 0.0813775593
18 0.0926097425
19 0.1052498632
20 0.1177967300
21 0.1367839361
22 0.1588814744
23 0.1801022981
24 0.2059477716
25 0.2311176851
26 0.2721236530
29 0.3194888179
31 0.3844379517
32 0.4502070953
33 0.5049484953
34 0.5549389567
37 0.6870019236
38 0.7771215418
39 0.8161932746
40 0.8297378029
41 0.8732099197
42 0.8862105636
44 0.9678668215
47 1.0552975939
52 1.1600928074
54 1.2722646310
57 1.2735608762
59 1.3234515617
61 1.4819205691
62 1.4836795252
66 1.6371971185
67 1.7205781142
70 1.7229496899
73 1.7397355602
87 1.8181818182
93 2.0610057708
95 2.1422450728
97 2.1607605877
117 2.2421524664
140 2.2789425706
141 2.3877745941
145 2.5693730730
148 2.6178010471
150 2.6343519494
167 2.6399155227
269 2.6680896478
271 3.2092426187
273 3.3025099075
286 3.3288948069
320 3.3738191633
331 3.4199726402
344 3.5260930889
352 3.6179450072
100000 3.1847133758
evaluations raw_y
1 0.0163847399
2 0.0179712604
3 0.0197770728
4 0.0217400757
5 0.0236114128
6 0.0258651906
7 0.0283148154
8 0.0305209313
9 0.0335152092
10 0.0365288797
11 0.0408810688
12 0.0459668671
13 0.0510568774
14 0.0565726053
15 0.0638977636
17 0.0695236241
18 0.0800230466
20 0.0882799534
21 0.1008511840
22 0.1117118727
23 0.1272847615
24 0.1456621803
25 0.1661681622
28 0.1869158879
29 0.2206726101
30 0.2528572873
32 0.2982937597
34 0.3181066293
36 0.3462124360
39 0.3966365223
40 0.4829051574
44 0.5667649059
45 0.6619009796
47 0.7974481659
49 0.9596928983
53 1.1125945705
55 1.2671059301
56 1.3506212858
66 1.3638843426
67 1.4577259475
71 1.4907573047
72 1.5142337977
75 1.5197568389
76 1.7373175817
78 1.8642803878
82 1.9546520719
84 1.9638648861
91 1.9920318725
95 2.1758050479
96 2.2026431718
104 2.2956841139
108 2.5025025025
114 2.6343519494
160 2.7685492802
192 2.8121484814
333 3.1605562579
348 3.2851511170
100000 2.3430178069
evaluations raw_y
1 0.0166919271
2 0.0182835412
3 0.0198404825
4 0.0218449359
5 0.0240956888
6 0.0266334281
7 0.0294460607
8 0.0325966491
9 0.0352306196
10 0.0386763409
12 0.0431324511
13 0.0476054461
14 0.0533538212
15 0.0597642896
16 0.0672097212
17 0.0758978718
18 0.0842516766
19 0.0951764572
20 0.1088802752
22 0.1213415522
23 0.1379006012
24 0.1559478510
25 0.1758953071
26 0.1974255706
27 0.2238338258
29 0.2621919245
30 0.3016045361
31 0.3262429858
32 0.3704252482
33 0.4117937737
35 0.4656360589
36 0.5551854319
37 0.6356470887
38 0.7776049767
40 0.8653513326
41 1.0117361392
42 1.0570824524
44 1.1266336187
46 1.1611704598
48 1.2071463061
49 1.3638843426
56 1.5441630636
58 1.5772870662
60 1.5873015873
63 1.6097875080
64 1.6202203500
65 1.6436554898
66 1.6545334216
67 1.7158544955
68 1.8782870023
69 1.8867924528
74 1.9364833462
77 2.0275750203
79 2.0374898126
94 2.2956841139
102 2.3084025854
105 2.4485798237
107 2.6511134677
134 2.6795284030
141 2.8441410694
181 2.9868578256
223 2.9940119760
233 3.0902348578
265 3.2765399738
295 3.2851511170
304 3.3112582781
337 3.3557046980
630 3.3829499323
669 3.4106412005
683 3.6603221083
733 3.8284839204
100000 3.0376670717
evaluations raw_y
1 0.0164459619
2 0.0180678919
3 0.0198669708
4 0.0212413442
5 0.0228408541
6 0.0252568623
7 0.0279801677
8 0.0304154754
9 0.0332071462
10 0.0356353788
11 0.0395138219
12 0.0439405923
13 0.0481018991
14 0.0544105165
15 0.0598129052
16 0.0656667805
17 0.0714102088
18 0.0786980200
19 0.0891678853
20 0.1023290082
21 0.1166643334
22 0.1329009622
23 0.1471886959
26 0.1733823427
27 0.2019223003
28 0.2263057844
29 0.2536268642
30 0.2920901975
31 0.3465964231
32 0.3653368406
33 0.4005768306
34 0.4717871296
36 0.5447809980
38 0.6087168249
39 0.6888950124
40 0.7425007425
42 0.8103727715
43 0.8830801837
44 1.0076582023
45 1.1687704535
52 1.2201073694
54 1.3304949441
57 1.5051173992
58 1.5142337977
59 1.6744809109
62 1.6949152542
65 1.7593244194
78 1.9245573518
87 2.0885547201
92 2.1276595745
96 2.1312872975
97 2.1872265967
98 2.2143489814
113 2.3084025854
120 2.3474178404
128 2.3786869648
144 2.3923444976
150 2.3969319271
156 2.4015369837
161 2.5329280648
164 2.6567481403
178 2.8058361392
235 2.8901734104
236 2.9515938607
253 3.1685678074
258 3.4199726402
307 3.7147102526
312 3.7481259370
355 4.0518638574
100000 3.1446540881
evaluations raw_y
1 0.0165133130
2 0.0180522359
3 0.0198537178
4 0.0217008238
5 0.0238985173
7 0.0263016696
8 0.0283212307
9 0.0310547433
11 0.0342780360
12 0.0377649209
13 0.0414394404
14 0.0461910833
15 0.0517330574
16 0.0578609947
17 0.0641667308
18 0.0718824578
19 0.0817821977
20 0.0905829921
21 0.1016053648
22 0.1159608516
23 0.1319609396
