evaluations raw_y
1 1.0000000000
2 2.0000000000
3 3.0000000000
11 4.0000000000
15 5.0000000000
18 6.0000000000
57 7.0000000000
117 8.0000000000
227 9.0000000000
100000 -10.0000000000
evaluations raw_y
1 1.0000000000
3 2.0000000000
5 3.0000000000
9 4.0000000000
10 5.0000000000
11 6.0000000000
18 7.0000000000
30 8.0000000000
168 9.0000000000
100000 8.0000000000
evaluations raw_y
1 1.0000000000
2 2.0000000000
3 3.0000000000
4 4.0000000000
7 5.0000000000
29 6.0000000000
47 7.0000000000
81 8.0000000000
137 9.0000000000
100000 -20.0000000000
evaluations raw_y
1 1.0000000000
2 2.0000000000
4 3.0000000000
8 4.0000000000
9 5.0000000000
10 6.0000000000
17 7.0000000000
178 8.0000000000
100000 -1.0000000000
evaluations raw_y
1 1.0000000000
3 2.0000000000
4 3.0000000000
5 4.0000000000
6 5.0000000000
13 6.0000000000
21 7.0000000000
22 8.0000000000
100000 -21.0000000000
evaluations raw_y
1 1.0000000000
3 2.0000000000
6 3.0000000000
26 4.0000000000
28 5.0000000000
42 6.0000000000
67 7.0000000000
69 8.0000000000
100000 -21.0000000000
evaluations raw_y
1 1.0000000000
2 2.0000000000
4 3.0000000000
7 4.0000000000
25 5.0000000000
32 6.0000000000
36 7.0000000000
164 8.0000000000
100000 -21.0000000000
evaluations raw_y
1 1.0000000000
2 2.0000000000
4 3.0000000000
14 4.0000000000
16 5.0000000000
19 6.0000000000
20 7.0000000000
30 8.0000000000
100000 -11.0000000000
evaluations raw_y
1 1.0000000000
2 2.0000000000
4 3.0000000000
10 4.0000000000
11 5.0000000000
25 6.0000000000
33 7.0000000000
76 8.0000000000
100000 -21.0000000000
evaluations raw_y
1 1.0000000000
2 2.0000000000
3 3.0000000000
4 4.0000000000
7 5.0000000000
17 6.0000000000
45 7.0000000000
103 8.0000000000
164 9.0000000000
100000 0.0000000000
