evaluations raw_y
1 0.9754194304
2 1.1967448540
3 1.4293882218
8 1.4442518775
36 1.4628437683
41 1.6545334216
44 1.8024513338
51 1.9040365575
61 1.9485580670
66 1.9546520719
90 1.9577133908
110 1.9794140934
116 2.1349274125
126 2.2789425706
135 2.3299161230
174 2.3786869648
186 2.4201355276
193 2.4582104228
206 2.6068821689
255 2.9036004646
258 3.1847133758
321 3.1928480204
369 3.3921302578
422 3.6284470247
427 3.7707390649
519 3.7821482602
625 3.8402457757
793 4.4563279857
1128 4.5703839122
1156 4.6210720887
100000 3.4770514604
evaluations raw_y
1 1.1175681717
2 1.4459224986
5 1.4731879788
12 1.5033072760
13 1.7494751575
17 1.7921146953
31 1.8642803878
34 2.0920502092
41 2.1645021645
48 2.3212627669
50 2.3741690408
59 2.4342745862
86 2.4777006938
110 2.4975024975
114 2.5641025641
121 2.6455026455
136 2.7382256298
163 2.8184892897
185 2.9308323564
203 2.9797377831
267 3.0156815440
338 3.1289111389
902 3.2010243278
967 3.4578146611
5341 3.5765379113
5497 3.6075036075
5510 3.6390101892
5518 3.6818851252
5613 4.0000000000
5778 4.0128410915
5934 4.0783034258
100000 2.2026431718
evaluations raw_y
1 1.3192612137
3 1.4784151390
24 1.5974440895
36 1.6329196604
49 1.7972681524
66 1.8896447468
70 1.9011406844
115 1.9952114924
152 2.0242914980
164 2.0275750203
226 2.0308692120
239 2.0885547201
249 2.0990764064
262 2.2143489814
264 2.2665457842
271 2.2747952684
285 2.3386342376
302 2.3430178069
325 2.3651844844
329 2.5075225677
363 2.6511134677
383 2.7870680045
405 2.8058361392
479 2.8768699655
510 2.9377203290
544 3.0902348578
558 3.1766200762
562 3.2010243278
768 3.3467202142
950 3.4482758621
1076 3.5663338088
1080 3.9370078740
32747 4.0387722132
78562 4.1322314050
100000 4.1322314050
evaluations raw_y
1 1.4052838673
28 1.5346838551
33 1.6056518947
41 1.7743080199
45 1.8208302986
47 1.8925056775
50 1.9731649566
69 2.1168501270
74 2.2261798753
104 2.2789425706
114 2.3342670401
129 2.5484199796
152 2.5960539979
188 2.6511134677
190 2.9308323564
446 3.0229746070
460 3.0750307503
710 3.2175032175
761 3.2425421530
942 3.5868005739
1096 3.8167938931
100000 2.3518344309
evaluations raw_y
1 0.8623663332
3 1.1842728565
9 1.3638843426
12 1.7041581459
30 1.8129079043
45 1.9127773527
53 2.0145044319
73 2.0920502092
81 2.1026072330
106 2.1061499579
131 2.1533161068
142 2.5853154085
184 2.7624309392
358 2.8058361392
471 2.8768699655
525 2.9239766082
544 3.0902348578
571 3.0978934325
850 3.2509752926
931 3.4387895461
1341 3.4578146611
1442 3.5063113604
1586 3.5971223022
1707 3.6075036075
10280 3.7369207773
100000 3.3467202142
evaluations raw_y
1 0.9964129135
2 1.1831519167
7 1.2696800406
14 1.3027618551
15 1.3319126265
18 1.8234865062
43 1.9305019305
52 1.9984012790
55 2.0746887967
84 2.0920502092
86 2.0990764064
110 2.2065313327
125 2.2502250225
181 2.4248302619
197 2.5588536336
239 2.5799793602
241 2.7442371021
266 2.8506271380
282 2.8571428571
402 2.8901734104
417 2.9239766082
429 2.9515938607
514 3.0902348578
816 3.0978934325
949 3.1847133758
1049 3.2765399738
1429 3.2851511170
1447 3.3288948069
1471 3.4674063800
1489 3.4770514604
9612 3.6603221083
9662 3.6710719530
9746 3.9370078740
100000 2.5641025641
evaluations raw_y
1 0.7984669435
2 1.4907573047
5 1.6371971185
22 1.9215987702
35 1.9984012790
48 2.1026072330
50 2.3255813953
75 2.5906735751
76 2.6123301985
89 2.7203482046
119 2.7502750275
143 2.8058361392
258 3.1210986267
353 3.1685678074
359 3.2851511170
361 3.3647375505
681 3.3829499323
700 3.6710719530
1046 3.7037037037
1339 3.9246467818
1822 3.9619651347
2017 3.9745627981
2330 4.0128410915
100000 4.0128410915
evaluations raw_y
1 1.0199918401
2 1.4376078206
33 1.6307893020
35 2.0242914980
71 2.0475020475
84 2.0850708924
104 2.2222222222
190 2.2341376229
195 2.2999080037
212 2.3832221163
305 2.4154589372
312 2.6795284030
342 2.8968713789
376 2.9036004646
417 2.9239766082
420 3.0084235860
477 3.0156815440
545 3.2092426187
574 3.2341526520
695 3.3112582781
873 3.9494470774
951 3.9619651347
100000 3.3200531208
evaluations raw_y
1 1.1327594019
3 1.1956001913
5 1.3041210224
16 1.3958682300
19 1.4836795252
36 1.7018379850
49 1.8208302986
62 1.9455252918
82 2.0678246485
91 2.2341376229
113 2.4201355276
127 2.4437927664
153 2.4975024975
202 2.6068821689
288 2.7144408252
312 2.9655990510
493 3.1685678074
835 3.2594524120
975 3.4293552812
1572 3.5161744023
1783 3.5868005739
100000 2.3923444976
evaluations raw_y
1 0.9269558769
3 1.0447137484
4 1.1125945705
6 1.2025012025
12 1.3668671405
24 1.4662756598
38 1.5216068168
41 1.5309246785
52 1.5812776724
59 1.6949152542
64 1.8754688672
76 1.9098548510
78 1.9888623707
106 2.0850708924
126 2.4826216485
135 2.5227043391
136 2.6455026455
163 2.6511134677
213 2.6795284030
255 2.8835063437
270 2.9868578256
313 3.0902348578
327 3.2425421530
390 3.2851511170
402 3.3025099075
6533 3.3377837116
6558 3.3647375505
6649 3.4293552812
6994 3.5765379113
7172 3.6284470247
7890 3.6390101892
7953 3.9745627981
100000 2.7870680045
