evaluations raw_y
1 7.4000000000
7 7.6000000000
13 10.2000000000
22 11.4000000000
39 11.8000000000
46 12.0000000000
51 12.2000000000
69 12.4000000000
82 12.6000000000
108 12.8000000000
116 13.0000000000
126 13.2000000000
153 13.4000000000
172 14.4000000000
205 14.6000000000
236 14.8000000000
276 15.0000000000
290 15.2000000000
314 15.4000000000
350 15.6000000000
389 15.8000000000
451 16.0000000000
468 16.2000000000
522 16.4000000000
541 16.6000000000
580 16.8000000000
635 17.0000000000
800 17.2000000000
100000 17.0000000000
evaluations raw_y
1 7.4000000000
9 8.6000000000
14 8.8000000000
23 9.0000000000
29 9.2000000000
31 10.0000000000
34 10.8000000000
42 11.0000000000
63 11.4000000000
72 11.6000000000
83 11.8000000000
87 12.0000000000
101 12.2000000000
134 12.4000000000
153 12.6000000000
169 12.8000000000
174 13.0000000000
191 13.2000000000
201 13.4000000000
225 13.6000000000
240 13.8000000000
259 14.0000000000
294 14.2000000000
304 14.4000000000
367 14.6000000000
389 15.0000000000
422 15.2000000000
449 15.4000000000
462 15.6000000000
487 15.8000000000
516 16.0000000000
602 16.2000000000
632 16.4000000000
729 16.6000000000
100000 16.6000000000
evaluations raw_y
1 7.4000000000
3 7.6000000000
5 8.0000000000
12 8.6000000000
18 9.0000000000
23 9.2000000000
25 9.4000000000
32 10.0000000000
42 10.8000000000
51 11.2000000000
67 11.4000000000
72 11.6000000000
91 11.8000000000
102 12.0000000000
107 12.2000000000
122 12.4000000000
145 12.6000000000
157 12.8000000000
181 13.0000000000
220 13.4000000000
260 13.6000000000
268 13.8000000000
293 14.0000000000
298 14.2000000000
305 14.4000000000
374 14.6000000000
406 14.8000000000
434 15.0000000000
446 15.2000000000
495 15.4000000000
540 15.6000000000
556 15.8000000000
628 16.0000000000
672 16.2000000000
958 16.4000000000
100000 15.4000000000
evaluations raw_y
1 8.6000000000
7 9.4000000000
16 10.0000000000
26 10.4000000000
28 10.6000000000
31 10.8000000000
33 11.0000000000
46 11.4000000000
78 11.6000000000
81 11.8000000000
107 12.0000000000
113 12.2000000000
121 12.4000000000
125 12.6000000000
154 12.8000000000
178 13.0000000000
208 13.2000000000
229 13.4000000000
247 13.6000000000
276 13.8000000000
280 14.0000000000
297 14.2000000000
304 14.4000000000
313 14.6000000000
322 14.8000000000
353 15.0000000000
422 15.2000000000
466 15.4000000000
480 15.6000000000
668 15.8000000000
707 16.0000000000
862 16.2000000000
100000 15.8000000000
evaluations raw_y
1 8.0000000000
5 8.4000000000
6 8.6000000000
30 8.8000000000
31 9.6000000000
69 9.8000000000
77 10.0000000000
92 10.2000000000
108 10.4000000000
118 10.6000000000
138 10.8000000000
142 11.0000000000
149 11.2000000000
164 11.4000000000
184 11.6000000000
191 11.8000000000
199 12.0000000000
222 12.2000000000
228 12.4000000000
250 12.8000000000
255 13.0000000000
266 13.4000000000
288 13.8000000000
324 14.0000000000
334 14.2000000000
373 14.6000000000
392 14.8000000000
398 15.0000000000
417 15.2000000000
440 15.4000000000
453 15.6000000000
468 15.8000000000
501 16.0000000000
681 16.2000000000
100000 15.8000000000
evaluations raw_y
1 6.8000000000
2 8.4000000000
8 10.0000000000
21 10.4000000000
29 11.0000000000
54 11.2000000000
71 11.4000000000
84 11.6000000000
89 11.8000000000
103 12.0000000000
120 12.2000000000
147 12.4000000000
172 12.6000000000
219 12.8000000000
232 13.0000000000
259 13.2000000000
267 13.4000000000
304 13.6000000000
328 13.8000000000
338 14.0000000000
353 14.2000000000
380 14.4000000000
424 14.6000000000
436 14.8000000000
446 15.2000000000
504 15.4000000000
509 15.6000000000
663 15.8000000000
1141 16.0000000000
1440 16.2000000000
100000 16.0000000000
evaluations raw_y
1 9.6000000000
17 11.6000000000
42 11.8000000000
51 12.2000000000
70 12.4000000000
76 12.6000000000
79 12.8000000000
95 13.0000000000
112 13.2000000000
146 13.4000000000
149 13.6000000000
168 13.8000000000
195 14.0000000000
199 14.2000000000
202 14.4000000000
211 14.6000000000
225 14.8000000000
242 15.0000000000
254 15.2000000000
268 15.4000000000
332 15.6000000000
347 15.8000000000
393 16.0000000000
443 16.4000000000
513 16.6000000000
681 16.8000000000
742 17.0000000000
100000 16.6000000000
evaluations raw_y
1 8.2000000000
14 8.4000000000
23 9.4000000000
32 9.8000000000
46 10.0000000000
54 10.4000000000
61 10.6000000000
66 10.8000000000
74 11.0000000000
85 11.4000000000
99 11.6000000000
104 11.8000000000
118 12.0000000000
129 12.2000000000
153 12.4000000000
168 13.0000000000
187 13.2000000000
196 13.4000000000
205 13.6000000000
221 13.8000000000
239 14.0000000000
246 14.2000000000
270 14.4000000000
282 14.6000000000
300 14.8000000000
377 15.0000000000
391 15.2000000000
416 15.4000000000
445 15.6000000000
554 15.8000000000
700 16.0000000000
715 16.2000000000
773 16.4000000000
891 16.6000000000
1127 16.8000000000
100000 15.6000000000
evaluations raw_y
1 6.6000000000
2 6.8000000000
4 9.4000000000
16 9.8000000000
36 10.2000000000
39 10.6000000000
59 10.8000000000
77 11.0000000000
85 11.2000000000
94 11.4000000000
100 11.6000000000
115 11.8000000000
121 12.0000000000
138 12.2000000000
149 12.4000000000
169 12.6000000000
177 12.8000000000
196 13.2000000000
209 13.4000000000
249 13.6000000000
265 13.8000000000
281 14.0000000000
291 14.2000000000
294 14.4000000000
304 14.6000000000
361 14.8000000000
381 15.0000000000
399 15.2000000000
423 15.4000000000
430 15.6000000000
474 15.8000000000
486 16.0000000000
506 16.2000000000
605 16.4000000000
630 16.6000000000
100000 16.4000000000
evaluations raw_y
1 8.2000000000
6 9.4000000000
21 10.2000000000
26 10.6000000000
34 10.8000000000
36 11.8000000000
39 12.0000000000
45 12.6000000000
50 12.8000000000
58 13.2000000000
80 13.4000000000
95 13.6000000000
99 14.2000000000
121 14.4000000000
134 14.6000000000
167 14.8000000000
217 15.0000000000
279 15.2000000000
288 15.4000000000
353 15.6000000000
385 15.8000000000
427 16.0000000000
476 16.2000000000
517 16.4000000000
569 16.6000000000
603 16.8000000000
680 17.0000000000
100000 17.0000000000
