evaluations raw_y
1 -0.5061582385
3 -0.4903220469
9 -0.4721998617
36 -0.4560555656
39 -0.4558435268
82 -0.4469881434
91 -0.4338665777
151 -0.3984093269
180 -0.3944843777
332 -0.3893841610
340 -0.3887573456
367 -0.3841650886
369 -0.3839767031
382 -0.3827624894
392 -0.3818996893
400 -0.3800760256
414 -0.3769096949
419 -0.3759863573
427 -0.3749570145
480 -0.3710727149
492 -0.3648246880
530 -0.3635004843
532 -0.3634927167
541 -0.3630529874
545 -0.3600053225
572 -0.3594986949
582 -0.3516734899
616 -0.3469615862
684 -0.3454998311
687 -0.3444479979
694 -0.3435212970
726 -0.3414345662
728 -0.3412618375
756 -0.3401499133
793 -0.3399430038
807 -0.3337388450
838 -0.3316862950
889 -0.3314793855
1040 -0.3307383681
1046 -0.3291152981
1096 -0.3288252555
1103 -0.3286336434
1115 -0.3263780766
1148 -0.3251465393
1195 -0.3244055219
1252 -0.3235820301
1313 -0.3232402010
1355 -0.3187681006
1367 -0.3181431249
1377 -0.3143610066
1549 -0.3130368029
1610 -0.3128985120
1628 -0.3125566829
1861 -0.3079472679
1922 -0.3071189563
2138 -0.3047586262
2178 -0.3016981253
2241 -0.2993377952
3542 -0.2987089054
18111 -0.2952311771
21862 -0.2946461966
21915 -0.2939051792
37671 -0.2920664943
100000 -0.2942716087
evaluations raw_y
1 -0.4914598050
10 -0.4914088504
21 -0.4873763923
22 -0.4638092116
24 -0.4587981674
38 -0.4489598289
82 -0.4388475178
137 -0.4381126590
141 -0.4365692221
147 -0.4316535076
164 -0.4249677628
166 -0.4240918856
204 -0.4109662372
225 -0.4075905223
250 -0.3933398984
280 -0.3927906599
340 -0.3881522735
353 -0.3809006089
370 -0.3760048264
382 -0.3734636924
437 -0.3716863389
447 -0.3653194225
457 -0.3624975252
475 -0.3577274747
521 -0.3489138314
594 -0.3478348568
604 -0.3426556359
619 -0.3425819314
648 -0.3386656605
676 -0.3364687677
729 -0.3363661317
782 -0.3341610173
807 -0.3320979844
814 -0.3308121639
830 -0.3287491310
848 -0.3249111390
907 -0.3226033886
941 -0.3185381237
1060 -0.3175291118
1073 -0.3162988217
1119 -0.3140516205
1164 -0.3112997919
1217 -0.3112895485
1272 -0.3100592583
1318 -0.3094455859
1333 -0.3083483628
1382 -0.3059234187
1517 -0.3036008627
1550 -0.3032692887
1684 -0.3027097693
1744 -0.3026527065
2058 -0.3019116891
2510 -0.3009106487
13219 -0.2973141618
13443 -0.2928002742
100000 -0.2994905886
