evaluations raw_y
1 2555.0000000000
2 2593.0000000000
3 2718.0000000000
6 2760.0000000000
24 2901.0000000000
27 3018.0000000000
29 3059.0000000000
38 3097.0000000000
41 3187.0000000000
43 3189.0000000000
44 3260.0000000000
49 3285.0000000000
55 3358.0000000000
58 3388.0000000000
61 3391.0000000000
62 3440.0000000000
81 3494.0000000000
82 3529.0000000000
87 3567.0000000000
98 3595.0000000000
101 3652.0000000000
102 3747.0000000000
106 3788.0000000000
114 3846.0000000000
118 3907.0000000000
119 3928.0000000000
125 3930.0000000000
130 4007.0000000000
139 4083.0000000000
143 4090.0000000000
144 4097.0000000000
153 4156.0000000000
159 4166.0000000000
177 4168.0000000000
179 4248.0000000000
183 4320.0000000000
192 4431.0000000000
194 4441.0000000000
219 4496.0000000000
231 4510.0000000000
233 4544.0000000000
245 4636.0000000000
258 4641.0000000000
264 4643.0000000000
296 4708.0000000000
297 4722.0000000000
307 4751.0000000000
341 4774.0000000000
375 4787.0000000000
408 4874.0000000000
512 4944.0000000000
515 4947.0000000000
521 4975.0000000000
580 5004.0000000000
649 5028.0000000000
698 5050.0000000000
100000 5050.0000000000
evaluations raw_y
1 2943.0000000000
9 3008.0000000000
16 3060.0000000000
27 3143.0000000000
31 3228.0000000000
33 3229.0000000000
34 3339.0000000000
35 3451.0000000000
48 3536.0000000000
53 3569.0000000000
58 3572.0000000000
66 3622.0000000000
74 3637.0000000000
90 3638.0000000000
91 3656.0000000000
92 3700.0000000000
97 3793.0000000000
102 3824.0000000000
109 3846.0000000000
115 3886.0000000000
123 4043.0000000000
135 4064.0000000000
142 4076.0000000000
146 4142.0000000000
168 4172.0000000000
170 4223.0000000000
176 4279.0000000000
188 4365.0000000000
193 4384.0000000000
200 4431.0000000000
215 4443.0000000000
217 4509.0000000000
233 4576.0000000000
268 4604.0000000000
274 4614.0000000000
281 4689.0000000000
287 4753.0000000000
296 4762.0000000000
350 4800.0000000000
359 4856.0000000000
409 4867.0000000000
546 4912.0000000000
576 4934.0000000000
592 5025.0000000000
1055 5050.0000000000
100000 4909.0000000000
evaluations raw_y
1 2401.0000000000
3 2402.0000000000
4 2504.0000000000
5 2511.0000000000
9 2622.0000000000
11 2631.0000000000
16 2663.0000000000
17 2676.0000000000
18 2718.0000000000
20 2750.0000000000
24 2759.0000000000
27 2811.0000000000
29 2873.0000000000
31 2906.0000000000
35 2924.0000000000
37 2981.0000000000
40 2989.0000000000
43 3065.0000000000
45 3162.0000000000
50 3234.0000000000
51 3327.0000000000
52 3418.0000000000
55 3513.0000000000
56 3517.0000000000
59 3628.0000000000
67 3697.0000000000
68 3772.0000000000
76 3852.0000000000
80 3879.0000000000
86 3898.0000000000
87 3989.0000000000
89 4004.0000000000
116 4012.0000000000
122 4066.0000000000
128 4101.0000000000
132 4144.0000000000
150 4175.0000000000
153 4176.0000000000
160 4193.0000000000
162 4204.0000000000
167 4263.0000000000
168 4275.0000000000
176 4305.0000000000
189 4339.0000000000
194 4342.0000000000
200 4361.0000000000
218 4410.0000000000
226 4425.0000000000
228 4438.0000000000
231 4477.0000000000
249 4490.0000000000
252 4546.0000000000
292 4572.0000000000
296 4637.0000000000
303 4708.0000000000
321 4731.0000000000
340 4740.0000000000
355 4768.0000000000
370 4800.0000000000
384 4833.0000000000
406 4932.0000000000
508 4956.0000000000
677 5008.0000000000
697 5029.0000000000
854 5030.0000000000
1006 5050.0000000000
100000 5050.0000000000
evaluations raw_y
1 2876.0000000000
7 2877.0000000000
8 2888.0000000000
10 2920.0000000000
11 2986.0000000000
13 2998.0000000000
14 3076.0000000000
15 3088.0000000000
28 3231.0000000000
29 3269.0000000000
32 3316.0000000000
36 3375.0000000000
46 3447.0000000000
52 3466.0000000000
53 3514.0000000000
54 3543.0000000000
63 3618.0000000000
69 3682.0000000000
71 3728.0000000000
75 3762.0000000000
83 3787.0000000000
90 3791.0000000000
99 3807.0000000000
101 3894.0000000000
108 3943.0000000000
123 3967.0000000000
130 3994.0000000000
134 3995.0000000000
135 4062.0000000000
137 4101.0000000000
140 4175.0000000000
141 4264.0000000000
148 4309.0000000000
161 4365.0000000000
206 4378.0000000000
207 4431.0000000000
233 4454.0000000000
249 4482.0000000000
256 4518.0000000000
258 4524.0000000000
263 4544.0000000000
278 4559.0000000000
299 4579.0000000000
306 4590.0000000000
318 4616.0000000000
328 4657.0000000000
351 4728.0000000000
362 4791.0000000000
374 4850.0000000000
419 4852.0000000000
430 4876.0000000000
553 4973.0000000000
621 5034.0000000000
988 5050.0000000000
100000 5046.0000000000
evaluations raw_y
1 2500.0000000000
2 2638.0000000000
3 2701.0000000000
