evaluations raw_y
1 -1595.0000000000
2 -1264.0000000000
4 -1186.0000000000
5 -1089.0000000000
18 -845.0000000000
30 -836.0000000000
40 -797.0000000000
43 -768.0000000000
62 -690.0000000000
77 -671.0000000000
79 -651.0000000000
87 -641.0000000000
89 -593.0000000000
99 -554.0000000000
120 -544.0000000000
127 -515.0000000000
132 -486.0000000000
148 -476.0000000000
159 -369.0000000000
188 -350.0000000000
189 -311.0000000000
205 -301.0000000000
211 -282.0000000000
233 -253.0000000000
256 -214.0000000000
298 -185.0000000000
321 -156.0000000000
343 -137.0000000000
352 -118.0000000000
367 -109.0000000000
380 -80.0000000000
388 -51.0000000000
417 -42.0000000000
427 -13.0000000000
512 -12.0000000000
515 7.0000000000
626 8.0000000000
656 9.0000000000
100000 9.0000000000
evaluations raw_y
1 -1605.0000000000
2 -1205.0000000000
7 -1108.0000000000
13 -971.0000000000
18 -777.0000000000
38 -758.0000000000
47 -719.0000000000
55 -690.0000000000
57 -651.0000000000
67 -622.0000000000
81 -583.0000000000
99 -544.0000000000
106 -505.0000000000
112 -495.0000000000
121 -466.0000000000
131 -437.0000000000
133 -427.0000000000
177 -398.0000000000
182 -359.0000000000
204 -330.0000000000
215 -301.0000000000
228 -282.0000000000
232 -253.0000000000
259 -243.0000000000
262 -234.0000000000
281 -215.0000000000
288 -167.0000000000
299 -158.0000000000
300 -138.0000000000
333 -79.0000000000
345 -70.0000000000
364 -51.0000000000
383 -22.0000000000
458 -21.0000000000
498 -12.0000000000
575 7.0000000000
716 8.0000000000
1602 9.0000000000
100000 9.0000000000
evaluations raw_y
1 -1049.0000000000
11 -913.0000000000
19 -893.0000000000
22 -825.0000000000
26 -806.0000000000
27 -757.0000000000
30 -727.0000000000
38 -698.0000000000
44 -669.0000000000
58 -650.0000000000
61 -591.0000000000
69 -543.0000000000
96 -514.0000000000
103 -504.0000000000
124 -485.0000000000
138 -456.0000000000
160 -417.0000000000
169 -388.0000000000
172 -349.0000000000
181 -320.0000000000
189 -281.0000000000
211 -252.0000000000
230 -233.0000000000
236 -223.0000000000
242 -204.0000000000
255 -175.0000000000
288 -146.0000000000
292 -137.0000000000
318 -127.0000000000
322 -108.0000000000
340 -89.0000000000
348 -79.0000000000
361 -60.0000000000
371 -51.0000000000
400 -42.0000000000
426 -33.0000000000
474 -24.0000000000
486 -15.0000000000
499 -14.0000000000
509 -13.0000000000
513 -6.0000000000
516 -5.0000000000
524 4.0000000000
528 5.0000000000
551 6.0000000000
572 7.0000000000
794 8.0000000000
841 9.0000000000
100000 -39.0000000000
evaluations raw_y
1 -1186.0000000000
3 -1098.0000000000
18 -1049.0000000000
23 -1039.0000000000
26 -1030.0000000000
31 -855.0000000000
44 -816.0000000000
50 -806.0000000000
61 -796.0000000000
62 -641.0000000000
86 -602.0000000000
92 -563.0000000000
108 -544.0000000000
117 -534.0000000000
121 -505.0000000000
134 -466.0000000000
146 -427.0000000000
166 -398.0000000000
197 -388.0000000000
200 -369.0000000000
204 -359.0000000000
206 -340.0000000000
222 -282.0000000000
282 -253.0000000000
283 -234.0000000000
293 -205.0000000000
303 -175.0000000000
343 -156.0000000000
390 -155.0000000000
401 -126.0000000000
404 -117.0000000000
418 -89.0000000000
501 -70.0000000000
540 -61.0000000000
594 -52.0000000000
629 -32.0000000000
678 -23.0000000000
739 -22.0000000000
757 -14.0000000000
767 -13.0000000000
872 -3.0000000000
876 6.0000000000
883 7.0000000000
977 8.0000000000
1128 9.0000000000
100000 9.0000000000
evaluations raw_y
1 -1458.0000000000
2 -1390.0000000000
6 -1293.0000000000
9 -1273.0000000000
14 -1098.0000000000
26 -1001.0000000000
38 -991.0000000000
41 -923.0000000000
43 -913.0000000000
45 -874.0000000000
66 -864.0000000000
71 -835.0000000000
83 -796.0000000000
89 -767.0000000000
105 -738.0000000000
110 -728.0000000000
116 -699.0000000000
127 -670.0000000000
142 -641.0000000000
150 -602.0000000000
158 -592.0000000000
167 -553.0000000000
169 -524.0000000000
173 -495.0000000000
194 -456.0000000000
211 -446.0000000000
227 -407.0000000000
233 -378.0000000000
239 -359.0000000000
241 -349.0000000000
256 -339.0000000000
264 -320.0000000000
266 -310.0000000000
273 -271.0000000000
280 -242.0000000000
307 -213.0000000000
341 -194.0000000000
344 -185.0000000000
346 -165.0000000000
361 -156.0000000000
368 -126.0000000000
379 -117.0000000000
391 -108.0000000000
414 -98.0000000000
421 -70.0000000000
445 -51.0000000000
493 -50.0000000000
504 -32.0000000000
509 -22.0000000000
560 -13.0000000000
587 -12.0000000000
603 -4.0000000000
628 -3.0000000000
752 -2.0000000000
833 8.0000000000
1352 9.0000000000
100000 -10.0000000000
evaluations raw_y
1 -1839.0000000000
2 -1488.0000000000
3 -1469.0000000000
6 -1215.0000000000
12 -1089.0000000000
16 -885.0000000000
26 -855.0000000000
29 -836.0000000000
41 -758.0000000000
50 -738.0000000000
52 -709.0000000000
60 -690.0000000000
64 -641.0000000000
77 -573.0000000000
80 -505.0000000000
106 -466.0000000000
115 -437.0000000000
124 -398.0000000000
169 -369.0000000000
178 -359.0000000000
195 -340.0000000000
209 -311.0000000000
214 -292.0000000000
229 -263.0000000000
266 -224.0000000000
283 -195.0000000000
302 -185.0000000000
311 -156.0000000000
349 -127.0000000000
364 -118.0000000000
379 -89.0000000000
386 -88.0000000000
389 -59.0000000000
435 -40.0000000000
438 -11.0000000000
463 -2.0000000000
535 7.0000000000
701 8.0000000000
929 9.0000000000
100000 9.0000000000
evaluations raw_y
1 -1166.0000000000
9 -933.0000000000
18 -913.0000000000
24 -836.0000000000
25 -777.0000000000
30 -767.0000000000
46 -728.0000000000
52 -699.0000000000
72 -660.0000000000
97 -631.0000000000
111 -602.0000000000
113 -592.0000000000
119 -563.0000000000
124 -534.0000000000
126 -524.0000000000
138 -495.0000000000
160 -466.0000000000
166 -437.0000000000
187 -398.0000000000
204 -340.0000000000
224 -311.0000000000
234 -272.0000000000
287 -233.0000000000
292 -223.0000000000
296 -204.0000000000
315 -175.0000000000
316 -156.0000000000
344 -137.0000000000
381 -108.0000000000
427 -79.0000000000
438 -60.0000000000
447 -51.0000000000
475 -42.0000000000
490 -33.0000000000
509 -32.0000000000
544 -14.0000000000
552 -5.0000000000
598 -4.0000000000
612 -3.0000000000
671 6.0000000000
777 7.0000000000
795 8.0000000000
852 9.0000000000
100000 9.0000000000
evaluations raw_y
1 -1771.0000000000
2 -1566.0000000000
5 -1147.0000000000
10 -1128.0000000000
18 -1011.0000000000
23 -982.0000000000
24 -923.0000000000
29 -797.0000000000
46 -787.0000000000
49 -748.0000000000
54 -729.0000000000
64 -690.0000000000
66 -612.0000000000
77 -573.0000000000
90 -505.0000000000
119 -476.0000000000
131 -408.0000000000
151 -369.0000000000
159 -359.0000000000
173 -330.0000000000
178 -301.0000000000
182 -262.0000000000
208 -243.0000000000
218 -234.0000000000
224 -214.0000000000
226 -205.0000000000
238 -186.0000000000
240 -176.0000000000
252 -137.0000000000
266 -108.0000000000
360 -89.0000000000
370 -80.0000000000
378 -71.0000000000
423 -70.0000000000
424 -52.0000000000
429 -34.0000000000
473 -23.0000000000
511 -22.0000000000
529 -21.0000000000
604 -20.0000000000
632 -11.0000000000
680 -2.0000000000
739 7.0000000000
943 8.0000000000
100000 -22.0000000000
evaluations raw_y
1 -1468.0000000000
2 -1215.0000000000
11 -1196.0000000000
20 -1118.0000000000
21 -1089.0000000000
28 -982.0000000000
42 -875.0000000000
50 -865.0000000000
53 -826.0000000000
69 -787.0000000000
90 -758.0000000000
95 -719.0000000000
100 -671.0000000000
109 -632.0000000000
124 -612.0000000000
128 -535.0000000000
145 -506.0000000000
147 -467.0000000000
151 -457.0000000000
160 -428.0000000000
176 -409.0000000000
178 -399.0000000000
179 -351.0000000000
208 -332.0000000000
219 -303.0000000000
247 -264.0000000000
268 -263.0000000000
306 -234.0000000000
315 -205.0000000000
346 -176.0000000000
359 -128.0000000000
401 -99.0000000000
415 -98.0000000000
423 -60.0000000000
456 -41.0000000000
481 -31.0000000000
485 -12.0000000000
517 -11.0000000000
580 -2.0000000000
639 7.0000000000
685 8.0000000000
1107 9.0000000000
100000 9.0000000000
evaluations raw_y
1 -1634.0000000000
3 -1576.0000000000
4 -1468.0000000000
5 -1420.0000000000
9 -1293.0000000000
19 -1283.0000000000
22 -1020.0000000000
44 -952.0000000000
48 -942.0000000000
61 -913.0000000000
62 -864.0000000000
79 -767.0000000000
95 -738.0000000000
104 -699.0000000000
111 -689.0000000000
115 -670.0000000000
117 -631.0000000000
126 -621.0000000000
131 -592.0000000000
143 -553.0000000000
159 -534.0000000000
162 -524.0000000000
169 -466.0000000000
175 -437.0000000000
198 -379.0000000000
203 -369.0000000000
211 -350.0000000000
217 -340.0000000000
223 -292.0000000000
242 -263.0000000000
260 -253.0000000000
