evaluations raw_y
1 53.0000000000
4 59.0000000000
14 60.0000000000
17 63.0000000000
19 64.0000000000
32 65.0000000000
46 66.0000000000
47 67.0000000000
55 68.0000000000
66 69.0000000000
68 70.0000000000
71 71.0000000000
75 73.0000000000
93 74.0000000000
118 75.0000000000
123 76.0000000000
164 77.0000000000
182 78.0000000000
192 79.0000000000
196 80.0000000000
206 81.0000000000
227 83.0000000000
254 85.0000000000
313 86.0000000000
348 88.0000000000
352 89.0000000000
394 90.0000000000
427 91.0000000000
447 92.0000000000
527 93.0000000000
571 94.0000000000
595 95.0000000000
644 96.0000000000
776 97.0000000000
812 98.0000000000
950 99.0000000000
1151 100.0000000000
100000 98.0000000000
evaluations raw_y
1 49.0000000000
2 52.0000000000
4 53.0000000000
6 56.0000000000
10 58.0000000000
16 62.0000000000
26 63.0000000000
27 68.0000000000
51 69.0000000000
57 70.0000000000
60 71.0000000000
76 72.0000000000
82 74.0000000000
101 75.0000000000
113 77.0000000000
151 78.0000000000
168 79.0000000000
224 81.0000000000
235 82.0000000000
250 83.0000000000
262 84.0000000000
272 85.0000000000
337 86.0000000000
375 87.0000000000
378 88.0000000000
426 89.0000000000
479 90.0000000000
508 91.0000000000
660 92.0000000000
673 93.0000000000
739 94.0000000000
768 95.0000000000
799 96.0000000000
807 97.0000000000
855 98.0000000000
864 99.0000000000
1437 100.0000000000
100000 99.0000000000
evaluations raw_y
1 43.0000000000
2 54.0000000000
3 64.0000000000
14 65.0000000000
19 68.0000000000
28 69.0000000000
38 73.0000000000
54 74.0000000000
64 75.0000000000
68 76.0000000000
94 77.0000000000
98 78.0000000000
101 79.0000000000
116 80.0000000000
144 81.0000000000
162 83.0000000000
218 84.0000000000
287 85.0000000000
295 86.0000000000
326 87.0000000000
348 88.0000000000
358 89.0000000000
366 90.0000000000
373 92.0000000000
406 93.0000000000
425 94.0000000000
515 95.0000000000
568 96.0000000000
581 97.0000000000
626 98.0000000000
796 99.0000000000
821 100.0000000000
100000 99.0000000000
evaluations raw_y
1 51.0000000000
2 52.0000000000
5 54.0000000000
8 55.0000000000
10 58.0000000000
28 62.0000000000
33 63.0000000000
44 66.0000000000
51 67.0000000000
67 68.0000000000
76 69.0000000000
84 70.0000000000
96 71.0000000000
100 73.0000000000
107 74.0000000000
153 75.0000000000
185 76.0000000000
202 77.0000000000
215 78.0000000000
235 79.0000000000
268 80.0000000000
287 81.0000000000
338 83.0000000000
364 84.0000000000
367 85.0000000000
382 86.0000000000
433 87.0000000000
453 88.0000000000
525 89.0000000000
550 90.0000000000
598 91.0000000000
634 92.0000000000
642 93.0000000000
670 94.0000000000
698 95.0000000000
779 96.0000000000
801 97.0000000000
855 98.0000000000
1177 99.0000000000
1420 100.0000000000
100000 100.0000000000
evaluations raw_y
1 53.0000000000
2 55.0000000000
3 58.0000000000
20 62.0000000000
27 63.0000000000
31 66.0000000000
54 67.0000000000
92 68.0000000000
103 70.0000000000
117 71.0000000000
129 72.0000000000
151 73.0000000000
169 74.0000000000
177 75.0000000000
187 76.0000000000
197 78.0000000000
211 79.0000000000
216 80.0000000000
233 82.0000000000
284 83.0000000000
328 84.0000000000
357 85.0000000000
382 86.0000000000
412 87.0000000000
448 88.0000000000
468 89.0000000000
514 90.0000000000
584 91.0000000000
591 92.0000000000
619 93.0000000000
652 94.0000000000
695 95.0000000000
741 96.0000000000
952 97.0000000000
958 98.0000000000
1403 99.0000000000
1959 100.0000000000
100000 100.0000000000
evaluations raw_y
1 52.0000000000
3 53.0000000000
6 54.0000000000
10 63.0000000000
24 65.0000000000
28 66.0000000000
39 67.0000000000
60 70.0000000000
68 71.0000000000
77 72.0000000000
104 73.0000000000
106 74.0000000000
116 75.0000000000
127 76.0000000000
145 77.0000000000
178 78.0000000000
195 79.0000000000
213 81.0000000000
231 82.0000000000
241 84.0000000000
246 85.0000000000
270 86.0000000000
278 87.0000000000
290 88.0000000000
314 89.0000000000
346 91.0000000000
442 92.0000000000
461 93.0000000000
467 94.0000000000
499 95.0000000000
530 96.0000000000
616 97.0000000000
836 98.0000000000
924 99.0000000000
1156 100.0000000000
100000 100.0000000000
evaluations raw_y
1 55.0000000000
4 57.0000000000
9 58.0000000000
12 60.0000000000
18 62.0000000000
21 66.0000000000
32 67.0000000000
40 68.0000000000
53 69.0000000000
68 70.0000000000
78 71.0000000000
86 72.0000000000
106 73.0000000000
112 74.0000000000
125 75.0000000000
138 76.0000000000
144 77.0000000000
155 79.0000000000
176 80.0000000000
180 81.0000000000
206 83.0000000000
224 84.0000000000
271 85.0000000000
285 86.0000000000
328 87.0000000000
357 88.0000000000
461 89.0000000000
486 90.0000000000
494 91.0000000000
519 92.0000000000
570 93.0000000000
615 94.0000000000
711 95.0000000000
797 96.0000000000
1094 97.0000000000
1116 98.0000000000
1133 99.0000000000
1271 100.0000000000
100000 99.0000000000
evaluations raw_y
1 39.0000000000
2 59.0000000000
22 61.0000000000
29 66.0000000000
36 67.0000000000
50 69.0000000000
59 70.0000000000
68 71.0000000000
107 72.0000000000
125 73.0000000000
128 74.0000000000
171 75.0000000000
187 76.0000000000
196 77.0000000000
219 78.0000000000
220 79.0000000000
230 80.0000000000
233 81.0000000000
274 82.0000000000
293 83.0000000000
304 84.0000000000
330 85.0000000000
337 86.0000000000
343 87.0000000000
353 88.0000000000
366 89.0000000000
390 90.0000000000
433 91.0000000000
440 92.0000000000
503 93.0000000000
519 94.0000000000
563 95.0000000000
589 96.0000000000
598 97.0000000000
613 98.0000000000
785 99.0000000000
1408 100.0000000000
100000 98.0000000000
evaluations raw_y
1 55.0000000000
4 60.0000000000
11 61.0000000000
15 62.0000000000
18 63.0000000000
21 64.0000000000
22 65.0000000000
30 66.0000000000
38 69.0000000000
42 70.0000000000
43 72.0000000000
75 73.0000000000
84 74.0000000000
95 75.0000000000
99 76.0000000000
118 78.0000000000
122 79.0000000000
129 80.0000000000
131 81.0000000000
140 82.0000000000
176 84.0000000000
198 86.0000000000
201 87.0000000000
225 88.0000000000
244 89.0000000000
252 90.0000000000
260 91.0000000000
306 92.0000000000
374 93.0000000000
446 94.0000000000
471 95.0000000000
483 96.0000000000
572 97.0000000000
633 98.0000000000
707 99.0000000000
864 100.0000000000
100000 98.0000000000
evaluations raw_y
1 49.0000000000
3 50.0000000000
4 52.0000000000
12 53.0000000000
13 61.0000000000
18 62.0000000000
25 63.0000000000
28 65.0000000000
39 66.0000000000
43 67.0000000000
52 69.0000000000
67 71.0000000000
86 72.0000000000
95 73.0000000000
105 74.0000000000
112 76.0000000000
148 77.0000000000
155 78.0000000000
162 79.0000000000
189 80.0000000000
193 81.0000000000
236 82.0000000000
256 83.0000000000
267 84.0000000000
299 86.0000000000
356 87.0000000000
376 88.0000000000
402 89.0000000000
403 90.0000000000
444 91.0000000000
479 92.0000000000
530 93.0000000000
659 94.0000000000
744 95.0000000000
799 96.0000000000
870 97.0000000000
938 98.0000000000
1077 99.0000000000
1640 100.0000000000
100000 98.0000000000
