evaluations raw_y
1 2.0000000000
8 4.0000000000
46 5.0000000000
66 6.0000000000
118 7.0000000000
201 8.0000000000
270 9.0000000000
319 10.0000000000
371 11.0000000000
374 15.0000000000
677 16.0000000000
904 26.0000000000
1343 27.0000000000
1483 28.0000000000
1590 29.0000000000
1621 31.0000000000
1706 32.0000000000
1845 33.0000000000
1873 34.0000000000
2112 35.0000000000
2438 42.0000000000
2612 43.0000000000
3211 46.0000000000
3342 48.0000000000
3371 51.0000000000
3596 52.0000000000
4280 53.0000000000
4290 59.0000000000
4391 62.0000000000
4581 64.0000000000
4828 65.0000000000
5219 67.0000000000
5251 69.0000000000
5380 70.0000000000
5812 73.0000000000
6379 75.0000000000
6477 77.0000000000
7073 79.0000000000
7270 80.0000000000
7398 81.0000000000
7858 84.0000000000
8139 88.0000000000
8635 92.0000000000
9427 100.0000000000
100000 100.0000000000
evaluations raw_y
1 0.0000000000
3 4.0000000000
20 5.0000000000
29 6.0000000000
41 7.0000000000
107 10.0000000000
246 12.0000000000
345 14.0000000000
421 18.0000000000
430 19.0000000000
707 23.0000000000
879 24.0000000000
1058 25.0000000000
1130 27.0000000000
1379 28.0000000000
1655 33.0000000000
1710 34.0000000000
2052 40.0000000000
2331 42.0000000000
2550 45.0000000000
2664 47.0000000000
2772 50.0000000000
3186 55.0000000000
3700 56.0000000000
3783 58.0000000000
3904 60.0000000000
4540 61.0000000000
4592 63.0000000000
5190 64.0000000000
5230 68.0000000000
5767 71.0000000000
6229 74.0000000000
6385 76.0000000000
6476 79.0000000000
6762 84.0000000000
8203 85.0000000000
8340 86.0000000000
8523 87.0000000000
8957 88.0000000000
9397 90.0000000000
9730 91.0000000000
10091 96.0000000000
10374 98.0000000000
10563 99.0000000000
11150 100.0000000000
100000 100.0000000000
evaluations raw_y
1 1.0000000000
3 6.0000000000
13 7.0000000000
19 9.0000000000
115 12.0000000000
176 14.0000000000
199 16.0000000000
355 18.0000000000
403 21.0000000000
890 22.0000000000
1074 28.0000000000
1411 29.0000000000
1513 35.0000000000
1910 37.0000000000
2060 39.0000000000
2119 40.0000000000
2182 45.0000000000
2526 47.0000000000
2767 48.0000000000
2971 50.0000000000
3263 51.0000000000
3463 52.0000000000
3500 53.0000000000
3557 55.0000000000
3807 57.0000000000
4084 61.0000000000
4806 63.0000000000
5067 65.0000000000
5327 68.0000000000
5728 69.0000000000
6361 71.0000000000
6597 73.0000000000
6888 74.0000000000
7787 76.0000000000
7955 77.0000000000
8276 78.0000000000
8519 82.0000000000
8632 88.0000000000
8907 91.0000000000
8929 94.0000000000
9260 98.0000000000
9439 99.0000000000
9553 100.0000000000
100000 5.0000000000
evaluations raw_y
1 0.0000000000
6 3.0000000000
14 5.0000000000
31 6.0000000000
42 8.0000000000
93 12.0000000000
177 13.0000000000
190 17.0000000000
275 18.0000000000
350 19.0000000000
701 21.0000000000
781 23.0000000000
927 26.0000000000
1110 30.0000000000
1184 31.0000000000
1342 34.0000000000
1536 35.0000000000
1801 36.0000000000
2081 37.0000000000
2242 40.0000000000
2311 44.0000000000
2514 45.0000000000
3055 46.0000000000
3132 47.0000000000
3196 48.0000000000
3551 49.0000000000
3580 52.0000000000
3636 55.0000000000
3873 56.0000000000
3955 63.0000000000
4373 65.0000000000
5161 66.0000000000
5342 67.0000000000
5643 69.0000000000
5764 70.0000000000
6362 75.0000000000
7051 76.0000000000
7311 78.0000000000
7542 79.0000000000
8218 80.0000000000
8902 82.0000000000
9169 83.0000000000
9679 86.0000000000
9908 87.0000000000
9986 88.0000000000
10241 92.0000000000
10769 95.0000000000
11242 96.0000000000
11354 97.0000000000
11551 100.0000000000
100000 79.0000000000
evaluations raw_y
1 1.0000000000
3 4.0000000000
19 5.0000000000
46 6.0000000000
65 8.0000000000
75 10.0000000000
136 14.0000000000
152 15.0000000000
194 17.0000000000
241 18.0000000000
509 19.0000000000
567 20.0000000000
993 24.0000000000
1328 25.0000000000
1425 26.0000000000
1579 28.0000000000
1655 30.0000000000
1938 31.0000000000
2076 32.0000000000
2199 34.0000000000
2401 36.0000000000
2552 38.0000000000
2719 39.0000000000
2852 40.0000000000
3076 42.0000000000
3580 44.0000000000
3893 45.0000000000
4148 47.0000000000
4385 48.0000000000
4572 49.0000000000
4697 50.0000000000
4858 51.0000000000
4980 53.0000000000
5095 57.0000000000
5350 63.0000000000
5688 66.0000000000
6218 70.0000000000
6383 72.0000000000
6435 73.0000000000
6569 77.0000000000
7014 84.0000000000
7680 85.0000000000
8286 86.0000000000
8628 88.0000000000
8830 89.0000000000
9068 90.0000000000
9651 96.0000000000
10014 97.0000000000
10245 98.0000000000
10920 100.0000000000
100000 100.0000000000
evaluations raw_y
1 2.0000000000
8 3.0000000000
11 4.0000000000
25 7.0000000000
55 9.0000000000
139 11.0000000000
160 13.0000000000
214 14.0000000000
553 19.0000000000
662 20.0000000000
862 25.0000000000
876 28.0000000000
1097 29.0000000000
1230 30.0000000000
1455 31.0000000000
1538 33.0000000000
1616 37.0000000000
2106 38.0000000000
2533 39.0000000000
2687 41.0000000000
3089 43.0000000000
3189 45.0000000000
3475 46.0000000000
3536 48.0000000000
4018 52.0000000000
4106 53.0000000000
4247 56.0000000000
4307 57.0000000000
4556 58.0000000000
4931 59.0000000000
4998 60.0000000000
5219 64.0000000000
5374 65.0000000000
5421 66.0000000000
5566 67.0000000000
6140 70.0000000000
6339 72.0000000000
6504 74.0000000000
6822 75.0000000000
6991 76.0000000000
7714 77.0000000000
7934 81.0000000000
8122 83.0000000000
8432 85.0000000000
9025 87.0000000000
9188 88.0000000000
9405 89.0000000000
9625 90.0000000000
10295 91.0000000000
10429 92.0000000000
10791 93.0000000000
11222 95.0000000000
11465 98.0000000000
11533 99.0000000000
11917 100.0000000000
100000 100.0000000000
evaluations raw_y
1 1.0000000000
2 2.0000000000
3 4.0000000000
26 10.0000000000
109 11.0000000000
117 13.0000000000
177 14.0000000000
231 15.0000000000
272 16.0000000000
582 18.0000000000
659 19.0000000000
704 22.0000000000
841 23.0000000000
959 25.0000000000
1344 26.0000000000
1788 29.0000000000
2193 31.0000000000
2439 32.0000000000
2488 33.0000000000
2608 35.0000000000
2649 36.0000000000
3069 43.0000000000
3842 46.0000000000
4306 47.0000000000
4403 51.0000000000
4790 52.0000000000
4913 53.0000000000
5051 54.0000000000
6000 59.0000000000
6113 65.0000000000
6420 66.0000000000
6534 67.0000000000
6967 68.0000000000
8187 69.0000000000
8434 70.0000000000
9029 72.0000000000
9198 79.0000000000
9253 80.0000000000
9514 81.0000000000
10044 82.0000000000
10258 85.0000000000
10464 88.0000000000
10672 90.0000000000
11102 91.0000000000
11442 95.0000000000
11631 96.0000000000
12111 100.0000000000
100000 43.0000000000
evaluations raw_y
1 0.0000000000
3 3.0000000000
16 5.0000000000
68 6.0000000000
70 7.0000000000
183 8.0000000000
229 11.0000000000
240 12.0000000000
366 13.0000000000
505 16.0000000000
624 20.0000000000
856 24.0000000000
1051 26.0000000000
1302 27.0000000000
1458 28.0000000000
1788 32.0000000000
2023 34.0000000000
2095 36.0000000000
2294 37.0000000000
2312 40.0000000000
2622 41.0000000000
2842 43.0000000000
2849 44.0000000000
3148 47.0000000000
3622 49.0000000000
3769 51.0000000000
3801 54.0000000000
4109 55.0000000000
4192 58.0000000000
4290 61.0000000000
4906 62.0000000000
5120 64.0000000000
5282 65.0000000000
5465 66.0000000000
5713 68.0000000000
6642 69.0000000000
7317 72.0000000000
7993 73.0000000000
8211 74.0000000000
8246 79.0000000000
8871 80.0000000000
9283 82.0000000000
9351 87.0000000000
9751 88.0000000000
9978 89.0000000000
10406 90.0000000000
10905 92.0000000000
11475 95.0000000000
11749 96.0000000000
11821 97.0000000000
11973 99.0000000000
12379 100.0000000000
100000 11.0000000000
evaluations raw_y
1 1.0000000000
6 3.0000000000
9 7.0000000000
16 11.0000000000
79 13.0000000000
101 14.0000000000
176 17.0000000000
289 19.0000000000
323 22.0000000000
393 24.0000000000
571 26.0000000000
696 29.0000000000
783 33.0000000000
904 34.0000000000
1128 36.0000000000
1471 37.0000000000
2060 39.0000000000
2194 40.0000000000
2502 41.0000000000
2906 42.0000000000
3233 43.0000000000
3582 47.0000000000
4252 48.0000000000
4680 51.0000000000
4699 52.0000000000
4707 53.0000000000
4885 54.0000000000
4932 55.0000000000
5440 56.0000000000
5873 57.0000000000
5882 58.0000000000
6076 59.0000000000
6337 60.0000000000
6630 64.0000000000
6718 69.0000000000
7170 70.0000000000
7207 73.0000000000
7464 75.0000000000
7612 78.0000000000
7976 79.0000000000
8104 81.0000000000
8118 84.0000000000
8507 87.0000000000
8853 89.0000000000
8940 94.0000000000
8986 95.0000000000
9782 97.0000000000
10239 99.0000000000
10660 100.0000000000
100000 100.0000000000
evaluations raw_y
1 1.0000000000
4 4.0000000000
7 5.0000000000
28 8.0000000000
68 12.0000000000
134 15.0000000000
157 18.0000000000
437 19.0000000000
646 21.0000000000
842 24.0000000000
1164 28.0000000000
1631 30.0000000000
1785 32.0000000000
2233 36.0000000000
2362 37.0000000000
2493 38.0000000000
2638 39.0000000000
2799 41.0000000000
2944 42.0000000000
3850 44.0000000000
4216 46.0000000000
4499 49.0000000000
4647 51.0000000000
4690 53.0000000000
4897 56.0000000000
5191 57.0000000000
5636 58.0000000000
5891 59.0000000000
6025 62.0000000000
6465 65.0000000000
6572 66.0000000000
6768 74.0000000000
7519 75.0000000000
7859 76.0000000000
8807 78.0000000000
9081 79.0000000000
9169 80.0000000000
9239 81.0000000000
9427 82.0000000000
9645 84.0000000000
9899 85.0000000000
10044 88.0000000000
10303 92.0000000000
10442 93.0000000000
10597 96.0000000000
10661 97.0000000000
11248 98.0000000000
11385 99.0000000000
11624 100.0000000000
100000 22.0000000000
