evaluations raw_y
1 -0.4945729582
4 -0.4908071295
8 -0.4841168151
14 -0.4753894309
22 -0.4677695936
23 -0.4574720775
27 -0.4502222686
46 -0.4492919005
49 -0.4452388194
55 -0.4366116135
58 -0.4365282835
61 -0.4362992675
63 -0.4351068374
72 -0.4348964748
75 -0.4239508424
80 -0.4180062475
89 -0.4156812570
94 -0.4133398016
99 -0.4062334733
101 -0.3998558300
108 -0.3987750525
109 -0.3964956041
122 -0.3932453833
125 -0.3911823503
143 -0.3862815142
144 -0.3816820950
176 -0.3780124982
183 -0.3682577737
185 -0.3676411915
188 -0.3622240701
213 -0.3620944880
261 -0.3608653603
269 -0.3586074304
325 -0.3568360514
328 -0.3533957622
343 -0.3521654721
380 -0.3503410604
383 -0.3496000430
426 -0.3430914698
449 -0.3402910272
453 -0.3331731713
503 -0.3276278420
525 -0.3248298380
539 -0.3225220876
567 -0.3215210472
655 -0.3202537863
908 -0.3202111569
1049 -0.3197965115
1066 -0.3160750480
2264 -0.3145597876
3509 -0.3144419801
3535 -0.3090827844
10856 -0.3054862974
10927 -0.3009724098
14548 -0.3000554739
14902 -0.2998485644
14954 -0.2941460802
29864 -0.2928200823
100000 -0.2933899662
evaluations raw_y
1 -0.4992470309
4 -0.4972905675
5 -0.4965945167
9 -0.4880526562
11 -0.4762236183
13 -0.4719814720
15 -0.4611060000
17 -0.4579273425
23 -0.4500401113
24 -0.4433947860
26 -0.4399544968
40 -0.4373003668
43 -0.4350209184
57 -0.4292152642
59 -0.4254248322
63 -0.4225629922
77 -0.4195700105
81 -0.4153636659
85 -0.4113105848
98 -0.4109719517
102 -0.4023447458
103 -0.4019967888
124 -0.3932339908
131 -0.3853143107
148 -0.3791496489
153 -0.3781030447
156 -0.3740377798
161 -0.3739879592
180 -0.3735871452
183 -0.3673829865
191 -0.3618376572
192 -0.3583505996
223 -0.3569217588
253 -0.3543725723
262 -0.3500508408
284 -0.3428010318
320 -0.3413270372
324 -0.3395240848
341 -0.3385230445
365 -0.3299316188
404 -0.3291535273
408 -0.3286734073
463 -0.3260071239
500 -0.3247665903
580 -0.3240255729
584 -0.3229146595
655 -0.3222980773
759 -0.3216316009
809 -0.3178675079
1210 -0.3168584961
1230 -0.3156282059
2341 -0.3149993161
14713 -0.3148815086
14747 -0.3095223129
26982 -0.3081963149
27085 -0.3081086744
27125 -0.3078425345
31869 -0.3063272742
45665 -0.3028029821
51207 -0.2998547250
100000 -0.2998547250
evaluations raw_y
1 -0.4904415424
5 -0.4811667728
