evaluations raw_y
1 1.3340448239
2 1.9747235387
64 2.3992322457
1680 2.4752475248
1962 2.7839643653
16348 2.9976019185
39500 3.0562347188
67578 3.1806615776
125000 1.6778523490
evaluations raw_y
1 0.7846829881
2 1.0841283608
4 1.1916110582
6 1.3935340022
16 1.4863258026
22 1.5923566879
25 1.6600265604
28 1.8796992481
233 1.9747235387
443 2.1367521368
554 2.1968365554
1697 2.8344671202
19493 2.9411764706
24491 2.9976019185
75912 3.1172069825
125000 1.1916110582
evaluations raw_y
1 1.1312217195
2 1.6087516088
19 1.8573551263
49 1.9025875190
53 1.9260400616
81 2.3277467412
1343 2.3629489603
1354 2.7839643653
15206 2.9411764706
29637 2.9976019185
56514 3.2467532468
125000 1.2487512488
evaluations raw_y
1 0.9184423218
2 1.2487512488
4 1.3340448239
5 1.4188422247
12 1.4318442153
19 1.6778523490
57 1.7337031900
68 2.0525451560
499 2.3277467412
1707 2.4752475248
2078 2.6881720430
10888 2.7352297593
14387 2.7839643653
35956 3.0562347188
125000 0.8350033400
evaluations raw_y
1 1.2487512488
5 1.2690355330
7 1.3116474292
12 1.7146776406
79 1.7934002869
177 2.0000000000
221 2.7839643653
365 3.0562347188
26397 3.3156498674
125000 1.5006002401
evaluations raw_y
1 1.7337031900
4 2.1968365554
25 2.3629489603
537 2.5150905433
2834 2.5562372188
3149 3.0562347188
13733 3.1172069825
66831 3.3156498674
125000 1.0137875101
evaluations raw_y
1 0.7229612493
2 1.0692899914
6 1.9500780031
24 2.1968365554
30 2.4752475248
3450 2.7352297593
16887 2.9411764706
46781 2.9976019185
107743 3.2467532468
125000 1.0271158587
evaluations raw_y
1 1.5605493134
10 1.6600265604
32 1.6960651289
70 1.8142235123
201 1.8796992481
234 2.0000000000
349 2.0798668885
513 2.1968365554
870 2.3277467412
914 2.4366471735
1084 2.5150905433
3799 2.9976019185
14961 3.1172069825
54915 3.1806615776
125000 1.2007684918
evaluations raw_y
1 1.1649580615
2 1.2690355330
4 1.5605493134
10 1.6254876463
36 1.9747235387
234 2.0259319287
244 2.3277467412
693 2.4752475248
4105 2.7352297593
15646 2.9411764706
51412 3.0562347188
115109 3.9936102236
125000 1.0204081633
evaluations raw_y
1 1.3691128149
3 1.6254876463
34 1.8142235123
51 1.9025875190
113 2.0259319287
129 2.1367521368
594 2.2935779817
843 2.3629489603
1454 2.4366471735
2168 2.8868360277
27283 3.4626038781
125000 0.9944311854
