evaluations raw_y
1 20.0000000000
2 35.0000000000
795 37.0000000000
7326 38.0000000000
13632 39.0000000000
44417 41.0000000000
125000 29.0000000000
evaluations raw_y
1 30.0000000000
56 35.0000000000
2038 38.0000000000
14788 39.0000000000
125000 25.0000000000
evaluations raw_y
1 24.0000000000
2 32.0000000000
32 34.0000000000
246 38.0000000000
3746 39.0000000000
121382 40.0000000000
125000 28.0000000000
evaluations raw_y
1 25.0000000000
2 28.0000000000
8 33.0000000000
93 35.0000000000
972 36.0000000000
4451 37.0000000000
14493 39.0000000000
124428 40.0000000000
125000 26.0000000000
evaluations raw_y
1 26.0000000000
3 29.0000000000
11 31.0000000000
31 35.0000000000
1164 37.0000000000
3105 38.0000000000
3844 40.0000000000
125000 26.0000000000
evaluations raw_y
1 28.0000000000
14 30.0000000000
50 31.0000000000
88 32.0000000000
168 33.0000000000
179 35.0000000000
289 36.0000000000
1289 38.0000000000
27898 39.0000000000
125000 26.0000000000
evaluations raw_y
1 32.0000000000
13 33.0000000000
133 36.0000000000
1573 38.0000000000
3200 39.0000000000
9003 40.0000000000
28709 41.0000000000
125000 27.0000000000
evaluations raw_y
1 26.0000000000
2 33.0000000000
22 35.0000000000
1234 36.0000000000
1674 40.0000000000
125000 26.0000000000
evaluations raw_y
1 26.0000000000
2 27.0000000000
5 28.0000000000
10 29.0000000000
24 30.0000000000
41 32.0000000000
50 33.0000000000
126 36.0000000000
1091 38.0000000000
12409 39.0000000000
111786 40.0000000000
125000 22.0000000000
evaluations raw_y
1 25.0000000000
2 26.0000000000
9 28.0000000000
11 31.0000000000
43 33.0000000000
64 36.0000000000
1124 39.0000000000
97421 41.0000000000
125000 28.0000000000
