evaluations raw_y
1 0.0000000000
2 1.0000000000
6 5.0000000000
70 8.0000000000
162 9.0000000000
1243 10.0000000000
3012 11.0000000000
3727 12.0000000000
7642 14.0000000000
19010 15.0000000000
31842 17.0000000000
88694 18.0000000000
124472 21.0000000000
125000 10.0000000000
evaluations raw_y
1 1.0000000000
7 4.0000000000
21 5.0000000000
88 9.0000000000
2652 12.0000000000
5187 18.0000000000
125000 0.0000000000
evaluations raw_y
1 0.0000000000
3 4.0000000000
30 6.0000000000
145 8.0000000000
304 9.0000000000
3950 10.0000000000
7879 12.0000000000
9320 13.0000000000
20552 14.0000000000
76064 16.0000000000
104536 17.0000000000
125000 1.0000000000
evaluations raw_y
1 0.0000000000
4 1.0000000000
17 3.0000000000
32 5.0000000000
94 7.0000000000
135 10.0000000000
904 11.0000000000
13594 12.0000000000
19267 14.0000000000
21305 16.0000000000
43663 18.0000000000
125000 2.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
4 2.0000000000
7 8.0000000000
232 9.0000000000
1826 11.0000000000
2577 12.0000000000
2807 13.0000000000
15917 14.0000000000
61172 15.0000000000
98201 16.0000000000
125000 0.0000000000
evaluations raw_y
1 0.0000000000
3 11.0000000000
3277 12.0000000000
10315 13.0000000000
34074 15.0000000000
125000 3.0000000000
evaluations raw_y
1 0.0000000000
5 1.0000000000
14 2.0000000000
25 4.0000000000
32 5.0000000000
72 6.0000000000
84 9.0000000000
1427 12.0000000000
1956 13.0000000000
49450 16.0000000000
97223 17.0000000000
125000 4.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
3 2.0000000000
16 4.0000000000
82 5.0000000000
120 6.0000000000
122 8.0000000000
357 11.0000000000
3641 14.0000000000
10321 15.0000000000
62888 17.0000000000
125000 0.0000000000
evaluations raw_y
1 6.0000000000
25 7.0000000000
68 8.0000000000
82 9.0000000000
498 10.0000000000
2888 14.0000000000
19965 15.0000000000
27010 20.0000000000
125000 0.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
5 3.0000000000
7 6.0000000000
38 13.0000000000
18376 15.0000000000
79900 17.0000000000
125000 2.0000000000
