evaluations raw_y
1 0.0000000000
4 4.0000000000
41 5.0000000000
91 6.0000000000
109 7.0000000000
922 8.0000000000
1347 12.0000000000
2399 13.0000000000
44970 15.0000000000
56540 16.0000000000
100000 1.0000000000
evaluations raw_y
1 5.0000000000
91 6.0000000000
197 7.0000000000
234 8.0000000000
422 11.0000000000
4197 13.0000000000
22317 14.0000000000
38490 16.0000000000
100000 1.0000000000
evaluations raw_y
1 0.0000000000
4 3.0000000000
11 4.0000000000
44 5.0000000000
52 6.0000000000
138 7.0000000000
196 9.0000000000
1050 10.0000000000
2813 11.0000000000
6941 13.0000000000
7309 15.0000000000
50250 16.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
7 3.0000000000
32 6.0000000000
321 7.0000000000
795 8.0000000000
1960 10.0000000000
2094 12.0000000000
5211 14.0000000000
56555 17.0000000000
100000 2.0000000000
evaluations raw_y
1 1.0000000000
7 2.0000000000
17 4.0000000000
83 5.0000000000
89 6.0000000000
217 8.0000000000
866 9.0000000000
1303 10.0000000000
1425 13.0000000000
2969 14.0000000000
5649 16.0000000000
46555 22.0000000000
100000 1.0000000000
evaluations raw_y
1 2.0000000000
2 3.0000000000
36 4.0000000000
66 8.0000000000
242 9.0000000000
364 11.0000000000
2142 14.0000000000
23569 20.0000000000
100000 1.0000000000
evaluations raw_y
1 3.0000000000
11 4.0000000000
41 5.0000000000
45 7.0000000000
720 8.0000000000
1428 9.0000000000
1675 15.0000000000
33355 16.0000000000
48131 25.0000000000
100000 0.0000000000
evaluations raw_y
1 3.0000000000
47 5.0000000000
59 6.0000000000
71 11.0000000000
4207 12.0000000000
21092 15.0000000000
98430 17.0000000000
100000 0.0000000000
evaluations raw_y
1 1.0000000000
2 3.0000000000
28 4.0000000000
214 5.0000000000
273 7.0000000000
709 9.0000000000
1410 10.0000000000
3062 11.0000000000
3494 16.0000000000
80991 17.0000000000
100000 4.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
4 2.0000000000
11 5.0000000000
66 7.0000000000
154 8.0000000000
461 10.0000000000
967 11.0000000000
9310 13.0000000000
11464 14.0000000000
18025 15.0000000000
23909 16.0000000000
50249 17.0000000000
51548 20.0000000000
100000 0.0000000000
