evaluations raw_y
1 -0.5187642282
2 -0.4946110140
5 -0.4908442206
6 -0.4704115262
43 -0.4703739818
54 -0.4632510853
110 -0.4489637748
249 -0.4460379698
285 -0.4400712255
318 -0.4365720270
445 -0.4354332185
3656 -0.4342828582
3891 -0.4176899623
5004 -0.4113300011
69272 -0.4107112653
100000 -0.4503254957
evaluations raw_y
1 -0.4649316969
24 -0.4435778417
196 -0.4317402000
926 -0.4234822534
15671 -0.4233169239
28626 -0.4198869682
42367 -0.4143574432
85700 -0.4141853136
100000 -0.5174332801
evaluations raw_y
1 -0.5110995617
4 -0.4929198453
5 -0.4898088930
12 -0.4779673345
23 -0.4765098561
24 -0.4723527605
27 -0.4530052945
203 -0.4489019888
312 -0.4377187084
413 -0.4241985142
4406 -0.4164139144
23224 -0.4101526776
77323 -0.4072572788
100000 -0.5582525220
evaluations raw_y
1 -0.5274891278
2 -0.5041234201
4 -0.5035924088
7 -0.4942977459
15 -0.4855270108
18 -0.4629150540
34 -0.4605827066
36 -0.4297585314
4275 -0.4275248151
8568 -0.4269197025
10839 -0.4231126351
22645 -0.4114990002
27295 -0.4110469581
43419 -0.4094697353
56539 -0.4085984145
100000 -0.5170860749
evaluations raw_y
1 -0.4654468745
102 -0.4448711950
866 -0.4346553455
1042 -0.4345040190
1889 -0.4217705577
6253 -0.4151364891
13463 -0.4137042108
19022 -0.4088064237
100000 -0.5240221887
evaluations raw_y
1 -0.4894473471
2 -0.4701039178
9 -0.4667342825
87 -0.4621251005
107 -0.4548312628
256 -0.4336777887
1291 -0.4281543185
6681 -0.4236748033
18946 -0.4157266952
34073 -0.4115865634
57450 -0.4103015146
62408 -0.4078262842
100000 -0.4858307907
evaluations raw_y
1 -0.4933472877
2 -0.4631391194
10 -0.4590080517
88 -0.4539449747
99 -0.4468602289
354 -0.4406008385
1024 -0.4209745513
9334 -0.4206729956
15992 -0.4107263764
73252 -0.4064205620
97283 -0.3995086021
100000 -0.4977729748
evaluations raw_y
1 -0.4908240012
5 -0.4886812452
6 -0.4847577246
30 -0.4811850966
35 -0.4754638497
59 -0.4711197490
76 -0.4537128779
197 -0.4503247579
275 -0.4205198560
3186 -0.4152684434
39798 -0.4064588408
100000 -0.5014533611
evaluations raw_y
1 -0.5327552418
2 -0.4979133605
3 -0.4877499475
7 -0.4873254833
8 -0.4718246980
10 -0.4555290980
13 -0.4551665410
53 -0.4492460071
314 -0.4391918045
343 -0.4348971248
1595 -0.4253991139
1847 -0.4117261035
76747 -0.4085080806
100000 -0.5167586813
evaluations raw_y
1 -0.5271196787
4 -0.5111516655
6 -0.5095866318
7 -0.4967995000
9 -0.4870343312
17 -0.4767203230
34 -0.4735032121
47 -0.4732059616
54 -0.4731590332
57 -0.4708924564
74 -0.4707555447
173 -0.4689980253
231 -0.4675671685
235 -0.4335082992
898 -0.4267785176
1567 -0.4133409053
100000 -0.5368280106
