evaluations raw_y
1 0.0000000000
2 1.0000000000
3 2.0000000000
6 3.0000000000
32 4.0000000000
37 5.0000000000
66 6.0000000000
77 7.0000000000
88 10.0000000000
216 11.0000000000
367 12.0000000000
426 13.0000000000
587 17.0000000000
690 18.0000000000
760 21.0000000000
772 22.0000000000
926 23.0000000000
1033 27.0000000000
1107 29.0000000000
1138 30.0000000000
1296 33.0000000000
1332 35.0000000000
1383 36.0000000000
1775 40.0000000000
2127 44.0000000000
2144 45.0000000000
2395 46.0000000000
2892 48.0000000000
3027 49.0000000000
3316 50.0000000000
3381 51.0000000000
3482 52.0000000000
3566 54.0000000000
3671 55.0000000000
3817 56.0000000000
3914 58.0000000000
4160 59.0000000000
4382 62.0000000000
4640 63.0000000000
4777 64.0000000000
4913 65.0000000000
5034 66.0000000000
5544 69.0000000000
5774 73.0000000000
5826 74.0000000000
6301 77.0000000000
6390 80.0000000000
6430 81.0000000000
6452 84.0000000000
6750 85.0000000000
6794 89.0000000000
6823 90.0000000000
7072 97.0000000000
7235 98.0000000000
7460 99.0000000000
8366 100.0000000000
100000 100.0000000000
