evaluations raw_y
1 55.0000000000
5 56.0000000000
11 58.0000000000
30 59.0000000000
32 60.0000000000
38 63.0000000000
41 72.0000000000
89 73.0000000000
103 74.0000000000
152 75.0000000000
156 77.0000000000
195 78.0000000000
215 79.0000000000
241 80.0000000000
267 81.0000000000
285 82.0000000000
299 83.0000000000
325 84.0000000000
355 85.0000000000
375 86.0000000000
382 87.0000000000
414 88.0000000000
436 89.0000000000
467 90.0000000000
488 91.0000000000
509 92.0000000000
548 93.0000000000
624 94.0000000000
651 95.0000000000
662 96.0000000000
683 97.0000000000
702 98.0000000000
790 99.0000000000
894 100.0000000000
100000 99.0000000000
