evaluations raw_y
1 3017.0000000000
31 3058.0000000000
42 3072.0000000000
49 3120.0000000000
60 3249.0000000000
70 3373.0000000000
77 3399.0000000000
84 3887.0000000000
125 3933.0000000000
143 3959.0000000000
148 4060.0000000000
161 4134.0000000000
167 4262.0000000000
181 4280.0000000000
205 4307.0000000000
224 4321.0000000000
230 4389.0000000000
234 4399.0000000000
245 4415.0000000000
261 4478.0000000000
271 4480.0000000000
291 4552.0000000000
308 4582.0000000000
322 4587.0000000000
337 4648.0000000000
379 4653.0000000000
410 4668.0000000000
428 4680.0000000000
445 4703.0000000000
482 4731.0000000000
531 4732.0000000000
557 4766.0000000000
569 4784.0000000000
591 4796.0000000000
613 4813.0000000000
621 4826.0000000000
634 4834.0000000000
635 4849.0000000000
663 4880.0000000000
723 4893.0000000000
734 4904.0000000000
750 4946.0000000000
907 4951.0000000000
941 4958.0000000000
955 4962.0000000000
971 5001.0000000000
995 5003.0000000000
1157 5029.0000000000
1209 5030.0000000000
1750 5036.0000000000
1759 5042.0000000000
1803 5044.0000000000
1806 5048.0000000000
1987 5050.0000000000
100000 4981.0000000000
