evaluations raw_y
1 0.8541168432
2 1.5752993069
8 1.6181229773
19 1.8395879323
64 1.8477457502
94 1.9794140934
142 2.0408163265
144 2.0678246485
148 2.0746887967
156 2.0815986678
192 2.0850708924
196 2.0990764064
206 2.1496130696
217 2.1795989538
250 2.1872265967
251 2.2624434389
256 2.4015369837
262 2.4061597690
334 2.4485798237
361 2.4533856722
369 2.5853154085
385 2.7085590466
443 2.7144408252
462 2.8184892897
604 3.0599755202
674 3.2092426187
755 3.2341526520
817 3.5260930889
11874 3.5868005739
11950 3.7037037037
12184 4.0257648953
12977 4.0650406504
100000 4.0650406504
