evaluations raw_y
1 -1420.0000000000
2 -1410.0000000000
3 -1215.0000000000
14 -1137.0000000000
41 -1078.0000000000
51 -1011.0000000000
64 -855.0000000000
68 -777.0000000000
82 -767.0000000000
86 -748.0000000000
101 -582.0000000000
147 -572.0000000000
149 -563.0000000000
151 -437.0000000000
174 -388.0000000000
185 -379.0000000000
202 -359.0000000000
206 -349.0000000000
226 -340.0000000000
235 -339.0000000000
243 -300.0000000000
247 -272.0000000000
278 -242.0000000000
292 -214.0000000000
318 -194.0000000000
347 -184.0000000000
357 -175.0000000000
374 -165.0000000000
389 -156.0000000000
392 -146.0000000000
396 -98.0000000000
435 -89.0000000000
483 -79.0000000000
512 -70.0000000000
523 -51.0000000000
544 -50.0000000000
572 -32.0000000000
611 -13.0000000000
668 -4.0000000000
743 5.0000000000
848 6.0000000000
1005 7.0000000000
1823 8.0000000000
100000 8.0000000000
