evaluations raw_y
1 5.2000000000
2 6.2000000000
4 7.8000000000
6 9.0000000000
20 9.6000000000
83 9.8000000000
84 10.0000000000
94 10.6000000000
119 10.8000000000
144 11.4000000000
163 11.6000000000
166 11.8000000000
170 12.0000000000
217 12.2000000000
262 12.4000000000
284 12.8000000000
305 13.0000000000
334 13.2000000000
362 13.4000000000
412 14.0000000000
467 14.2000000000
538 14.4000000000
605 14.6000000000
645 14.8000000000
663 15.0000000000
697 15.4000000000
756 15.6000000000
987 15.8000000000
1073 16.0000000000
1085 16.2000000000
100000 15.0000000000
