evaluations raw_y
1 -0.4843585192
11 -0.4535757596
69 -0.4484231582
72 -0.4371521504
82 -0.4129886935
122 -0.4106987536
125 -0.4095484043
159 -0.4009277656
177 -0.3982378812
190 -0.3902153347
203 -0.3901748257
231 -0.3873413183
232 -0.3798608757
260 -0.3790325641
262 -0.3761089453
274 -0.3740989948
285 -0.3726139178
302 -0.3721159628
304 -0.3717863147
308 -0.3700681525
327 -0.3661615257
332 -0.3627996808
348 -0.3616049851
370 -0.3566908024
376 -0.3559354433
406 -0.3556771882
429 -0.3553354765
433 -0.3519557246
458 -0.3458656723
486 -0.3391311195
576 -0.3380774861
628 -0.3350656023
665 -0.3330639439
684 -0.3326492985
708 -0.3317726849
733 -0.3253522344
746 -0.3229572363
779 -0.3224771163
786 -0.3214681045
908 -0.3214110417
1017 -0.3192690601
1211 -0.3180387699
1246 -0.3174221876
1887 -0.3166203466
2899 -0.3142080112
3397 -0.3085099721
5220 -0.3077240497
6654 -0.3061354483
6769 -0.3060090428
6850 -0.3006894070
11289 -0.3005715995
20042 -0.2992456016
34553 -0.2981029675
34607 -0.2974069167
100000 -0.2974069167
