evaluations raw_y
1 -2007.0000000000
6 -2006.0000000000
43 -2005.0000000000
113 -2004.0000000000
128 -2003.0000000000
409 -2002.0000000000
436 -2001.0000000000
644 -2000.0000000000
812 -1999.0000000000
3235 -1996.0000000000
10000 -2005.0000000000
evaluations raw_y
1 -1945.0000000000
3 -1944.0000000000
4 -1943.0000000000
13 -1942.0000000000
15 -1940.0000000000
63 -1939.0000000000
106 -1938.0000000000
210 -1937.0000000000
311 -1936.0000000000
1788 -1933.0000000000
2672 -1932.0000000000
10000 -1934.0000000000
evaluations raw_y
1 -1996.0000000000
2 -1994.0000000000
3 -1992.0000000000
19 -1991.0000000000
32 -1990.0000000000
143 -1989.0000000000
187 -1988.0000000000
412 -1987.0000000000
525 -1986.0000000000
1792 -1985.0000000000
2600 -1983.0000000000
5717 -1982.0000000000
10000 -1997.0000000000
evaluations raw_y
1 -1941.0000000000
6 -1940.0000000000
9 -1938.0000000000
37 -1936.0000000000
43 -1935.0000000000
65 -1934.0000000000
270 -1933.0000000000
1308 -1932.0000000000
1592 -1931.0000000000
3258 -1930.0000000000
8296 -1929.0000000000
10000 -1939.0000000000
evaluations raw_y
1 -1948.0000000000
5 -1946.0000000000
87 -1945.0000000000
194 -1944.0000000000
263 -1943.0000000000
728 -1942.0000000000
878 -1941.0000000000
1038 -1940.0000000000
3249 -1939.0000000000
10000 -1951.0000000000
evaluations raw_y
1 -1972.0000000000
9 -1971.0000000000
11 -1970.0000000000
14 -1968.0000000000
32 -1967.0000000000
196 -1966.0000000000
726 -1965.0000000000
2510 -1964.0000000000
5459 -1963.0000000000
7049 -1961.0000000000
10000 -1967.0000000000
evaluations raw_y
1 -1938.0000000000
41 -1936.0000000000
121 -1935.0000000000
167 -1934.0000000000
437 -1933.0000000000
1111 -1932.0000000000
1848 -1930.0000000000
10000 -1942.0000000000
evaluations raw_y
1 -1975.0000000000
25 -1974.0000000000
73 -1973.0000000000
78 -1972.0000000000
159 -1970.0000000000
1857 -1969.0000000000
2889 -1968.0000000000
3270 -1967.0000000000
6062 -1965.0000000000
6171 -1964.0000000000
7480 -1963.0000000000
10000 -1979.0000000000
evaluations raw_y
1 -1984.0000000000
23 -1983.0000000000
74 -1982.0000000000
550 -1981.0000000000
1041 -1980.0000000000
2430 -1979.0000000000
3122 -1978.0000000000
8730 -1977.0000000000
10000 -1987.0000000000
evaluations raw_y
