evaluations raw_y
1 -794.9005713909
2 1031.9463083117
5 2302.4608111751
6 4916.1936945925
7 6892.7943418718
9 10281.9175642769
11 10810.6911675360
15 11612.4921958836
16 14563.6098348813
17 15804.1674984923
18 16405.8049708975
22 17103.7537271097
23 17393.2498859984
24 18306.4020514118
25 18657.8535144405
26 20018.4652432123
27 20600.6788913166
28 21283.2672289340
31 22978.7291496285
32 23179.6274202207
35 23491.8270735419
36 23744.5260527833
43 23948.6659449629
47 24084.2731741654
75 24236.1912798981
82 24357.5507898768
86 24357.6017072057
352 24575.0973787975
358 24784.0867797157
363 24887.9614096416
385 24991.5087333296
528 25191.6070077097
546 25345.4042370434
592 25565.1333231687
610 25567.4620876138
625 25701.8937204089
656 25904.9702674091
702 26304.9322896164
906 26404.9203468546
1407 26575.5192617206
1457 27030.4586678138
1459 27092.0667088422
1463 27249.2275726519
1470 27467.4351768262
1481 27569.5476528644
1510 27579.6262557525
1518 27660.4565162915
1575 27808.0220917303
3169 27910.1071393072
3218 28020.8661830300
3385 28109.8886272541
3410 28249.2020180933
3422 28323.4060218984
3518 28481.1975787934
3624 28524.0583485548
3670 28620.0023945846
3781 28779.3282652119
4180 28799.5999529018
4262 28950.5806878290
4391 28964.2495979412
4408 29098.7356890747
5294 29203.7733385845
5301 29349.1865941721
5384 29488.2957991445
6220 29498.8649190537
6226 29695.4044037154
6444 29775.5092739214
6519 29910.4657024222
6523 30149.8696778479
6585 30288.6803085330
7931 30399.6302169071
8237 30471.5926760707
8356 30727.4162703987
8624 30744.0757364957
8675 30949.7002668763
8743 30980.8112267588
8802 31135.4238838596
8856 31174.6175769099
9192 31288.6229324678
9521 31315.4817412440
9932 31342.6341454795
10000 -163606.1000000000
evaluations raw_y
1 -2851.0000000000
4 -2066.1704912594
5 -702.8823263692
7 -71.1023277244
8 2680.7885642439
10 4815.9773972175
13 5217.4290450762
14 6142.6424072352
15 9771.7857641220
16 11553.5086154579
18 12009.4434482021
20 13706.5062942252
22 15919.0685648495
23 16564.2088225115
24 19581.2275888057
25 20065.8460247308
28 20481.9080044762
29 21655.0412513944
37 22287.9754697400
