evaluations raw_y
1 56.0000000000
2 95.0000000000
3 154.0000000000
4 199.0000000000
5 234.0000000000
6 276.0000000000
7 296.0000000000
8 315.0000000000
9 334.0000000000
10 358.0000000000
10000 -1.0000000000
evaluations raw_y
1 76.0000000000
2 131.0000000000
3 184.0000000000
4 240.0000000000
5 270.0000000000
6 304.0000000000
7 320.0000000000
8 337.0000000000
9 363.0000000000
10 378.0000000000
10000 -1.0000000000
evaluations raw_y
1 69.0000000000
2 116.0000000000
3 172.0000000000
4 224.0000000000
5 275.0000000000
6 309.0000000000
7 336.0000000000
8 342.0000000000
9 365.0000000000
10 372.0000000000
10000 -1.0000000000
evaluations raw_y
1 74.0000000000
2 148.0000000000
3 215.0000000000
4 247.0000000000
5 284.0000000000
6 304.0000000000
7 324.0000000000
8 354.0000000000
9 365.0000000000
10 386.0000000000
10000 -1.0000000000
evaluations raw_y
1 89.0000000000
2 147.0000000000
3 215.0000000000
4 272.0000000000
5 307.0000000000
6 331.0000000000
7 348.0000000000
8 361.0000000000
9 377.0000000000
10 388.0000000000
10000 -1.0000000000
evaluations raw_y
1 73.0000000000
2 133.0000000000
3 174.0000000000
4 219.0000000000
5 249.0000000000
6 285.0000000000
7 322.0000000000
8 350.0000000000
9 382.0000000000
10 400.0000000000
10000 -1.0000000000
evaluations raw_y
1 104.0000000000
2 177.0000000000
3 229.0000000000
4 266.0000000000
5 292.0000000000
6 332.0000000000
7 376.0000000000
8 384.0000000000
9 407.0000000000
10 415.0000000000
10000 -1.0000000000
evaluations raw_y
1 78.0000000000
2 158.0000000000
3 211.0000000000
4 263.0000000000
5 300.0000000000
6 334.0000000000
7 358.0000000000
8 369.0000000000
9 385.0000000000
10 407.0000000000
10000 -1.0000000000
evaluations raw_y
1 85.0000000000
2 156.0000000000
3 208.0000000000
4 257.0000000000
5 294.0000000000
6 316.0000000000
7 342.0000000000
8 360.0000000000
9 375.0000000000
10 386.0000000000
10000 -1.0000000000
evaluations raw_y
1 83.0000000000
2 156.0000000000
3 197.0000000000
4 260.0000000000
5 297.0000000000
6 331.0000000000
7 356.0000000000
8 377.0000000000
9 396.0000000000
10 406.0000000000
10000 -1.0000000000
evaluations raw_y
1 67.0000000000
2 151.0000000000
3 200.0000000000
4 255.0000000000
5 292.0000000000
6 314.0000000000
7 328.0000000000
8 348.0000000000
9 364.0000000000
10 379.0000000000
10000 -1.0000000000
evaluations raw_y
