evaluations raw_y
1 -1039.0080637914
2 3.4083208437
3 1078.8661200228
4 1496.5804434211
5 2838.4018447173
6 4835.8286746042
7 5604.2949388985
8 5915.5437198540
9 6535.9040865338
10 7684.1766972117
11 10120.6039989100
13 12046.6649991812
14 12740.8951878255
15 13356.5276889714
16 13846.2534264977
17 17338.9530450696
18 18870.9044598613
19 20413.3606047433
20 20614.7101911693
21 21033.9395154315
22 21437.5233177887
23 22162.8440783989
24 22728.1301046058
25 22856.6946517076
26 23367.7423460925
27 23747.7839632528
29 24324.8070940262
30 24709.2662170876
32 24963.0953693177
38 25173.3189315533
39 25274.9254376970
42 25379.3838887582
98 25479.4758516768
157 25879.8446536923
190 25981.3431043276
194 26181.5215152799
10000 26033.0822475200
evaluations raw_y
1 -1662.2196781683
2 -761.3372522775
3 -175.3105813626
4 2908.7756445669
5 3619.4378458301
6 3725.2760613808
7 5083.4523728924
8 6064.1290185183
9 6420.9376014526
11 7388.3649967623
12 9790.5518949229
13 10705.2063523404
14 11356.9311855748
15 12096.7437237958
16 13391.0017307666
17 14030.2951821297
18 15514.5566531915
21 15865.5412630878
22 16441.5999232076
23 17366.2170595942
25 17765.9309867395
26 18447.8355969604
27 19931.9180000738
29 21225.3204058693
30 21897.1417750313
31 22977.9930165143
32 23794.6539807352
38 24114.1830089469
42 24328.3323891462
74 24528.5596747640
119 24929.0119364683
249 25030.9176336085
10000 -160631.1000000000
evaluations raw_y
1 -1947.1098614068
2 -1586.0068130395
3 -595.0899380419
4 2077.3103325261
5 2178.1915117061
6 3867.4395148562
7 4069.1747433368
8 4702.8634323750
9 5747.1747124012
10 7554.5501786314
11 7740.9571758831
12 9517.1744525883
13 11037.5165586566
15 12836.9545721987
16 15244.4809957927
17 15437.9803045016
18 16792.1860454268
19 17189.1611543878
20 17973.6651319703
21 18601.9972864394
22 19180.7928056316
23 19353.4455400778
24 20117.3156157645
25 20746.3753663071
26 21159.0663524805
27 21683.5151906732
28 23125.4692680593
29 23461.3752999159
50 23701.4347611057
61 23792.7746707423
69 23887.2512940569
209 24086.7928303008
210 24187.7335288507
243 24586.7985651000
303 24687.6637897624
10000 -161292.1000000000
evaluations raw_y
1 -2285.6410180040
2 -1378.5394117929
3 418.5013135582
4 835.1628286171
5 1681.0539526139
6 2457.4245509278
7 3127.3397269631
8 3749.3037623791
9 4255.0067727919
10 5036.8775622038
11 5616.1287647927
12 6365.8120685554
13 7185.3462036248
15 8113.5225887281
16 9653.3522508462
17 9856.4630342779
18 12537.6906525920
19 12692.1414232759
20 12865.0795127357
21 13614.8313751568
22 14276.2300577350
23 15157.6094255145
24 15283.7067324178
25 16217.2392269235
26 16822.5728164299
27 17594.5014240437
28 18956.1806672460
29 19588.7342700026
30 20278.9078822097
31 23181.3949015844
32 24439.8441951798
35 25116.2747940421
88 25223.8106952188
105 25624.5171242704
197 25726.8689371699
254 25829.2011090583
288 25929.3717425458
399 26129.7132767348
555 26330.0556982393
10000 -161708.1000000000
evaluations raw_y
1 -2656.9779416601
2 -1140.0360641765
3 -209.7461126798
4 475.0071738386
5 924.8871761214
6 1699.4248602046
7 2658.9815857603
8 4659.3323171278
9 5298.2086356131
10 5568.4778012825
11 7977.3594516389
12 9792.1208615039
13 11900.2791979922
14 13460.8043926264
15 14178.9513565170
16 14743.7817004543
18 15475.0933162804
19 16210.4108076355
20 16637.0422076131
21 17030.9894699865
22 17586.3282961588
23 19319.0097522746
24 20093.6007035317
26 21825.2651658581
27 22439.0567083087
28 23764.8852509948
29 24812.0062856147
30 25108.5497661912
36 25264.4757659737
41 25441.0531987642
50 25541.3646336501
86 25644.0624167602
132 25844.6825528487
205 25955.4032429235
10000 -162752.1000000000
evaluations raw_y
1 -2308.1960772071
2 -496.3555054928
3 -74.9194481509
4 599.2078523869
5 2213.5933193488
6 2528.6959545662
7 3318.3752939035
8 3947.0365736830
9 7640.0517054145
10 8043.5581944778
12 8797.2341730420
13 10286.1221522570
14 11015.5904280380
15 11947.7146917038
16 13739.7530424247
17 16586.0010236592
18 18243.4524746268
19 18646.5109149378
20 19571.1349062403
21 20254.8036759958
22 21044.9565944109
23 21230.5250830707
24 21609.3534009871
25 23499.4594100191
178 23599.3507523554
10000 -160631.1000000000
evaluations raw_y
1 -2656.9779416601
2 -794.8090574919
3 -523.6419277999
4 652.9702766949
5 1483.3684728804
6 3614.8526984244
7 3872.3661522992
8 4481.8175341271
9 4963.5745606203
11 5455.5631956064
12 6168.7875695263
13 7054.9993502024
14 9360.7478893610
15 9562.4532762304
17 10060.9256080769
18 11814.5753832749
19 13699.3762567349
20 14647.4060598601
21 15035.4265323789
22 15960.3761958175
23 16668.1315316897
24 17430.1058152983
25 18104.0052101145
26 20762.7182979156
28 21445.3268533450
29 23461.8565313597
46 23566.7673170390
66 23664.7558784212
151 24064.2455517954
398 24164.1154735355
587 24363.8574271986
10000 -160306.1000000000
evaluations raw_y
1 -1466.5795358224
2 -609.5276861365
3 59.4779166059
4 1608.2530850914
5 3175.7381266976
6 4195.2315480009
7 5130.9546776572
9 6285.1405197923
10 7531.0674390459
11 9123.6251094377
12 10027.3373819120
13 11017.7549147953
14 11770.2051224735
15 12995.0506476717
16 13820.9103234368
17 14121.0070762960
18 14317.1942255016
19 14886.4588287909
20 15494.3580982055
21 16950.5569754496
22 17512.0893886795
23 19292.0168128579
25 20914.3409140288
26 21641.5115445201
27 22065.8685305998
28 23127.2774637086
29 23315.3171580372
30 23568.6280159029
33 23808.3447425247
42 24033.4734338077
44 24240.0283697924
56 24342.1317006250
177 24444.1225348795
234 24545.7751243830
288 24677.0118106364
314 24876.9904446183
10000 -160891.1000000000
evaluations raw_y
1 -1972.2417680119
2 2.4323724211
3 3031.1701618201
4 3521.4974987455
5 4188.5476114343
6 4413.2951405106
7 4856.0272976773
8 8572.9082986659
9 10048.3414403935
10 11554.6346192966
11 12877.5587910415
12 13631.6209273672
13 15458.3462833801
14 17192.5637869918
15 17994.8350612986
16 18438.5513203510
17 18995.6712199547
18 19542.7636083215
19 20571.7671933223
21 20779.7077487646
25 21029.4525975983
43 21074.8241280044
52 21097.9574046787
64 21187.5110781184
72 21701.4329200470
76 21717.8933278292
79 21763.0138638933
80 21839.0967650010
95 21894.8986015273
99 21980.0496759401
100 22070.9984758190
101 22139.8743857169
113 22211.2188778090
122 22265.2271978485
135 22344.2461496047
238 22443.0503664788
266 22642.0054735427
272 22771.0523887357
273 23307.8202882595
279 23395.9411161686
289 23518.4043432839
318 23611.7269816300
326 24010.6471412388
362 24110.6363619398
696 24310.0855419611
1129 24409.8086091423
10000 -160481.1000000000
evaluations raw_y
1 -2032.0100139435
2 -1369.3945383555
3 603.8673237657
4 709.7074571917
5 1878.7605284387
6 3133.2774951589
7 3454.9983594356
8 3955.5423587314
9 4889.8176767643
10 5712.0438057555
11 6369.8439985893
12 6737.2681271761
13 7724.9766751703
14 9587.8493100697
15 10338.2875250380
16 10606.7423782264
17 11008.6773119887
18 13362.3415912351
20 13628.2397040820
21 14034.0552251475
22 16053.0240875386
23 17578.1066330615
24 18146.6541978472
25 18975.8901751639
27 19098.8752228469
28 19647.4681382724
29 20328.7156798483
30 21506.6392789211
32 22001.5021307824
34 23271.4225868772
35 23740.2444269791
41 23881.9135104949
44 24284.0751851492
96 24383.9918865208
10000 -160041.1000000000
evaluations raw_y
1 -1910.4198571968
2 -1616.2781253815
3 -238.6001884104
4 594.9752358568
5 1379.0860642422
6 2741.3575851186
7 5947.3181547660
8 6152.1894660797
9 6969.2975608885
10 8561.5500198647
11 9863.0163947437
12 10906.7936407518
13 12427.4475728142
14 13117.6425256985
15 13509.4645802707
16 14440.3501266130
17 16534.9536543082
18 16901.1407496403
19 17584.7266378443
20 20546.0335170550
21 21265.5973038312
22 22484.9675524453
23 23311.6385720021
27 23544.5703490977
68 23648.6001069587
121 23848.7508395042
184 23950.4510958179
222 24050.5229452862
315 24250.6690416843
10000 -160859.1000000000
evaluations raw_y
1 -1834.7842862098
2 -1181.6901130914
3 -923.8095925445
4 20.8111367351
5 652.8843743600
6 854.6655653201
7 2111.3343031381
8 2818.9404132617
9 5899.1682485973
10 7738.5109155487
11 8237.1573049880
12 9159.8144283922
13 9919.6502510094
14 10705.3265873751
15 12531.3285343780
16 13805.6416336980
18 14785.7278213309
19 15576.8303186802
20 15871.6794651662
22 16068.5716139992
23 17459.0246806376
24 18138.3553883247
25 20703.1245935989
26 21528.5491346457
27 21781.8099111759
28 21914.9085518343
30 22065.9279738937
31 22246.5970792152
32 22536.2801037125
41 22942.2145232460
46 23044.2202763418
53 23144.1694790799
62 23236.0474024816
82 23337.8173427610
124 23430.8334143968
261 23528.7236564890
418 23928.0853842145
426 24127.7622599681
10000 -160742.1000000000
evaluations raw_y
1 -1860.8286877345
2 1372.0260624536
3 2155.5225727299
4 3132.9697870368
5 3818.0577111698
6 4109.4473940193
7 4554.0987609290
8 4729.3383878093
9 5497.8621758760
10 6572.0378312715
11 7246.9955083795
12 7825.6182411585
13 9415.7844921407
14 10195.5455224481
15 11092.5887383980
16 11296.1386571492
17 11790.9593484293
18 13710.1020214677
19 14109.5272214593
20 14376.4154443985
21 15353.7444170382
22 16869.6759137535
23 18730.4469858499
24 18981.5085045568
25 19773.6948229230
26 20422.3689566052
28 23007.6661578866
30 23817.9074379473
31 24619.9866353740
33 24736.0940020420
35 25202.2031551218
38 25915.1664680439
57 26047.3199165042
111 26149.3577661080
169 26349.7308404739
215 26451.7606153570
290 26852.4923920088
343 26952.6732113970
381 27153.0351161263
10000 -160619.1000000000
evaluations raw_y
1 -2329.0996343944
2 -1382.2523396377
3 -566.3420759705
4 227.6144813124
5 1065.2062418584
6 2405.9380467127
7 2882.1645874789
8 3685.4016231970
9 3892.3755898056
10 5999.3403623101
12 6465.4263885695
13 7788.9865319767
14 8302.0051462277
15 8984.3523333032
16 9394.2786027623
17 10197.6388197253
18 11159.3292049265
20 11577.5532456166
22 13914.0506836943
23 15152.0959478791
24 16704.8545989663
25 18406.3955415327
26 18691.4517747979
27 18982.6295370202
28 19703.8234791730
29 19901.6495678729
30 20315.7082656969
31 20675.1300289239
32 21333.5149956273
33 21882.2104276076
35 22439.1829946825
36 23736.3261352199
45 23961.4155930679
51 24184.6299993839
57 24311.8261608826
60 24414.1822041295
90 24521.6791510945
144 24922.3963902344
174 25024.6938236069
244 25225.0481681040
283 25325.2230597027
610 25525.5732081535
10000 -160576.1000000000
evaluations raw_y
1 381.3211732638
2 1092.3719806585
3 1284.4234427150
4 1542.2566689375
5 2321.4791916103
6 5414.0030541260
7 6687.7433161864
8 8036.9350421607
9 8238.6585835485
10 8366.5678024863
11 9655.8223572277
12 10627.5482392434
13 11650.3960729689
14 12778.0642778776
15 15739.5486591553
16 16541.4057144340
17 19807.0793590832
19 20796.2509640536
20 21494.6805836462
21 21846.1068193148
23 22576.9756931292
24 23469.0278364890
28 23727.4366131294
30 23932.8325091086
51 24033.6149656659
57 24134.3722544512
199 24234.3266055202
236 24434.2374696297
275 24534.0045718272
836 24933.7579490263
10000 -160614.1000000000
evaluations raw_y
1 -1947.1098614068
2 108.4402170479
3 761.8131874273
4 1767.2542914736
5 3762.4805188538
6 4585.4934287593
7 4976.1199881931
9 5211.8893248228
10 6815.3917916780
11 7682.4082912644
12 10798.1161765687
13 11591.8006791661
14 12906.7364807438
15 16470.4170298086
16 18260.1328345427
17 21211.5167483641
18 22810.6529856418
19 23471.3046397823
20 23738.0953344870
21 24655.2926167139
31 24809.3942040981
32 24940.5121700966
39 25053.4295531970
56 25254.1700804592
136 25357.0698877953
207 25758.5422609049
602 25858.9083172125
10000 -161424.1000000000
evaluations raw_y
1 -988.7029751260
2 -356.9189725795
3 316.6205004056
4 3965.1660051450
5 5336.7901997363
6 6398.3135633326
7 6812.1312608335
8 7478.6265422771
9 8186.2676880105
10 9347.2615649198
11 10248.0637010463
12 10348.9243882892
13 11320.0723610594
14 15178.1620184100
15 17638.1422858981
16 18391.3577161496
17 19837.9400494240
18 19961.2808564474
19 20343.3775628656
20 21665.3085662630
21 22403.9607905220
22 23092.0666660068
23 23568.0569283229
24 24102.6897644524
25 24322.0698782627
26 24642.1187982964
34 24842.4545327656
50 24969.7142560311
69 25197.9564268409
80 25398.1089736811
114 25499.5799618006
10000 -163687.1000000000
evaluations raw_y
1 -794.9005713909
2 -253.3922717208
3 734.9314412830
4 863.8746167730
5 1191.6600976933
6 1733.7505883336
7 2111.4725909293
8 3975.5742186208
9 7044.7153455156
10 8769.2013052340
11 10319.3015426716
12 11017.8436553040
13 14598.8524562592
14 16674.3266168765
15 17755.7803207578
16 19155.6009209508
17 20766.0603950814
18 21192.8117098720
19 22334.7031410962
21 23346.6088993839
22 23940.3130893173
26 24041.4094994463
42 24142.6325625421
49 24243.8593310986
197 24343.8054231723
298 24743.5899645309
324 24943.4781549559
404 25143.3666984370
10000 -160851.1000000000
evaluations raw_y
1 -999.9725258930
2 -388.5097065569
3 614.2627474735
4 1945.9783822839
5 2937.9665383552
6 3505.5203164698
7 4498.6150902474
8 5412.6520061615
9 5780.0709207545
10 6408.4761061368
11 6981.1182422737
12 7902.6996765556
13 8682.9361787914
14 9466.1003712342
15 10775.5910030990
16 11208.0762845635
17 11899.3658218564
18 12167.3454785524
19 15753.8292484606
20 16117.5533963031
21 16572.0153360712
22 17220.1043141004
23 18607.4200161054
24 20220.8702394501
25 20860.7753109199
26 22083.8316816452
27 22469.8029301546
28 22675.8300625475
29 22963.3583268980
33 23073.9589524976
38 23274.0561177733
39 23378.0958903819
49 23479.7407981150
82 23879.6069451162
271 23979.5712387861
10000 -160145.1000000000
evaluations raw_y
1 -356.2063915783
2 290.3996582118
3 1918.4072311229
4 5121.6754284716
5 6423.4566485998
6 7096.6365663263
7 7444.0927266206
8 7755.8675188008
9 10824.9616648564
10 10930.6611588927
11 11610.6373551267
12 12169.7161829636
13 13274.7698074937
14 14055.8546527481
15 16885.0761103659
16 17468.0611645546
17 18295.5444209807
18 19024.8189013460
19 19454.9147073761
20 20286.6471016938
22 20774.4723955853
23 21852.9348617094
24 23036.8504897721
27 23218.3142863753
44 23330.0567460708
56 23730.2960754247
95 23830.3537768522
174 23932.4958104402
345 24132.6078720053
10000 -160577.1000000000
evaluations raw_y
1 -2419.3058537748
2 -1786.9280200620
3 -978.9606223310
4 -483.3973121103
5 36.0698073231
6 3260.8150095000
7 4602.7496392656
8 5574.4534598212
9 6030.0463571420
10 8000.0122600716
11 8920.6524252446
13 10198.3778202174
14 11792.6168035588
15 13416.3167871262
16 16675.9469986208
17 17886.8313317193
18 18451.8229723026
19 18810.3296387466
20 19230.6361372979
21 19926.5698184211
22 20164.6066841893
23 20714.4581568713
24 20896.4567891075
31 20992.3540224306
35 21097.8178850092
39 21276.2537272308
40 21475.5482531649
41 21656.6528254746
44 21790.7584405921
46 22100.7998549517
52 22341.7936533658
55 22440.6262703759
56 22516.2671062648
58 22702.6214667367
62 22801.1382161478
69 22844.3792915020
72 22943.9972609805
75 23150.2821145841
85 23187.4139657317
113 23385.9270091434
139 23569.4006155486
141 23688.2503804292
143 23927.9206397736
148 24011.3167897565
156 24179.6041030169
166 24218.7528769707
175 24277.1613405598
181 24338.0343355464
184 24363.7137141280
187 24365.2493396910
229 24439.6946874269
233 24582.1139551838
245 24780.7769767377
269 24837.6745867271
311 24931.1083548145
314 24940.9563257480
317 25001.9907458942
325 25069.7426458978
350 25118.8614197444
355 25169.4188078151
370 25691.6161879187
434 26090.2962049701
469 26141.3312753823
637 26172.3273053030
640 26184.4426269819
643 26248.5292400377
819 26255.7032048328
831 26441.1978250279
889 26472.6686423798
900 26542.3253019299
923 26634.6600561266
928 26970.9654275761
10000 -160669.1000000000
evaluations raw_y
1 -2649.1951708555
2 -1342.3383607303
3 -1134.1526172856
4 -683.8736244025
5 -356.4276543029
6 29.9404235866
7 813.7428083859
8 2367.1601339323
9 3049.1337800564
10 4054.9305069346
11 6160.3360707398
12 6301.5950338735
13 8109.8762703218
14 9634.0571867951
15 10972.2733729845
16 11282.7334974596
17 11409.7750978091
18 12541.1512826128
20 14208.2928195962
21 14699.2057446946
22 15670.9549969919
23 16393.0022772147
25 19085.2642176769
26 19909.2767766587
27 20227.4612153910
28 22983.3212730258
29 23285.4664477220
30 23557.5027481134
36 23758.1301200819
40 23850.3598132519
44 23950.0298241467
68 24033.4849407186
101 24132.8315135042
140 24136.0559066828
146 24228.6766184441
231 24627.3437943522
520 24727.0077178192
754 24926.3372253303
10000 -160659.1000000000
evaluations raw_y
1 -1966.7358818590
2 -456.6616417215
3 1724.2821898878
4 2750.5425935520
5 4095.3534525202
6 4486.4275262419
7 7674.4068005591
8 8297.8350842481
9 9646.9913399758
10 10404.5227571912
11 12223.6652001017
12 12542.9224769333
14 13112.2632969125
15 13344.7860667980
16 14078.9578059749
17 15103.3222465841
18 16113.2858979591
20 16562.3299274427
22 18013.7086350844
23 18604.5802094461
24 18802.7182405406
26 19575.8911503752
27 20003.7540277215
28 21059.4914691553
29 22143.6527088520
31 22908.4921480583
33 23541.8270014572
34 23884.3364923578
35 24487.5768732600
37 24865.0637144166
38 25309.4807074522
39 25545.1211675147
68 25662.4842688660
