evaluations raw_y
1 -1986.0000000000
2 -1959.0000000000
18 -1931.0000000000
37 -1898.0000000000
61 -1891.0000000000
72 -1890.0000000000
82 -1873.0000000000
91 -1871.0000000000
94 -1870.0000000000
115 -1849.0000000000
121 -1827.0000000000
151 -1811.0000000000
170 -1810.0000000000
180 -1801.0000000000
181 -1799.0000000000
197 -1797.0000000000
205 -1789.0000000000
231 -1785.0000000000
255 -1783.0000000000
270 -1781.0000000000
281 -1777.0000000000
289 -1775.0000000000
299 -1764.0000000000
322 -1763.0000000000
328 -1761.0000000000
337 -1756.0000000000
363 -1751.0000000000
384 -1744.0000000000
392 -1741.0000000000
429 -1740.0000000000
441 -1739.0000000000
467 -1738.0000000000
472 -1737.0000000000
482 -1735.0000000000
486 -1734.0000000000
513 -1733.0000000000
529 -1732.0000000000
549 -1728.0000000000
563 -1727.0000000000
582 -1725.0000000000
611 -1724.0000000000
615 -1721.0000000000
630 -1720.0000000000
649 -1719.0000000000
658 -1718.0000000000
659 -1716.0000000000
675 -1713.0000000000
715 -1712.0000000000
723 -1710.0000000000
748 -1709.0000000000
763 -1708.0000000000
779 -1706.0000000000
797 -1704.0000000000
817 -1703.0000000000
821 -1701.0000000000
853 -1700.0000000000
874 -1698.0000000000
902 -1697.0000000000
907 -1695.0000000000
925 -1692.0000000000
941 -1691.0000000000
963 -1688.0000000000
1005 -1687.0000000000
1006 -1686.0000000000
1023 -1684.0000000000
1030 -1683.0000000000
1043 -1681.0000000000
1066 -1676.0000000000
1121 -1673.0000000000
1141 -1672.0000000000
1147 -1671.0000000000
1164 -1670.0000000000
1177 -1668.0000000000
1193 -1664.0000000000
1224 -1662.0000000000
1243 -1661.0000000000
1256 -1660.0000000000
1274 -1659.0000000000
1297 -1657.0000000000
1302 -1655.0000000000
1321 -1654.0000000000
1347 -1653.0000000000
1350 -1652.0000000000
1364 -1651.0000000000
1375 -1650.0000000000
1399 -1649.0000000000
1406 -1645.0000000000
1443 -1644.0000000000
1445 -1642.0000000000
1466 -1640.0000000000
1514 -1638.0000000000
1515 -1636.0000000000
1523 -1635.0000000000
1541 -1634.0000000000
1569 -1632.0000000000
1582 -1630.0000000000
1610 -1629.0000000000
1628 -1628.0000000000
1639 -1627.0000000000
1655 -1626.0000000000
1663 -1625.0000000000
1684 -1623.0000000000
1701 -1622.0000000000
1707 -1620.0000000000
1725 -1618.0000000000
1731 -1617.0000000000
1757 -1615.0000000000
1805 -1613.0000000000
1806 -1612.0000000000
1826 -1611.0000000000
1850 -1609.0000000000
1861 -1608.0000000000
1884 -1606.0000000000
1902 -1605.0000000000
1911 -1604.0000000000
1933 -1603.0000000000
1943 -1602.0000000000
1948 -1600.0000000000
1981 -1599.0000000000
2005 -1598.0000000000
2010 -1597.0000000000
2029 -1596.0000000000
2050 -1594.0000000000
2063 -1593.0000000000
2070 -1592.0000000000
2084 -1591.0000000000
2104 -1590.0000000000
2118 -1589.0000000000
2125 -1588.0000000000
2143 -1587.0000000000
2167 -1585.0000000000
2189 -1581.0000000000
2232 -1580.0000000000
2251 -1578.0000000000
2252 -1577.0000000000
2279 -1576.0000000000
2301 -1575.0000000000
2311 -1574.0000000000
2315 -1573.0000000000
2329 -1571.0000000000
2336 -1570.0000000000
2364 -1568.0000000000
2381 -1567.0000000000
2398 -1566.0000000000
2421 -1564.0000000000
2441 -1563.0000000000
2463 -1562.0000000000
2481 -1558.0000000000
2501 -1553.0000000000
2521 -1552.0000000000
2550 -1551.0000000000
2586 -1550.0000000000
2592 -1549.0000000000
2609 -1548.0000000000
2630 -1547.0000000000
2645 -1546.0000000000
2672 -1542.0000000000
2702 -1540.0000000000
2720 -1539.0000000000
2742 -1538.0000000000
2752 -1536.0000000000
2771 -1535.0000000000
2781 -1533.0000000000
2801 -1531.0000000000
2828 -1530.0000000000
2837 -1529.0000000000
2845 -1527.0000000000
2862 -1526.0000000000
2876 -1524.0000000000
2907 -1522.0000000000
2934 -1521.0000000000
2942 -1520.0000000000
2962 -1517.0000000000
2985 -1515.0000000000
3001 -1514.0000000000
3029 -1513.0000000000
3042 -1512.0000000000
3062 -1511.0000000000
3065 -1510.0000000000
3082 -1509.0000000000
3093 -1508.0000000000
3103 -1507.0000000000
3118 -1506.0000000000
3127 -1502.0000000000
3150 -1500.0000000000
3182 -1499.0000000000
3184 -1498.0000000000
3189 -1496.0000000000
3216 -1495.0000000000
3229 -1494.0000000000
3249 -1493.0000000000
3272 -1491.0000000000
3292 -1490.0000000000
3305 -1487.0000000000
3324 -1486.0000000000
3355 -1485.0000000000
3368 -1483.0000000000
3369 -1482.0000000000
3387 -1480.0000000000
3415 -1478.0000000000
3422 -1477.0000000000
3431 -1475.0000000000
3454 -1473.0000000000
3466 -1472.0000000000
3507 -1471.0000000000
3512 -1469.0000000000
3530 -1468.0000000000
3563 -1466.0000000000
3581 -1465.0000000000
3615 -1463.0000000000
3631 -1462.0000000000
3643 -1461.0000000000
3670 -1459.0000000000
3683 -1458.0000000000
3691 -1457.0000000000
3708 -1456.0000000000
3737 -1455.0000000000
3762 -1454.0000000000
3786 -1453.0000000000
3808 -1451.0000000000
3842 -1450.0000000000
3853 -1449.0000000000
3876 -1448.0000000000
3901 -1447.0000000000
3926 -1446.0000000000
3929 -1445.0000000000
3934 -1444.0000000000
3941 -1443.0000000000
3972 -1441.0000000000
3978 -1439.0000000000
4001 -1438.0000000000
4007 -1436.0000000000
4030 -1435.0000000000
4035 -1434.0000000000
4071 -1433.0000000000
4085 -1430.0000000000
4103 -1429.0000000000
4124 -1428.0000000000
4149 -1427.0000000000
4161 -1426.0000000000
4164 -1424.0000000000
4189 -1423.0000000000
4209 -1422.0000000000
4225 -1419.0000000000
4248 -1418.0000000000
4265 -1416.0000000000
4281 -1413.0000000000
4313 -1412.0000000000
4327 -1410.0000000000
4341 -1407.0000000000
4382 -1405.0000000000
4395 -1402.0000000000
4425 -1401.0000000000
4441 -1399.0000000000
4468 -1397.0000000000
4483 -1396.0000000000
4521 -1393.0000000000
4565 -1390.0000000000
4586 -1386.0000000000
4619 -1385.0000000000
4623 -1384.0000000000
4634 -1381.0000000000
4663 -1380.0000000000
4697 -1379.0000000000
4702 -1377.0000000000
4708 -1376.0000000000
4732 -1374.0000000000
4761 -1372.0000000000
4774 -1370.0000000000
4797 -1368.0000000000
4803 -1367.0000000000
4811 -1366.0000000000
4832 -1365.0000000000
4844 -1364.0000000000
4856 -1362.0000000000
4882 -1360.0000000000
4894 -1358.0000000000
4921 -1355.0000000000
4941 -1354.0000000000
4959 -1353.0000000000
4966 -1352.0000000000
4984 -1351.0000000000
4997 -1350.0000000000
5014 -1349.0000000000
5033 -1347.0000000000
5054 -1345.0000000000
5075 -1342.0000000000
5094 -1341.0000000000
5124 -1340.0000000000
5133 -1339.0000000000
5148 -1337.0000000000
5171 -1336.0000000000
5183 -1335.0000000000
5188 -1334.0000000000
5207 -1333.0000000000
5218 -1332.0000000000
5222 -1331.0000000000
5242 -1328.0000000000
5270 -1327.0000000000
5286 -1326.0000000000
5303 -1325.0000000000
5323 -1324.0000000000
5341 -1323.0000000000
5345 -1322.0000000000
5365 -1321.0000000000
5392 -1320.0000000000
5397 -1319.0000000000
5404 -1316.0000000000
5426 -1311.0000000000
5458 -1310.0000000000
5465 -1309.0000000000
5482 -1308.0000000000
5504 -1307.0000000000
5513 -1306.0000000000
5521 -1304.0000000000
5541 -1303.0000000000
5571 -1302.0000000000
5585 -1301.0000000000
5593 -1300.0000000000
5604 -1298.0000000000
5628 -1297.0000000000
5649 -1296.0000000000
5671 -1294.0000000000
5699 -1293.0000000000
5702 -1292.0000000000
5714 -1291.0000000000
5728 -1290.0000000000
5745 -1288.0000000000
5790 -1287.0000000000
5800 -1286.0000000000
5821 -1285.0000000000
5831 -1283.0000000000
5862 -1281.0000000000
5889 -1280.0000000000
5891 -1278.0000000000
5920 -1277.0000000000
5931 -1276.0000000000
5945 -1275.0000000000
5963 -1273.0000000000
5983 -1270.0000000000
6002 -1268.0000000000
6025 -1267.0000000000
6036 -1266.0000000000
6051 -1264.0000000000
6073 -1263.0000000000
6100 -1262.0000000000
6112 -1261.0000000000
6116 -1260.0000000000
6126 -1257.0000000000
6160 -1254.0000000000
6161 -1253.0000000000
6211 -1252.0000000000
6227 -1251.0000000000
6232 -1250.0000000000
6247 -1249.0000000000
6263 -1248.0000000000
6276 -1247.0000000000
6309 -1246.0000000000
6324 -1244.0000000000
6341 -1243.0000000000
6382 -1240.0000000000
6416 -1238.0000000000
6441 -1236.0000000000
6462 -1235.0000000000
6486 -1234.0000000000
6528 -1233.0000000000
6535 -1232.0000000000
6561 -1231.0000000000
6574 -1230.0000000000
6576 -1228.0000000000
6587 -1227.0000000000
6621 -1226.0000000000
6648 -1225.0000000000
6651 -1224.0000000000
6676 -1223.0000000000
6704 -1221.0000000000
6741 -1220.0000000000
6756 -1219.0000000000
6769 -1218.0000000000
6770 -1217.0000000000
6790 -1216.0000000000
6806 -1215.0000000000
6819 -1214.0000000000
6837 -1213.0000000000
6843 -1212.0000000000
6857 -1211.0000000000
6884 -1209.0000000000
6906 -1208.0000000000
6916 -1207.0000000000
6925 -1205.0000000000
6949 -1204.0000000000
6971 -1203.0000000000
6979 -1202.0000000000
6989 -1197.0000000000
7011 -1196.0000000000
7046 -1195.0000000000
7078 -1192.0000000000
7105 -1191.0000000000
7122 -1190.0000000000
7154 -1189.0000000000
7162 -1188.0000000000
7201 -1185.0000000000
7231 -1184.0000000000
7242 -1182.0000000000
7250 -1181.0000000000
7267 -1177.0000000000
7289 -1175.0000000000
7321 -1174.0000000000
7364 -1171.0000000000
7414 -1170.0000000000
7415 -1169.0000000000
7421 -1167.0000000000
7450 -1165.0000000000
7481 -1163.0000000000
7519 -1162.0000000000
7527 -1161.0000000000
7553 -1159.0000000000
7607 -1157.0000000000
7641 -1155.0000000000
7648 -1153.0000000000
7682 -1150.0000000000
7722 -1148.0000000000
7745 -1147.0000000000
7760 -1146.0000000000
7783 -1145.0000000000
7784 -1144.0000000000
7802 -1143.0000000000
7833 -1142.0000000000
7841 -1141.0000000000
7858 -1140.0000000000
7876 -1139.0000000000
7891 -1138.0000000000
7896 -1137.0000000000
7903 -1136.0000000000
