evaluations raw_y
1 -2130882.0000000005
4 -2119784.0000000005
8 -2115786.0000000005
10 -2106767.0000000005
20 -2096621.0000000005
29 -2094666.0000000005
34 -2092690.0000000005
43 -2091683.0000000005
45 -2081575.0000000005
54 303848.1192747357
72 306313.5288489995
93 307220.3911403714
111 308682.0799859570
113 312290.9234806929
130 312314.5317982329
142 316624.8661779842
200 317434.4449742332
225 317528.0588350218
246 318021.6930246919
249 318164.3871540266
275 318899.1910311635
297 319020.2203168900
302 320525.6614905274
353 320871.2455062229
395 321304.0613140288
398 321521.4244510210
414 322055.3523144043
441 322061.1683415804
449 322365.9976967294
458 323104.9570011637
494 323208.6176685723
510 324005.3854932627
529 324349.5287607323
561 324850.4430719155
582 325010.4505481981
583 325058.5687572933
603 325232.6760735846
613 325493.4997327848
618 325743.3096117961
624 326310.8014219324
641 327026.9122797071
657 327755.6781236519
700 328116.7390971521
705 328167.9133883101
745 328366.4674604213
746 328830.8900210256
812 328869.9563292486
814 329474.8479621242
891 329475.3894593642
899 329726.3300459628
906 330188.0323266400
916 330489.1942107222
946 330722.2139693787
963 330772.2287660365
986 331012.5806942624
1003 332189.9327250684
1045 332570.0451494090
1110 332693.8934098162
1111 332965.5320470707
1122 333081.0736485339
1139 333321.6597588197
1155 333326.9173907270
1165 333740.9833586741
1183 334225.2860075692
1245 334404.4418075781
1257 334505.9967829331
1260 335017.3341913477
1281 335443.9362571641
1284 336383.7561626072
1305 336490.7633465380
1347 336735.2695237921
1350 336809.3966132852
1368 336914.3787574803
1370 337204.2507073508
1398 337747.0413742440
1424 337831.3840991264
1440 338358.1668715808
1464 338584.4680189787
1477 338729.3184979194
1481 339040.8131515497
1485 339180.5747224148
1516 339196.0225003650
1521 339567.1610985606
1529 339638.2853281706
1535 339678.1408755938
1540 339997.4786762764
1562 340150.7341074166
1574 340255.6681040578
1586 340316.4070313728
1625 340465.4405466468
1664 340697.7312613102
1678 341483.6523643149
1707 341602.6837869470
1723 341783.2682080925
1748 341934.4525141154
1754 342190.7119614303
1761 342198.6250363453
1765 342582.7166857091
1773 342651.1051141864
1791 342699.4588498480
1795 343187.8612704086
1811 343234.6067824159
1846 343723.0029313563
1896 344237.6949138773
1912 345114.9036625182
1921 345168.3989257733
1930 345309.7505754764
1942 345486.6104634585
1961 346188.9461865500
1986 346331.2373995390
1987 346422.2529750854
2004 346471.7190317233
2006 346556.0945799060
2017 346865.1788001888
2044 346941.5743328379
2052 347045.0552616405
2059 347684.8762895315
2108 347783.0617396095
2113 348248.2658974358
2161 348981.7146600065
2187 349086.5340299213
2235 349380.9866142215
2236 350026.6380247470
2266 350177.4065843039
2272 350477.6739237017
2309 351242.1319855428
2315 351449.5517784192
2346 351638.0993931219
2348 351738.9098719398
2409 352151.7645831298
2440 352401.9656373792
2443 352527.7116500888
2445 352629.8859832717
2456 352992.5333272539
2466 353563.4405796768
