evaluations raw_y
1 -1998.0000000000
2 -1939.0000000000
4 -1937.0000000000
6 -1918.0000000000
57 -1914.0000000000
63 -1894.0000000000
67 -1887.0000000000
84 -1879.0000000000
91 -1866.0000000000
111 -1855.0000000000
135 -1854.0000000000
147 -1850.0000000000
157 -1849.0000000000
162 -1848.0000000000
172 -1831.0000000000
206 -1829.0000000000
208 -1827.0000000000
210 -1821.0000000000
222 -1819.0000000000
232 -1818.0000000000
244 -1817.0000000000
245 -1808.0000000000
259 -1804.0000000000
260 -1798.0000000000
270 -1794.0000000000
292 -1790.0000000000
301 -1773.0000000000
350 -1765.0000000000
365 -1764.0000000000
382 -1761.0000000000
399 -1760.0000000000
403 -1757.0000000000
422 -1749.0000000000
433 -1748.0000000000
446 -1733.0000000000
498 -1722.0000000000
511 -1716.0000000000
538 -1715.0000000000
561 -1714.0000000000
585 -1707.0000000000
609 -1703.0000000000
623 -1702.0000000000
643 -1701.0000000000
644 -1700.0000000000
661 -1697.0000000000
685 -1696.0000000000
704 -1691.0000000000
731 -1687.0000000000
746 -1686.0000000000
763 -1685.0000000000
777 -1679.0000000000
793 -1678.0000000000
807 -1675.0000000000
840 -1673.0000000000
847 -1672.0000000000
870 -1671.0000000000
878 -1669.0000000000
891 -1668.0000000000
901 -1667.0000000000
923 -1665.0000000000
951 -1664.0000000000
964 -1663.0000000000
985 -1662.0000000000
987 -1661.0000000000
1002 -1660.0000000000
1033 -1659.0000000000
1039 -1656.0000000000
1076 -1655.0000000000
1084 -1653.0000000000
1103 -1651.0000000000
1121 -1650.0000000000
1146 -1649.0000000000
1171 -1648.0000000000
1175 -1647.0000000000
1194 -1645.0000000000
1207 -1644.0000000000
1224 -1643.0000000000
1225 -1640.0000000000
1272 -1639.0000000000
1282 -1638.0000000000
1288 -1637.0000000000
1316 -1636.0000000000
1317 -1632.0000000000
1356 -1627.0000000000
1393 -1626.0000000000
1426 -1623.0000000000
1439 -1622.0000000000
1444 -1621.0000000000
1488 -1619.0000000000
1498 -1617.0000000000
1514 -1615.0000000000
1553 -1613.0000000000
1555 -1612.0000000000
1581 -1611.0000000000
1598 -1609.0000000000
1603 -1608.0000000000
1626 -1607.0000000000
1639 -1606.0000000000
1641 -1604.0000000000
1665 -1603.0000000000
1674 -1602.0000000000
1679 -1601.0000000000
1698 -1600.0000000000
1702 -1599.0000000000
1728 -1596.0000000000
1744 -1595.0000000000
1755 -1594.0000000000
1783 -1593.0000000000
1792 -1592.0000000000
1804 -1591.0000000000
1829 -1590.0000000000
1843 -1589.0000000000
1875 -1588.0000000000
1892 -1587.0000000000
1900 -1585.0000000000
1905 -1584.0000000000
1933 -1582.0000000000
1958 -1581.0000000000
1963 -1580.0000000000
1990 -1579.0000000000
2020 -1578.0000000000
2021 -1577.0000000000
2023 -1576.0000000000
2050 -1575.0000000000
2055 -1574.0000000000
2084 -1571.0000000000
2090 -1569.0000000000
2101 -1568.0000000000
2133 -1566.0000000000
2149 -1565.0000000000
2151 -1564.0000000000
2170 -1563.0000000000
2192 -1562.0000000000
2197 -1560.0000000000
2201 -1555.0000000000
2247 -1554.0000000000
2250 -1553.0000000000
2273 -1551.0000000000
2286 -1550.0000000000
2308 -1549.0000000000
2322 -1548.0000000000
2335 -1547.0000000000
2343 -1544.0000000000
2386 -1543.0000000000
2403 -1538.0000000000
2446 -1534.0000000000
2486 -1533.0000000000
2488 -1532.0000000000
2502 -1531.0000000000
2526 -1530.0000000000
2535 -1528.0000000000
2563 -1527.0000000000
2581 -1526.0000000000
2582 -1524.0000000000
2605 -1522.0000000000
2629 -1519.0000000000
2651 -1518.0000000000
2664 -1515.0000000000
2703 -1513.0000000000
2709 -1511.0000000000
2722 -1510.0000000000
2745 -1509.0000000000
2758 -1508.0000000000
2772 -1507.0000000000
2783 -1506.0000000000
2786 -1503.0000000000
2793 -1502.0000000000
2838 -1499.0000000000
2848 -1498.0000000000
2865 -1493.0000000000
2893 -1492.0000000000
2924 -1490.0000000000
2933 -1488.0000000000
2975 -1486.0000000000
3001 -1485.0000000000
3006 -1484.0000000000
3021 -1477.0000000000
3072 -1475.0000000000
3075 -1473.0000000000
3102 -1471.0000000000
3138 -1469.0000000000
3182 -1467.0000000000
3194 -1466.0000000000
3200 -1465.0000000000
3216 -1462.0000000000
3232 -1460.0000000000
3233 -1459.0000000000
3265 -1457.0000000000
3321 -1456.0000000000
3328 -1454.0000000000
3341 -1452.0000000000
3373 -1451.0000000000
3401 -1449.0000000000
3403 -1447.0000000000
3412 -1445.0000000000
3442 -1444.0000000000
3456 -1443.0000000000
3473 -1442.0000000000
3474 -1439.0000000000
3512 -1438.0000000000
3530 -1437.0000000000
3544 -1436.0000000000
3562 -1435.0000000000
3564 -1434.0000000000
3596 -1432.0000000000
3621 -1431.0000000000
3629 -1430.0000000000
3666 -1429.0000000000
3680 -1428.0000000000
3707 -1424.0000000000
3748 -1423.0000000000
3767 -1422.0000000000
3782 -1421.0000000000
3785 -1420.0000000000
3801 -1415.0000000000
3845 -1414.0000000000
3871 -1413.0000000000
3878 -1412.0000000000
3891 -1411.0000000000
3902 -1410.0000000000
3918 -1406.0000000000
3946 -1402.0000000000
3966 -1401.0000000000
3988 -1398.0000000000
4001 -1397.0000000000
4033 -1394.0000000000
4045 -1393.0000000000
4065 -1391.0000000000
4082 -1390.0000000000
4085 -1387.0000000000
4113 -1385.0000000000
4130 -1384.0000000000
4131 -1383.0000000000
4142 -1382.0000000000
4174 -1377.0000000000
4210 -1374.0000000000
4232 -1372.0000000000
4249 -1371.0000000000
4258 -1369.0000000000
4281 -1367.0000000000
4307 -1365.0000000000
4354 -1363.0000000000
4392 -1362.0000000000
4401 -1359.0000000000
4428 -1358.0000000000
4441 -1356.0000000000
4478 -1355.0000000000
4480 -1354.0000000000
4484 -1352.0000000000
4511 -1350.0000000000
4536 -1349.0000000000
4585 -1347.0000000000
4604 -1346.0000000000
4622 -1345.0000000000
4624 -1343.0000000000
4650 -1342.0000000000
4685 -1341.0000000000
4713 -1340.0000000000
4721 -1338.0000000000
4746 -1337.0000000000
4759 -1336.0000000000
4763 -1335.0000000000
4784 -1333.0000000000
4803 -1332.0000000000
4808 -1330.0000000000
4836 -1329.0000000000
4844 -1328.0000000000
4865 -1327.0000000000
4881 -1322.0000000000
4903 -1321.0000000000
4925 -1320.0000000000
4960 -1319.0000000000
4963 -1316.0000000000
4985 -1313.0000000000
5008 -1311.0000000000
5027 -1308.0000000000
5062 -1305.0000000000
5103 -1303.0000000000
5147 -1302.0000000000
5162 -1299.0000000000
5178 -1298.0000000000
5194 -1297.0000000000
5210 -1294.0000000000
5224 -1292.0000000000
5253 -1291.0000000000
5268 -1290.0000000000
5294 -1289.0000000000
5312 -1288.0000000000
5334 -1287.0000000000
5336 -1286.0000000000
5344 -1285.0000000000
5382 -1283.0000000000
5387 -1280.0000000000
5409 -1279.0000000000
5425 -1277.0000000000
5439 -1275.0000000000
5461 -1273.0000000000
5481 -1272.0000000000
5501 -1271.0000000000
5503 -1270.0000000000
5513 -1269.0000000000
5519 -1268.0000000000
5527 -1267.0000000000
5541 -1263.0000000000
5581 -1262.0000000000
5586 -1260.0000000000
5610 -1259.0000000000
5631 -1257.0000000000
5638 -1256.0000000000
5651 -1254.0000000000
5676 -1252.0000000000
5703 -1250.0000000000
5721 -1249.0000000000
5747 -1247.0000000000
5769 -1246.0000000000
5786 -1245.0000000000
5791 -1243.0000000000
5808 -1242.0000000000
5831 -1241.0000000000
5861 -1239.0000000000
5893 -1238.0000000000
5905 -1237.0000000000
5908 -1236.0000000000
5925 -1235.0000000000
5943 -1233.0000000000
5983 -1232.0000000000
6004 -1231.0000000000
6008 -1230.0000000000
6042 -1228.0000000000
6063 -1226.0000000000
6091 -1225.0000000000
6104 -1224.0000000000
6120 -1223.0000000000
6139 -1222.0000000000
6165 -1220.0000000000
6183 -1219.0000000000
6206 -1218.0000000000
6226 -1217.0000000000
