evaluations raw_y
1700001 1.2025012025
1700002 1.4907573047
1700005 1.7568517217
1700038 1.9215987702
1700039 1.9485580670
1700048 1.9700551615
1700053 2.0145044319
1700055 2.0177562550
1700085 2.0610057708
1700088 2.0990764064
1700141 2.1132713440
1700165 2.1795989538
1700167 2.2789425706
1700182 2.3607176582
1700205 2.4248302619
1700286 2.4485798237
1700318 2.5746652935
1700352 2.6624068158
1700356 2.7624309392
1700377 2.9515938607
1700453 3.1055900621
1700481 3.2425421530
1700553 3.2851511170
1701051 3.3288948069
1701090 3.3377837116
1701336 3.4578146611
1701736 3.5063113604
1702044 3.5161744023
1702236 3.5663338088
1702267 3.6179450072
1702275 3.9246467818
1702473 3.9619651347
1708026 3.9872408293
