evaluations raw_y
1 -1634.0000000000
2 -1323.0000000000
3 -1254.0000000000
5 -1206.0000000000
14 -1138.0000000000
15 -1011.0000000000
23 -875.0000000000
29 -865.0000000000
36 -845.0000000000
42 -797.0000000000
69 -758.0000000000
83 -729.0000000000
88 -719.0000000000
108 -690.0000000000
113 -680.0000000000
119 -651.0000000000
121 -641.0000000000
122 -622.0000000000
126 -612.0000000000
131 -573.0000000000
139 -544.0000000000
143 -456.0000000000
165 -447.0000000000
167 -427.0000000000
180 -408.0000000000
182 -388.0000000000
197 -369.0000000000
198 -359.0000000000
204 -340.0000000000
218 -311.0000000000
223 -291.0000000000
237 -262.0000000000
245 -224.0000000000
256 -185.0000000000
286 -166.0000000000
309 -128.0000000000
318 -108.0000000000
324 -99.0000000000
353 -70.0000000000
362 -51.0000000000
399 -32.0000000000
403 -13.0000000000
439 -5.0000000000
452 -4.0000000000
486 -3.0000000000
508 -2.0000000000
597 7.0000000000
1327 8.0000000000
100000 8.0000000000
