evaluations raw_y
1 8.4000000000
12 9.4000000000
19 9.6000000000
28 10.0000000000
36 10.4000000000
51 10.6000000000
54 10.8000000000
60 11.0000000000
65 11.2000000000
79 11.6000000000
94 11.8000000000
102 12.0000000000
121 12.2000000000
147 12.4000000000
166 12.6000000000
191 13.0000000000
217 13.2000000000
278 13.4000000000
316 13.6000000000
338 13.8000000000
367 14.0000000000
400 14.2000000000
420 14.4000000000
494 14.6000000000
524 14.8000000000
588 15.0000000000
696 15.2000000000
725 15.4000000000
772 15.6000000000
816 15.8000000000
868 16.0000000000
950 16.2000000000
1281 16.4000000000
100000 16.0000000000
