evaluations raw_y
1 56.0000000000
7 57.0000000000
13 60.0000000000
14 62.0000000000
21 65.0000000000
28 66.0000000000
39 68.0000000000
51 69.0000000000
58 70.0000000000
89 71.0000000000
94 73.0000000000
111 74.0000000000
124 75.0000000000
142 76.0000000000
159 77.0000000000
161 78.0000000000
189 79.0000000000
201 80.0000000000
213 81.0000000000
215 83.0000000000
234 84.0000000000
255 85.0000000000
281 86.0000000000
315 87.0000000000
339 88.0000000000
427 89.0000000000
471 90.0000000000
558 91.0000000000
586 92.0000000000
631 93.0000000000
662 94.0000000000
745 95.0000000000
798 96.0000000000
853 97.0000000000
946 98.0000000000
1020 99.0000000000
1254 100.0000000000
100000 100.0000000000
